()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:夜晚，丛林战场——
()<Speaker></Speaker>||<BIN>2</BIN><黑屏2><SE1>Stop_AVG_loop</SE1>:一支小分队从飞机上降落。
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_Moon</BGM>:唔，总算到了！
MP5Mod(0)<Speaker>MP5</Speaker>||:虽说我们现在组成了临时小分队，但这次的任务内容还是单兵作战为主，请大家注意安全！+这个是给大家准备的物资包裹，要收好哦。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:我听从队长的命令，可是——为什么会有牛奶？
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:指挥官就是看我们是矮子，才派我们来这里钻洞的啦！+如果长高一点的话……
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:可是我们也是因为身高才能获得这次任务的啊，清理敌后据点也是很好的锻炼呢。
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:但是这也是被当做小孩子看吧！如果我们再高一点的话，才不会有这种事呢。咦，F1，你今天怎么这么沉默？
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:啊，有吗？没有吧。
MP5Mod(0)<Speaker>MP5</Speaker>||<黑屏1>:不对劲——+嘛，回去再说，先执行任务吧。
()<Speaker></Speaker>||<黑屏2><BIN>55</BIN><BGM>BGM_Empty</BGM>:尽管地形有些复杂崎岖，信号也不太通畅，但在有利的身形掩护下，三人很快清理出一片安全区，正好用来做临时补给仓。
MP5Mod(0)<Speaker>MP5</Speaker>||:哎，为什么这次代号是“小女孩”啊……明明我们都已经身经百战了。+诶？这里我刚刚扫过啦。
M1897Mod(0)<Speaker>M1897</Speaker>||:那为什么还有这么多灰？包裹不要放在地上啦，很容易被踩到的。+啊——F1，你的东西掉出来了，咦，是一本书？
M1897Mod(0);F1(0)<Speaker>F1</Speaker>||:啊，那是才买的新诗集！+怎么会这样，我把它弄脏了…
M1897Mod(0)<Speaker>M1897</Speaker>||:别担心，我这里有污渍清洁剂，擦一下就好了。
()<Speaker></Speaker>||:书面上的污渍被小心地去除，M1897还顺便将三人的包裹重新打包放在了架子上。
F1(0)<Speaker>F1</Speaker>||<BGM>BGM_Hello</BGM>:呜，谢谢你！这本书要是弄坏了我会很难过的，还好有你在。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:没事的，这种活儿我很擅长。+不过你有什么不开心的事情吗？感觉你今天情绪好低落哦，都不像平常的你……
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:最近发生的事……莫非跟指挥官的安排有关？+我想起来F1好像是排进了下一批改造计划。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:那是好事啊，我们改造之后都变强了哦~
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:改造前肯定都会忐忑啦，我记得M1897你之前也不想改造来着。
F1(0)<Speaker>F1</Speaker>||:为什么要改造啊！是F1不够好么？想要升级些什么呢？心智性格身体吗？
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:啊这个，你没有想要改变自己的想法吗？+比如长高一点什么的？格林娜小姐说，有要求的话都可以跟指挥官提哦。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:<color=#A9A9A9>虽然我的身高……</color>
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:不是这个问题啦~我啊，我不想一天到晚只是战斗，虽然这是我们作为战术人形的工作，但我，但我……也有自己的一点小追求。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:是什么呢？
F1(0)<Speaker>F1</Speaker>||:是一点对人形几乎没有用的东西，呜呜呜呜呜……
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:我也……
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:不一样的！你的清理工作起码还是有实用价值的，如果有一天从战场上退伍了你还能去做家政人形嘛！+但我……我喜欢的东西总是没什么用，甚至还会让大家心情变差，但我还是很喜欢这样的自己，一！点！也！不！想！被！改！造！
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:啊——换个思路？格林娜小姐的改造技术很好哦~一定会给你改造个你更喜欢的素体。
F1(0)<Speaker>F1</Speaker>||:才没有，格林娜小姐之前才搞错了一个人形的零件！两只手都装反了……
MP5Mod(0)<Speaker>MP5</Speaker>||:这，这算小问题吧……又不是把云图安装错之类的。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:好像她也干过这么一件事……
MP5Mod(0)<Speaker>MP5</Speaker>||:等等，我们不是要安慰她吗？
F1(0)<Speaker>F1</Speaker>||:啊这都不是重点啦！我啊，哎，算了，反正指挥官的安排我也是不可能违抗的，将来跟你们聊天的F1也不知道是第几代F1了。
