()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||<BIN>8</BIN><BGM>BGM_Room</BGM>:指挥官，她一个人去真的没问题吗？+情报说附近有一班匪徒出没。
NPC-Kalin(3)<Speaker>指挥官</Speaker>||:这儿到邻镇只有一百多公里，不会有什么大事的。+就算真有歹徒，以野牛的武力也能轻松搞定。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:这听起来像是一个Flag啊。
NPC-Kalin(3)<Speaker>指挥官</Speaker>||:如果玄学有用，那么我们应该请K5来做总指挥。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:这可不是开玩笑的时候！
NPC-Kalin(3)<Speaker>指挥官</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:好了，安心吧。我安排了另一个人跟着她，不会出事的。
()||<黑屏2><BIN>187</BIN><BGM>BGM_Hello</BGM>:……+在污染上不严重的荒野上，一辆卡车静静地行驶着。+PP19坐在前排，怀里抱着小姑娘，百无聊赖地望向窗外。
NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:你对外面挺好奇的啊？
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:是。这种没有敌人的荒野，对我来说很少见。
pp19(0);NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:……真稀奇，我还是头一回看到你这样能顺利对话的武装人形。+而且你还对外面有兴趣，看起来也不像单纯在戒备周围。
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:我的同事们都能这样对话，我一直以为这不算稀奇事。+大叔，你第一次雇佣安全承包商吗？
pp19(0);NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:是啊。这两年赚了钱，多少宽裕了。+前几年情况不好的时候，连卡车都不敢开，就怕招到荒地的流民抢劫。
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:怎么会这样？流民再厉害也不可能打得过卡车吧？
pp19(0);NPC-Shelley(0)<Speaker>夏莉</Speaker>||:对哦！爸爸，为什么呀？
pp19(0);NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:唉，歹徒怎么会正面来呢？+他们的凶狠和狡猾，可不是一般的流民能比的。
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:比如说？
pp19(0);NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:他们会在路上布置陷阱，弄炸你的轮胎。然后趁你下车就从草丛或者什么地方跳出来，扼住你的脖子，然后抢走物资……+还有的歹徒会装成落难的探险家，上车就掏枪，防不胜防。
pp19(0);NPC-Shelley(0)<Speaker>夏莉</Speaker><Shake>||:好可怕啊！爸爸遇到过吗？
pp19(0);NPC-PasserbyM(0)<Speaker>尤里安</Speaker>||:哈哈……爸爸运气好。要是遇到过，现在就不能带着夏莉回去见妈妈了。
