()||<BIN>83</BIN><BGM>BGM_Hello</BGM>:……+格里芬基地角落。
C96(0)<Speaker>C96</Speaker>||<BIN>83</BIN>:啊！海盗又要来和大家炫耀啦！
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:哼哼，你们看，这可是指挥官特别表扬我的奖品！+而且格琳娜小姐还特别进了一批适合我的新装备哦！
C96(0)<Speaker>C96</Speaker>;MP446Mod(0)||<BIN>83</BIN>:格琳娜小姐根本就只是想趁机让你花掉奖金而已吧！+你也太容易上当了！
C96(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:那又怎么样！至少她还特别打折过了啊！+刚刚好可以把之前的装备全部换成新的！
M1919A4(0)<Speaker>M1919A4</Speaker>;MP446Mod(0)||<BIN>83</BIN>:啊……真好啊……+好羡慕有新的装备哦。
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:哼哼，毕竟我可是费了很大的努力才从那个又黑又冷的地方坚持下来呢。+现在的我可是战胜了黑暗哦！
P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN>:哦？真的吗？+要不然……我们今天晚上再出去一次怎么样？+上次你的运气太好了，搞不好你还是一个胆小鬼啊！
P7(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:不是我不想去，而是我不想又因为我要逞强所以又害大家遇到什么危险。+如果真的要试的话……大仓库那边怎么样？+不管你怎么玩都可以哦。
P7(0)<Speaker>P7</Speaker>;MP446Mod(0)||<BIN>83</BIN>:呿……在自己基地里就不好玩了啊……
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:那就这样啦！+毕竟不能因为我个人的冲动给其他人造成烦恼嘛！
()<Speaker></Speaker>||<BIN>83</BIN>:……
P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN><黑屏1>:唉……明明前几天还很好玩的，怎么突然就变成大家的头领呢……+那好吧！+毕竟，也该是去找新的玩弄对象的时候啦！
