()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+格里芬基地。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:所以说嘛，SVT你不觉得这样的画面很搞笑吗！+我那时候是真的忍不住了！
SVT38(0)<Speaker>SVT38</Speaker>||:你昨天居然就在那种场合笑出来吗……这是很失礼的。+换我一定不管怎样都会忍住的。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:你会这样说，是因为你都没看到那只猫还有指挥官的表情嘛！
()||:……
OTs14(0)<Speaker>OTs14</Speaker>||:……
SVT38(0)<Speaker>SVT38</Speaker>||:那只猫后来去哪里了……？+没有被那个谁欺负吧？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:明明就是我们在被它欺负！+为了要抓住它我们可是整个小队一起上了！
OTs14(0)<Speaker>OTs14</Speaker>||:……莫辛纳甘，方便借一步说话吗？
M1891(0)<Speaker>莫辛纳甘</Speaker>||<黑点1>:嗯……？啊……没问题？
OTs14(0)<Speaker>OTs14</Speaker>||<BIN>73</BIN><黑点2>:多余的客套话就免了。+莫辛纳甘，发生什么事情了？
OTs14(0);M1891(0)<Speaker>莫辛纳甘</Speaker>||:……嗯？我不懂你的意思。+你说的是昨天有野猫打断指挥官做简报的事吗？
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:不，我说的是你自己。
OTs14(0);M1891(0)<Speaker>莫辛纳甘</Speaker>||:……我是真的不懂，完全没有头绪。+有没有更明确的提示呀……或许我能想得到？
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:是这样吗……+好吧，我知道了，也许是我弄错了。+抱歉问了奇怪的问题。
OTs14(0);M1891(0)<Speaker>莫辛纳甘</Speaker>||<黑屏1>:没事的，如果有什么问题的话就和我说吧！
()||<BIN>82</BIN><黑屏2>:……
M1895(0)<Speaker>纳甘左轮</Speaker>||:……+姐……能帮我拿一下柜子上面的东西吗？
