()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>22</BIN><黑屏2>:...
()<Speaker></Speaker>||:【72 hours until the mermaid squad deploys.】
Type88(0)<Speaker>QJY-88</Speaker>||:Don't panic, QJY-88. +I still have 72 hours, it's going to be fine. +It's just putting together an anti-drowning device, right? That's simple enough...
Type88(0)<Speaker>QJY-88</Speaker>||<黑点1>:If only if I had some inspiration...
()<Speaker></Speaker>||<黑点2><BIN>8</BIN>:Two hours ago.
()<Speaker>Commander</Speaker>||<BGM>GF_Cafe</BGM>:...Right, that's all the intelligence we have regarding this mission. +Break into your assigned groups and get to know each other. +Dismissed.
Type88(0)<Speaker>QJY-88</Speaker>||:Rescue team... +But I don't know how to swim...
SPS(0)<Speaker>Serdyukov</Speaker>||:Hello, QJY-88. +I'm Serdyukov.
Type88(0)<Speaker>QJY-88</Speaker>||:Hello... nice to meet you!
SPS(0)<Speaker>Serdyukov</Speaker>||:The Commander has informed me of your situation. +This mission isn't particularly challenging, and I'll give you some training beforehand. +So there's no reason to worry at all~
Type88(0)<Speaker>QJY-88</Speaker>||<黑点1>:Okay, thank you...
Type88(0)<Speaker>QJY-88</Speaker>||<黑点2><BIN>9</BIN><黑点1>:She did say that, but I feel bad for relying too much on Serdyukov... +I should still prepare some kind of contraption for myself in case of an emergency...
()<Speaker></Speaker>||<黑点2><BIN>22</BIN><BGM>BGM_Empty</BGM>:【48 hours until the mermaid squad deploys.】
Type88(0)<Speaker>QJY-88</Speaker>||<BGM>BGM_Hello</BGM>:I can't go on anymore. I haven't slept for an entire day. +I need to rest and clear my cache...
Type88(0)<Speaker>QJY-88</Speaker>||:But I haven't even come up with the blueprint...
Type88(0)<Speaker>QJY-88</Speaker>||:... +Guess I'll just hang on for a little longer.
()<Speaker></Speaker>||:【36 hours until the mermaid squad deploys.】
Type88(0)<Speaker>QJY-88</Speaker>||:ZzzZzzz...
()<Speaker></Speaker>||:QJY-88 dozes off with her chin resting on her hand. Her elbow starts sliding outwards...
Type88(0)<Speaker>QJY-88</Speaker>||:Whoa! +When did I fall asleep...?
Type88(0)<Speaker>QJY-88</Speaker>||:Oh crap, I only have 36 hours left! +Now I'm REALLY short on time!
Type88(0)<Speaker>QJY-88</Speaker>||:Time to wake up! Gotta finish this design already!
()<Speaker></Speaker>||:【18 hours until the mermaid squad deploys.】
Type88(0)<Speaker>QJY-88</Speaker>||:Phew... +Finally, some progress... +Let me make a prototype following this design.
Type88(0)<Speaker>QJY-88</Speaker>||:Only 18 hours left... Don't think I'll have time to optimize or even test it... +I'll just do whatever I can.
()<Speaker></Speaker>||:【6 hours until the mermaid squad deploys.】
Type88(0)<Speaker>QJY-88</Speaker>||:The anti-drowning device prototype is finally complete. Time to install it and see if it works.
()<Speaker></Speaker>||:The exhausted QJY-88 climbs onto the workbench and lies down. She picks up the equipment and studies it carefully.
Type88(0)<Speaker>QJY-88</Speaker>||:Hmm, at least the installation port fits perfectly...
()<Speaker></Speaker>||:Her fingers slip and the equipment falls smack onto her face.
Type88(0)<Speaker>QJY-88</Speaker>||:Oww... That hurt... +I hope I didn't break it...
()<Speaker></Speaker>||:【0 hours until the mermaid squad deploys.】
()<Speaker>Commander</Speaker>||:QJY-88, are you there? +We're setting off!
Type88(0)<Speaker>QJY-88</Speaker>||:ZzzzZzz...
()<Speaker>Commander</Speaker>||:Q...QJY-88? +Wake up, QJY-88!
Type88(0)<Speaker>QJY-88</Speaker>||<黑屏1>:...Hmm? +Commander! Is it time to go?! +I'll be right there...
()<Speaker></Speaker>||<BIN>162</BIN><黑屏2><BGM>BGM_Empty</BGM>:...
()<Speaker>Commander</Speaker>||<BGM>GF_Memorial</BGM>:...Now go and change into your battle gear. +After that, just head straight to the designated location and start your mission. +I'll join you later to check on your progress.
Type88(4)<Speaker>QJY-88</Speaker>||:Serdyukov can probably do the job even without me. +Actually, she might actually have an easier time doing it without me...
()<Speaker></Speaker>||<黑屏1>:QJY-88 peers at Serdyukov, who's getting ready, and sighs softly. Then she wanders off in the other direction alone... +She finds a remote corner and hides inside a large, unused crate.
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:From there, she takes out her anti-drowning device.
Type88(4)<Speaker>QJY-88</Speaker>||:... +I have no idea if you're going to work... +I wonder if I should even hope that you'll come in useful...
()<Speaker></Speaker>||:She installs the equipment onto herself.
()<Speaker></Speaker>||:【Anti-drowning device successfully installed.】+【Synchronizing...】+【...30%...50%...75%...】+【99%】+【...】 +【.......】+【Synchronization complete.】
Type88(4)<Speaker>QJY-88</Speaker>||:It's installed! +Maybe it's really going to work!
()<Speaker></Speaker>||:QJY-88's eyes brighten, but the glimmer goes out pretty soon.
Type88(4)<Speaker>QJY-88</Speaker>||:I think I'd just stay here after all. +Swimming is scary, and so is the sea... +If I really have to rescue somebody, this incomplete anti-drowning device is my only hope. +If it doesn't work, I'll surely become a laughing stock...
Type88(4)<Speaker>QJY-88</Speaker>||:Ugh...I don't want to be laughed at... +I just want to be a part of them...
()<Speaker>Commander</Speaker>||:QJY-88? Are you there?
Type88(4)<Speaker>QJY-88</Speaker>||:Is the Commander...looking for me? +I'm really touched...that it didn't take the Commander long to realize I was missing. +Still, I'd better stay hidden. +If I'm found, I'll definitely get scolded.
Type88(4)<Speaker>QJY-88</Speaker>||:If they never manage to find me, will the Commander just leave me behind...?
()<Speaker>Commander</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:There you are.
Type88(4)<Speaker>QJY-88</Speaker>||<黑点2><BIN>162</BIN>:Commander, I...
()<Speaker>Commander</Speaker>||:What are you doing alone in that big crate?
Type88(4)<Speaker>QJY-88</Speaker>||<BGM>BGM_Moon</BGM>:I don't want to drag Serdyukov down... +It'll be easier for her if she carries out the mission on her own...
