()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2>:...
()<Speaker></Speaker>||<SE1>AVG_doorknock_wood</SE1>:Early in the morning, at the Griffin dorm.
()<Speaker></Speaker>||<BGM>BGM_Hello</BGM>:After being awoken by the knocking on her door, M870 furiously bellows -
M870P(0)<Speaker>M870</Speaker>||:Who the hell is that? What the hell is all this racket early in the morning?!+Do you have so much money that you need me to fine it all away?!
()<Speaker></Speaker>||:M870 savagely kicks aside the blanket and opens the door— + And finds KSVK practically sparkling as she stands in front of her.
KSVK(4)<Speaker>KSVK</Speaker>||:Good morning, O Chosen One.
M870P(0)<Speaker>M870</Speaker>||:KSVK, you'd better have a damn good explanation for this buffoonery. +Or else I'll stuff the biggest fine I can write into your hat!
KSVK(4)<Speaker>KSVK</Speaker>||:Do not be angry, M870. We shall soon usher in a storm the likes of which have never been seen before.+And before the storm comes, nobody can know what they will gain or lose to it.
M870P(0)<Speaker>M870</Speaker>||:Explain yourself quickly while you can still speak. +If it's not funny enough, I'm gonna shoot a hole right through you and turn you into a donut.
KSVK(4)<Speaker>KSVK</Speaker>||:Today, all the T-Dolls in Griffin will be gathered together, to celebrate a carnival of spirits!
M870P(0)<Speaker>M870</Speaker>||:Getting real tired of your crap here.
KSVK(4)<Speaker>KSVK</Speaker>||:During the test of courage, terror will stalk every Doll, and the only way to shake it off is to scare others. +Or perhaps, no souls will find the way back before daylight...
M870P(0)<Speaker>M870</Speaker>||:So after filtering out all the bullcrap, what you're saying is that there's going to be a test of courage tonight?+Finally, something interesting. ♪
KSVK(4)<Speaker>KSVK</Speaker>||<黑屏1>:They say the victor will win a year's supply of soda water.+Come, accept the guidance of fate and join us!
()<Speaker></Speaker>||<Night><BIN>97</BIN><黑屏2><BGM>BGM_Empty</BGM>:...After the test of courage officially begins.+M870 pats her newly-acquired sensor as she walks along.
M870P(0)<Speaker>M870</Speaker>||:Man, they spouted as much crap as KSVK did. In any case, there's the monster team and the victim team, and the more victims that the monsters scare, the more points they get.+Still, are they really going to use the volume of the screams picked up by this detector to tell if someone is scared?+It just seems dumb...but eh, isn't that Griffin's way of doing things?
()<Speaker></Speaker>||<BGM>BGM_stage5</BGM>:M870 locks onto a trembling Doll nearby.
M870P(0)<Speaker>M870</Speaker>||<黑点1>:Hehe, run while you can, dorks! +I'll catch up to you soon enough and take a picture of your stupid-looking faces once you crap your pants!
()<Speaker></Speaker>||<Night><BIN>1</BIN><黑点2><BGM>BGM_Empty</BGM>:...30 minutes later. +M870 gnaws on a stalk of grass as she lies on a tree branch in utter boredom.
M870P(0)<Speaker>M870</Speaker>||:Hmph. This is lame. +You just scare them and these Dolls cough up their soda water right away. +(Burps)
()<Speaker></Speaker>||:M870 glances around. There is nobody in the vicinity.
M870P(0)<Speaker>M870</Speaker>||:The only thing those dorks are good at is running away. +The moment they hear a scream, they vanish like they spotted my chopper on Highway 666.
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:Just then, WA2000 sneakily crawls out of the vegetation and passes under the tree.
WA2000(4)<Speaker>WA2000</Speaker>||:Where did they go? I've been hiding there for so long but I didn't manage to scare anyone...
()<Speaker></Speaker>||:Still standing under the tree, WA2000 plants her hands on her hips and sighs.
WA2000(4)<Speaker>WA2000</Speaker>||:During the last haunted house event, the Commander heard my embarrassing screams... +This time, I'm going to use my flawless performance to make the Commander forget all about it... +It's just dressing up as monsters and scaring people, right? That ought to be easy.
()<Speaker></Speaker>||:M870 spits the blade of grass from her mouth and her smile becomes more and more wicked.
M870P(0)<Speaker>M870</Speaker>||:Oh yes, pretending to be a monster is the easiest thing today.+That's because everyone else is dressed up like one, so I don't need to disguise myself any more...
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:What? What was that? Who said that just now...
()<Speaker></Speaker>||:As she watches WA2000 look around anxiously, M870 fights to keep herself from laughing.
M870P(0)<Speaker>M870</Speaker>||:Huh, you can't see me? I've been behind you all this time...
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:Don't talk nonsense...
()<Speaker></Speaker>||:WA2000 stiffly turns around... +M870 takes the opportunity to leap down...
M870P(0)<Speaker>M870</Speaker>||:Here I am—!
WA2000(4)<Speaker>WA2000</Speaker>||<震屏>:<size=50>AAAAAAAAAAAAAAAHHHHHHH!</size>
()<Speaker>Announcement</Speaker>||<BGM>BGM_Empty</BGM>:<color=#FFFF00>Monster WA2000 is out! Score - 0!</color>
()<Speaker></Speaker>||:M870 smiles in satisfaction as she watches WA2000 flee into the distance, trailing dust clouds in her wake.
M870P(0)<Speaker>M870</Speaker>||:Pffft, what a shame I didn't get to see the look on WA2000's face.
()<Speaker></Speaker>||:As M870 basks in her smugness, she is pulled back to reality by another pitiful shriek.
M870P(0)<Speaker>M870</Speaker>||<黑点1>:It seems the mice have grown bold while the master's away and they're seeking to steal my spot.
()<Speaker>Gr G36c</Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_NightOPS</BGM>:WAAAAAAAAAAAHHHHHHH! SAVE ME BIG SIS!
()<Speaker></Speaker>||:After Gr G36c dumps her gigantic Jack o' Lantern on the ground and runs away, Gr PSG-1 wipes away the fake blood on herself and her Dummy and gets up off the ground.
()<Speaker>Gr PSG-1</Speaker>||<黑点1>:Another one bites the dust. Looks like victory is assured!
M870P(0)<Speaker>M870</Speaker>||<Night><BIN>1</BIN><黑点2>:Using fake blood to go with her act? Hehe...+Idiots will be idiots, after all. Looks like such childish pranks are all they can come up with even if they overload their neural clouds.
()<Speaker></Speaker>||:M870 looks at the cross in the distance and an idea suddenly comes to mind.+She hides in a corner where Gr PSG-1 can't see her, then grabs her throat to produce an eerie voice.
()<Speaker>M870</Speaker>||:<color=#DC143C>You...</color>+<color=#DC143C>Are you...one of us?</color>
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:Who's that? Come out!
()<Speaker>M870</Speaker>||:<color=#DC143C>I would like to, but I am badly wounded...</color>+<color=#DC143C>But sniffing the blood on you has lit the fire of madness within me, and I fear to startle you.</color>
()<Speaker></Speaker>||:M870 deliberately inhales.
()<Speaker>M870</Speaker>||:<color=#DC143C>Mmm... The remnants of your last meal smells...delicious.</color>
PSG1(2)<Speaker>Gr PSG-1</Speaker><Shake>||:...
()<Speaker>M870</Speaker>||:<color=#DC143C>Why do you not speak, my kin?</color>
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:I suddenly remembered that I had something to do...
()<Speaker>M870</Speaker>||:<color=#DC143C>What could possibly cause you such anxiety on a leisurely night like this?</color>+<color=#DC143C>It is Halloween tonight, and the prey have all let down their guard; it is the perfect time for us to feast...</color>
()<Speaker></Speaker>||:Gr PSG-1 shivers.
PSG1(2)<Speaker>Gr PSG-1</Speaker><Shake>||:Y-yeah, I suddenly remembered that I forgot to put my prey back in the warehouse...
()<Speaker>M870</Speaker>||:<color=#DC143C>Oh, do not leave! My kin, I pray that you will do a small favor for me before you depart, at the very least.</color>
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:...What kind of small favor is it?
()<Speaker>M870</Speaker>||:<color=#DC143C>Do you see the cross over there? It vexes me to lay eyes upon it, but I cannot remove it myself. </color>+<color=#DC143C>If you can help me tear it down, I will bestow my most exquisite chalice of blood upon you.</color>
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:... +I'll help you, but you can keep the wine glass.
()<Speaker></Speaker>||:Gr PSG-1 nervously approaches the cross, which has a handcuff covered in bloodstains attached to it.
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:Is that vampire blood...the blood of our kind?
()<Speaker>M870</Speaker>||:<color=#DC143C>Oh yes, these shackles are used to punish the traitors of our bloodline.</color>+<color=#DC143C>Said traitors are those who cannot hunt properly, who only know how to fish in troubled waters; vampires who bring disgrace to their very names.</color>+<color=#DC143C>And of course — </color>+<color=#8B0000>That also includes those villains who pretend to be vampires. </color>
PSG1(2)<Speaker>Gr PSG-1</Speaker>||<Shake>:So...what happened to the traitor who was supposed to be handcuffed here?
()<Speaker></Speaker>||:Gr PSG-1 is scared stiff. M870 takes advantage of this to quietly exit the shadows and approach Gr PSG-1.
M870P(0)<Speaker>M870</Speaker>||:Why, the first rays of dawn shone upon her and vaporized her into ash. ♪ +Come to think of it, you smell lovely. I can't detect the slightest trace of my kindred's <color=#DC143C>blood</color> from you...
()<Speaker></Speaker>||:Gr PSG-1 trembles and subconsciously grips the cross more tightly.
M870P(0)<Speaker>M870</Speaker>||<BGM>BGM_Empty</BGM>:Oh my, you wouldn't happen to be a <color=#DC143C>traitor</color>as well, would you?
PSG1(2)<Speaker>Gr PSG-1</Speaker>||<震屏>:AAAAAAAHHHHHHHHHHH!
