()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
()||<BGM>GF_Memorial</BGM>:In the Griffin dorm.
()||:CZ52 is sitting at her desk and poring over an old booklet.
CZ52(0)<Speaker>CZ52</Speaker>||:"In the middle of the little pond/ stands a pavilion of green/ and white porcelain." +"Like the back of a tiger arches/ the jade bridge/ over to the pavilion." +"Friends sit in the little house/ well dressed, drinking, chatting,/ some writing verses."
CZ52(0)<Speaker>CZ52</Speaker>||:This describes a group of friends drinking and writing poetry at a picturesque place... +What a lovely scene...
()||:CZ52 reads on and continues picturing the exquisite scene depicted in the poem. +She is so engrossed she is utterly oblivious to the knocking on her door.
???()||:CZ52, are you there?
CZ52(0)<Speaker>CZ52</Speaker>||:"Like a half-moon is the bridge/ its arch upturned"... I'd love to see such a view myself. +But there are some parts that I don't quite understand. I'll need to ask Type 95 one of these days...
???()||:Huh, the door isn't locked? +Um, sorry... I'm coming in, okay?
()||:The door opens. +CZ52 jumps at the noise and turns abruptly toward the door.
CZ52(0)<Speaker>CZ52</Speaker>||<BGM>BGM_Empty</BGM>:Who's there?!
???()||<BGM>BGM_Hello</BGM>:E-eep!!
Type88(0)<Speaker></Speaker><Position>1000,0</Position><Shake>||:The Doll who just entered darts behind the cabinet by the door. +All CZ52 can see is two long ears shuddering from behind the piece of furniture.
CZ52(0)<Speaker>CZ52</Speaker>||:Sorry... Did I startle you?
Type88(0)<Speaker></Speaker><Position>1000,0</Position>||:The pair of ears grow still.
()||:Then the person those ears are attached to shows herself before CZ52.
Type88(0)<Speaker>QJY-88</Speaker>||:Hello... I am QJY-88. I'm in charge of this year's Spring Festival celebrations... +You seemed to be reading something and didn't hear me knock, so I just let myself in... Sorry about that...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:That's alright. I was too caught up in my reading. +Wait, you say you're in charge of the...Spring Festival celebrations? You mean the New Year in the Orient?
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:Yes...I've been assigned to organize it this year. +I've come to you to ask for some help...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:Really? What would you like me to do?
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:Uh, so you agree to help?
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:Yeah, I'm very interested in this festival. +We're going to hang up lanterns and have a lavish feast together, right? +Oh right, I remember we also made decorations for the windows and the walls last year. I can do that!
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:Um...someone else is already doing that... +I'm here to invite you to take part in our New Year visits...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:New Year visits?
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:It's a very old tradition in the East when celebrating Spring Festival.
()||:QJY-88 relays all relevant information regarding the tradition to CZ52.
CZ52(0)<Speaker>CZ52</Speaker>||:Oh...I see. So basically, we call on our neighbors one by one and wish them well in the coming year?
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:Uh, more or less. +Would you like to come?
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:Sure.
CZ52(0);Type88(0)<Speaker>QJY-88</Speaker>||:...That's great. I didn't think you'd be interested.
