()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>BGM_Hello</BGM>:维尔德猛然坐起身看向周围。
()<Speaker>维尔德</Speaker>||:宿舍？我怎么回来了？+呃啊、云图烧坏的痛感好像还留在脑子里……嘶……
()<Speaker>？？？</Speaker>||:你醒了？
()<Speaker></Speaker>||:维尔德转过头，熟悉的粉发人形坐在她身边，微笑着注视她。
()<Speaker>维尔德</Speaker>||:米希亚……你把我送回来了？+大家都还平安吗？黄区的事情办下来了吗？人……
sub2000(5)<Speaker>米希亚？</Speaker>||:等等，等等，别一口气问那么多，让我一个个回答。+首先，我现在叫sub2000，明白了吗？
sub2000(5)<Speaker>维尔德</Speaker>||:好吧，sub2000，看起来你不用我推荐入职了。
sub2000(5)<Speaker>sub2000</Speaker>||:没错，我也是格里芬的一员了。+第二和第三个问题，是的，大家都很好。
sub2000(5)<Speaker></Speaker>||:说着，sub2000拿出终端，调出照片给维尔德看。
sub2000(5)<Speaker>sub2000</Speaker>||:他们在黄区靠城市的边缘安顿下来了，你看，他们还开垦了一个菜圃。
sub2000(5)<Speaker>维尔德</Speaker>||:看起来好小。
sub2000(5)<Speaker>sub2000</Speaker>||:别不知足了，他们的机动力你又不是不知道。
sub2000(5)<Speaker>维尔德</Speaker>||:那我去帮他们！不知道我的假期还够不够，让我先去见一下指挥官。
sub2000(5)<Speaker>sub2000</Speaker>||:你当然得见。我说啊，你到现在都不觉得哪里不对吗？
sub2000(5);WelrodMod(0)<Speaker>维尔德</Speaker>||:……什么？
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:指挥官说你的云图已经全烧坏了，干脆就趁这个时间给你换了一个。+按照你们这儿的说法，“心智升级”。
sub2000(5);WelrodMod(0)<Speaker>维尔德</Speaker>||:啊……我没什么感觉。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:第四个问题，你不用去帮他们。+锁匠他们说他们自己能做，等弄好了就邀请你去。
sub2000(5);WelrodMod(0)<Speaker>维尔德</Speaker>||:能行吗？
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:“你的努力，你那颗金子般光明而勇敢的心，为我们指明了前路。当然，这么走下去到底会怎样，谁也不能打包票……但是只要去做，总会有改变的。你不就给我们示范了这一点吗。”+他们是这么说的。
sub2000(5);WelrodMod(0)<Speaker>维尔德</Speaker>||:……听着好让人尴尬啊。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:你可以把害羞说得好听一点吗？
sub2000(5);WelrodMod(0)<Speaker></Speaker><同时点亮>||:两个人形面面相觑，几秒后一起笑出声来。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:能和你一起工作真是太好了……维尔德，太好了。+如果不是你，我做梦都想不到会走到这一步。
sub2000(5);WelrodMod(0)<Speaker>维尔德</Speaker>||:哈哈……在这儿你可别一言不合就自毁啊。
sub2000(5)<Speaker>sub2000</Speaker>||:听不懂，我只是个转行的瑜伽教练。
()<Speaker></Speaker>||<SE1>AVG_doorknock_wood</SE1>:咚，咚。+敲门声在此时响起，打断了两人的玩笑。
WelrodMod(0)<Speaker>维尔德</Speaker>||:请进？
M82A1(0)<Speaker>M82A1</Speaker>;WelrodMod(0)||<SE1>AVG_Door_Open_Close</SE1>:我听说你醒了，就过来看看。+抱歉，我没想到会有这么大的风波……你还好吗？
M82A1(0);WelrodMod(0)<Speaker>维尔德</Speaker>||:啊，还好。这趟其实没有什么麻烦，只是我自己想做别的事情才弄成这样。
sub2000(4)<Speaker>sub2000</Speaker>;WelrodMod(0)||:……
M82A1(0)<Speaker>M82A1</Speaker>;WelrodMod(0)||:这位是？
WelrodMod(0)<Speaker>维尔德</Speaker>||:这位是sub2000，我们的新同事……+sub2000？你怎么了，怎么这样看着M82A1？+……死机了？
sub2000(4)<Speaker></Speaker>;WelrodMod(0)||<BGM>BGM_Empty</BGM>:在维尔德连声呼唤下，sub2000终于有了反应。+她盯着M82A1，连声音都在颤抖。
sub2000(2)<Speaker>sub2000</Speaker>||:米希亚……你怎么会在这里？
M82A1(0)<Speaker>M82A1</Speaker>||:……
WelrodMod(0)<Speaker>维尔德</Speaker>||:……
()<Speaker></Speaker>||<黑屏1>:维尔德忽然觉得，也许事情离落幕还有很远……
