()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>82</BIN><BGM>BGM_Room</BGM>:宿舍内。+<color=#00CCFF>您有新的通讯请求。</color>
Welrod(0)<Speaker>维尔德</Speaker>||:是陌生的友方信号，这个时候谁发信息给我？+难道说，是有什么紧急的任务需要我来执行……
Welrod(0)<Speaker>维尔德</Speaker>||<SE1>AVG_tele_connect</SE1>:你好，我是维尔德。
M82A1(0)<Speaker>M82A1</Speaker><通讯框>;Welrod(0)||:<color=#00CCFF>你好，维尔德，我是M82A1。</color>+<color=#00CCFF>贸然打扰十分抱歉，但我想委托你代我执行一个任务。</color>
M82A1(0);Welrod(0)<Speaker>维尔德</Speaker>||:为同伴分忧是我的义务。+但格里芬的任务安排非常合理，你用什么理由来请求我？
M82A1(0)<Speaker>M82A1</Speaker>;Welrod(0)||:<color=#00CCFF>请相信我，我不是会贸然推卸任务的人。如果可以，我希望能完美地执行每一个来自指挥官的任务……</color>+<color=#00CCFF>但是由于我个人的原因，这个任务我无法执行；而说到值得全基地信赖又恰好最近有空的人形，我只能想到你。</color>
M82A1(0);Welrod(0)<Speaker>维尔德</Speaker>||:……我就不问到底是什么原因了。+既然你有难言之隐，我就替你做吧。任务时间和内容是什么？
M82A1(0)<Speaker>M82A1</Speaker>;Welrod(0)||:<color=#00CCFF>感谢你的帮忙，我会发给你的。</color>
Welrod(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:<color=#00CCFF>通讯结束。</color>+<color=#00CCFF>您有新的好友申请。</color>+<color=#00CCFF>接收到标题为任务内容的新邮件。</color>
Welrod(0)<Speaker>维尔德</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:“人形天使教”……这名字听起来真猥琐。+从这些人手里保护一位从人形制造转行的商人啊，感觉还算是简单。+不，不行，维尔德！面对潜在的黑暗，不可有半分松懈之心。+啊，对了，得和格琳娜小姐报备。
()||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:走廊上。
Welrod(0)<Speaker>维尔德</Speaker>||:格琳娜小姐！
NPC-Kalin(2)<Speaker>格琳娜</Speaker>;Welrod(0)||:啊，是维尔德啊。怎么跑得这么快？+心智升级的话，是明天下午出发哦。
