()||<BIN>83</BIN><BGM>BGM_Hello</BGM>:... +In a corner of the Griffin base.
C96(0)<Speaker>C96</Speaker>||<BIN>83</BIN>:Ah! Viking's come to show off again!
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:Hehe, this is the reward the Commander specially presented to me! +And Miss Kalina even ordered a new set of gear for me too!
C96(0)<Speaker>C96</Speaker>;MP446Mod(0)||<BIN>83</BIN>:Miss Kalina was just looking for a chance to make you spend your reward money! +You're too easily fooled!
C96(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:So what! At least she gave me a special discount! +It was just enough to change out all my previous gear!
M1919A4(0)<Speaker>M1919A4</Speaker>;MP446Mod(0)||<BIN>83</BIN>:Ah...it's so nice... +I'm so jealous of your new gear...
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:Hehe, after all, it took a lot of hard work to hang on in that dark and cold place. +As of now, I've conquered the darkness!
P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN>:Oh? Really? +How about...we go out again tonight? +You were just lucky last time, you might still be a scaredy-cat!
P7(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:It's not that I don't want to go, but I don't want to put everyone in danger just so I can prove myself. +If you really want a test of courage...how about the big storehouse? +You can try anything you want.
P7(0)<Speaker>P7</Speaker>;MP446Mod(0)||<BIN>83</BIN>:Tsk...it's not fun in our own base...
MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:It's a deal, then! After all, I can't cause trouble for other people just to satisfy my recklessness!
()<Speaker></Speaker>||<BIN>83</BIN>:...
P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN><黑屏1>:Ehhh...she was so fun to toy with a few days ago, how did she suddenly end up as our leader...? +Oh well. +I suppose it's time for me to find someone new to mess with!
