()||<BIN>88</BIN><BGM>BGM_Sad</BGM>:……某廢棄倉庫中。
BrenMK(1)<Speaker>布倫</Speaker>||:可惡……被困在這種地方……
BrenMK(1)<Speaker></Speaker>||:布倫靠在倉庫的門後。+她從破舊門板間的縫隙向外望去，不遠處的鐵血正漸漸向這裡逼近。
BrenMK(1)<Speaker>布倫</Speaker>||<黑屏1>0,3</黑屏1>:如果剛才轉移速度足夠快，就不會被逼退到這裡了……+明明已經到了新的小隊，我理應變得更強了才對啊！
()||<BIN>9</BIN><黑屏1>0.3</黑屏1>:——真的是這樣嗎？
()||:在精英人形混編的小隊中，光是跟上大家的步伐就已經足夠費力了。+我原以為那是暫時的，但現在這個狀況……已經不是自我安慰就能解決的了。
BrenMK(1)<Speaker>布倫</Speaker><Shake>1.5</Shake>||:可惡，可惡啊！+為什麼我不能變得更強！為什麼！！！
()||<黑屏1>0.3</黑屏1>:——其實我一直都明白的。
()||:我沒有辦法變得像精英人形一樣那麼強。+就算我再怎麼努力，也突破不了那個極限。+我只能在這裡停下了嗎？
BrenMK(1)<Speaker>布倫</Speaker>||<黑屏1>0,0.3</黑屏1>:要永遠望著她們的背影嗎……+我怎麼能允許這種事發生！+但是我……我應該要怎麼辦？
()||<BIN>88</BIN><黑屏2>0,0.5</黑屏2>:布倫重新站起來，拎起自己的機槍。
BrenMK(0)<Speaker>布倫</Speaker>||:……我不能窩囊地在這裡等死。+如果能再見到你的話，就向你詢問那個答案吧。+維爾德……
()||<SE1>Gunfight</SE1>:倉庫外響起槍聲。
BrenMK(0)<Speaker>布倫</Speaker>||<白屏1>0,2</白屏1>:怎麼？！
Welrod(0)<Speaker>維爾德</Speaker>||<白屏2>0,0.5</白屏2><BIN>89</BIN>:布倫！+你沒事吧？
BrenMK(0)<Speaker>布倫</Speaker>||:維爾德？！+你怎麼會在這裡！
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:我們小隊正好在附近執行任務，被指揮官調來支援了。+看來我等正義的鐵錘及時降臨於此，廢話先不多說，優先解決眼下的狀況。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:……又做多餘的事。+就算你們沒來，我也能殺出去……
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:我知道。+不過現在請你配合我，給予這些罪惡的鐵血正義的制裁！
BrenMK(0)<Speaker>布倫</Speaker>||<黑屏1>:……開始吧，維爾德。
()||<BIN>9</BIN><黑屏1><SE1>Gunfight</SE1><BGM>BGM_Empty</BGM>:……+……戰鬥結束。
()||<BGM>BGM_Wake</BGM><黑屏2><BIN>2</BIN>:格里芬小隊臨時會合點。
L85A1(0)<Speaker>L85A1</Speaker>||:嗚嗚……你沒事太好了！布倫！+聽說你被圍困在這裡，我們擔心死了！
BrenMK(0)<Speaker>布倫</Speaker>;L85A1(0)||:……不是什麼嚴重的事。+另一個呢？
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:你說IDW嗎？+她去臨時維修了，很快就過來和我們會合！
BrenMK(0)<Speaker>布倫</Speaker>;L85A1(0)||:嘖……那個蠢貓又弄傷自己了。+你先去照看她吧……+我有些話要和維爾德說。
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:……嗯。+那個……+布倫，任務結束後……要來我們的茶會嗎？
BrenMK(0)<Speaker>布倫</Speaker>;L85A1(0)||:……看情況。
