()||<BIN>82</BIN><BGM>GF_Memorial</BGM>:格里芬人形宿舍內。
IDW(0)<Speaker>IDW</Speaker><Delay>1</Delay>||:啊，在這裡！L85A1！
L85A1(0)<Speaker>L85A1</Speaker><Shake>1</Shake>||:嗚、嗚啊！+嚇我一跳……IDW，拜託下次你打招呼不要這麼大聲好嗎？
L85A1(0);IDW(0)<Speaker>IDW</Speaker>||:抱歉啦！人家今天有點激動！+布倫是今天回我們小隊吧？！！+好久沒見，好想她！！！
L85A1(0)<Speaker>L85A1</Speaker>;IDW(0)||:啊哈哈……雖然可以理解你的心情……
L85A1(0)<Speaker>L85A1</Speaker>||:不過你再這麼大聲下去，被布倫聽到的話又要說……
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||:吵死了，蠢貓。
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:啊！是……是布倫？！+你看上去和之前有些不一樣了！+哇，這新衣服好棒——！！！
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||<震屏3>:都說了要你安靜些！
L85A1(0)<Speaker>L85A1</Speaker>||:布倫，歡迎回來！+看來你的心智升級很順利呢。
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:嗯，我能感覺到自己的力量更強了。+多虧維爾德幫我爭取了名額。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:嗚嗚……你能回來真的是太好了！
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:等、等一下，你怎麼突然哭了？
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:抱歉抱歉，我只是今天有點激動……
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:你不是邀請我參加茶會嗎？+比起在這哭，不如趕快去泡茶。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:真是的……布倫，還是這麼嚴格啊。
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:因為你們太容易懈怠了。+……對了，維爾德呢？
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:隊長去提交開辦茶會的申請啦！
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;IDW(0)||:不是之前已經取得過指揮官的許可了嗎？
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:因為之前布倫你不在呀喵。+所以隊長要我們暫停茶會的計劃，等你回來再繼續辦！
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;IDW(0)||:……真是，總是喜歡做多餘的事。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:既然布倫你回來了，那麼我們趕緊討論茶會的事情吧？
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:哦……好的。+你們要討論什麼？
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:讓我看看……+只剩咖啡廳的裝飾風格沒敲定了。
IDW(0)<Speaker>IDW</Speaker>;L85A1(0)||:要超——可愛的風格，最好塞滿了貓咪玩偶噠喵！
IDW(0);L85A1(0)<Speaker>L85A1</Speaker>||:那樣太誇張了啦，還是用古典的英式風格……+布倫的意見呢？
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>;L85A1(0)||:為了讓大家不忘記我們的使命，就用靶場風格的裝飾吧。
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:哈啊？！+不行不行，那樣的話會把大家嚇跑噠喵！
