()<Speaker>MP7</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:臭·老·鼠——！+给我站住！
()<Speaker>指挥官</Speaker>||<SE1>Runstep</SE1><震屏3><黑屏1>:……+<color=#A9A9A9>……难得的圣诞节，如果可以的话，真希望不要一大早就出现让人头疼的事。</color>
()<Speaker>指挥官</Speaker>||<BGM>m_avg_casual</BGM><BIN>81</BIN><黑屏2>:……所以，发生了什么事？
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>我来到吵闹的发源地，眼前所见的是一片狼藉的走廊。</color>
AA12(0)<Speaker>AA12</Speaker>||:啊……指挥官，你终于来了。
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>一脸嫌麻烦的AA12是首先看到我的人，她一副终于解脱了的样子，显然是困扰了很久。</color>
()<Speaker>指挥官</Speaker>||:AA12……所以刚才那个声音果然是MP7的吗？
AA12(0)<Speaker>AA12</Speaker>||:我也不太清楚，总之您自己过去看看吧。+我实在不想被卷进去……
()<Speaker>指挥官</Speaker>||:我也不是不能理解你的感受……我倒是已经猜到发生了什么了。
MP7(0)<Speaker>MP7</Speaker>||<震屏3>:我就觉得很奇怪！为什么明明没有吃棒棒糖却一直在变少！果然是你这只臭老鼠搞的鬼！
PDW(2)<Speaker>蜜獾</Speaker>||:贝特才不是老鼠！
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>倒是跟我想的差不多……</color>
()<Speaker>指挥官</Speaker>||:好了……不要吵了，MP7，蜜獾。我在办公室都能听见你们的声音。+发生什么事了？
MP7(0)<Speaker>MP7</Speaker>||:啊！饲养员你来得正好！+这只老鼠纵容她的宠物偷我的棒棒糖！
PDW(2)<Speaker>蜜獾</Speaker>||:贝特才不是宠物，是我的同伴，我也不是老鼠！而且你明明也对贝特使用暴力了吧！
()<Speaker>指挥官</Speaker>||:好了！别吵了！我说……<c>这件事确实是贝特的不对……<c>MP7你的反应太过度了。<c>两边各让一步怎么样？
MP7(0)<Speaker>两人</Speaker>;PDW(2)<Speaker>两人</Speaker>||<分支>3</分支>:不要！
MP7(0)<Speaker>MP7</Speaker>||<分支>2</分支>:才没有反应过度！
MP7(0)<Speaker>MP7</Speaker>||<分支>1</分支>:这是当然的吧！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:只不过是棒棒糖而已吧？
MP7(0)<Speaker>MP7</Speaker>;PDW(2)||:居然说只是棒棒糖——这是很严重的发言过失啊！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:又没有说错，又不是小孩子了，为区区的棒棒糖大动肝火，真不像话。
MP7(0)<Speaker>MP7</Speaker>;PDW(2)||:你说什么——！
()<Speaker>指挥官</Speaker>||:好了！
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>眼前的两人非但没有各让一步的意思，还有些越演越烈的架势，我不禁头疼了起来。</color>
()<Speaker>指挥官</Speaker>||:你们两个的关系……也未免太差了吧。+<color=#A9A9A9>而且为什么贝特居然会吃棒棒糖啊……想不明白，难道是故意要惹MP7生气吗？</color>
MP7(0)<Speaker>MP7</Speaker>||:这还用说吗！我最讨厌她了！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:彼此彼此。
MP7(0)<Speaker>MP7</Speaker>||:咿——！
()<Speaker>指挥官</Speaker>||<黑点1>:你们两个，都不要吵了。+……我有个方案。
()||<BGM>BGM_Empty</BGM><黑点2>:……+……说明结束。
()<Speaker>MP7&蜜獾</Speaker>||<BGM>BGM_Hello</BGM>:啊！？
MP7(0)<Speaker>MP7</Speaker>||:饲养员你脑袋坏掉了吗？凭什么我的棒棒糖被人偷走了我还反而要送礼物给她不可啊！
PDW(2)<Speaker>蜜獾</Speaker>||:这样的话我也正要说，指挥官。+我完全不明白这样做的意义和理由是什么。+跟这种人交换礼物有什么哪怕一丁点的好处吗？
()<Speaker>指挥官</Speaker>||:好了好了，都冷静一下，听我解释。+你们两个，这样吵下去也没完没了的吧？+与其谁都不服谁，不如公平一点让对方心服口服……虽然是这么说，但你们没有忘记今天是什么日子吧？
PDW(2)<Speaker>蜜獾</Speaker>||:……是圣诞节。
MP7(0)<Speaker>MP7</Speaker>||:是圣诞节吧。
()<Speaker>指挥官</Speaker>||:知道就好，我可不想在圣诞节的时候主持决斗，所以用这种符合节日氛围的方式来分胜负，难道不是刚好吗？+给你们二位一天的时间做准备，谁的礼物能够让对方心服口服，谁就是胜利者，失败的一方要好好地道歉。
MP7(0)<Speaker>MP7</Speaker>||:我才不要！给这只老鼠准备礼物什么的完全是浪费时间和金钱！
()<Speaker>指挥官</Speaker>||:还是说……+MP7你担心用这种方式比试的话会输掉吗？
MP7(0)<Speaker>MP7</Speaker>||:……+啊？
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>果然，MP7把声音提高了几分。</color>+<color=#A9A9A9>MP7并不是笨蛋，但是却很容易中激将法。</color>
MP7(0)<Speaker>MP7</Speaker>||:真敢说啊……饲养员，你胆子变大了嘛。+比就比！谁怕谁啊！+你这家伙，给我洗干净脖子等着！这只臭老鼠！
()||:MP7愤愤而去。
PDW(2)<Speaker>蜜獾</Speaker>||:……
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>……好刺痛啊，蜜獾的眼神。</color>
PDW(2)<Speaker>蜜獾</Speaker>||:要分胜负是没有关系，反正不论用什么方式，我和贝特都是不会输的。+既然是指挥官的要求，我就稍微奉陪一下……唯独不想输给那种家伙啊。+不管是什么方式也好。
()<Speaker>指挥官</Speaker>||:……+我早就想问了，蜜獾你跟MP7之间是有什么深仇大恨吗？
PDW(2)<Speaker>蜜獾</Speaker>||:也说不上是那种程度吧。+只是稍微有些合不来罢了？
()<Speaker>指挥官</Speaker>||:这不是“稍微”的程度了吧？+的确，MP7的性格一直都是那样，但我也知道，她并不是什么坏孩子。+还有蜜獾你也是，一直以来都非常可靠……贝特也一样。
PDW(2)<Speaker>蜜獾</Speaker>||:所以才想到了用“交换礼物”这种奇怪的方式给我们鼓劲吗？
()<Speaker>指挥官</Speaker>||:比试什么的当然是幌子，如果可以的话，我希望这能称为一个你们和好的契机。+毕竟如果你们一直相处都不融洽的话，我可是会很头疼的。
PDW(2)<Speaker>蜜獾</Speaker>||:我也不是完全不能理解指挥官的想法。+但我觉得只是白费力气而已。
()<Speaker>指挥官</Speaker>||:为什么？
PDW(2)<Speaker>蜜獾</Speaker>||:我并不觉得那家伙会认真准备礼物。+多半只是会带过来一些小家子气的东西，甚至是恶作剧一样的玩具来让我难堪吧。
()<Speaker>指挥官</Speaker>||:……会那样吗？
PDW(2)<Speaker>蜜獾</Speaker>||:虽然这样说可能会很奇怪。+但我和那家伙之间的孽缘并不是这样轻而易举就能够了结的东西。
()<Speaker>指挥官</Speaker>||:都说到这样的地步了，反而让人放心不下。+我倒是觉得MP7不会做出那样的事情。+我已经说过了，虽然MP7的个性稍微有些别扭，但她并不是坏孩子。
PDW(2)<Speaker>蜜獾</Speaker>||:嗯哼……指挥官很信赖她嘛。
()<Speaker>指挥官</Speaker>||:我信赖的是你们所有人。+包括你在内，我相信你们当中不会有坏人。
PDW(2)<Speaker>蜜獾</Speaker>||:既然如此，要不要跟我打个赌呢？指挥官？
()<Speaker>指挥官</Speaker>||:打赌？
PDW(2)<Speaker>蜜獾</Speaker>||:就赌那家伙到底会不会认真地去给我准备礼物。
()<Speaker>指挥官</Speaker>||:……我觉得这种事情没有赌博的意义啊。
