()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker>G36</Speaker>||<BIN>9</BIN><黑屏2>:嗚……
()<Speaker>G36</Speaker>||<黑屏1>:這樣下去可能會威脅到素體運作，得趕快確認狀況。+好暗，看不清楚，誰把燈關了？+總之，得先推開維修槽的艙蓋……
()||<BIN>7</BIN><黑屏2>:G36使盡全力一推，卻發現這個艙蓋遠比自己想象中的要輕。
()||:事實上，就是個紙板子－－－用力過猛的G36於是整個人往前跑出了方才被困住的場所，往前撲倒在雪地裡。
()<Speaker>G36</Speaker>||:咦？雪……這是……怎麼回事？
()<Speaker>G36</Speaker>||:我應該……還在格里芬基地維修槽裡的才對……為什麼……
()||:回頭一看，視線有點模糊。+等到撿起掉在雪裡的眼鏡戴上，再仔細一看。
()||:G36發現那也不是什麼維修槽，而是個突兀地插在雪原上的半截禮物盒。
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||<BGM>BGM_Moon</BGM>:呃呃頭好疼……+只是思考一下就頭痛得要命……總覺得……我好像變笨了……
()||:G36站在原地望著包裝盒子，苦思了許久後狀況並沒有任何改善。
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||:繼續待在這裡是不行的，得趕快找到聯絡的方式吧……
()<Speaker></Speaker>||<黑屏1>:G36握緊拳頭，給自己打氣下定決心後，開始邁出腳步一路前行。
()<Speaker></Speaker>||<黑屏2><BIN>6</BIN><Night>:短短的雙腿吃力地在雪中掙扎向前，天色逐漸昏暗，風雪聲呼呼作響。+不知為何，G36開始感到自己意識跟思維都逐漸變得有些茫然。
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||:啊啊……不但很冷……而且好餓……嗯？
G36(4)<Speaker></Speaker><Position>0,-100</Position>||:忽然間，手邊的菜籃裡發出了光芒與震動。
G36(4)<Speaker></Speaker><Position>0,-100</Position>||<黑屏1>:G36小心翼翼地揭開了菜籃上覆蓋的布巾，看到了一根發光的拐杖糖和禦寒的服裝。
G36(10)<Speaker>G36</Speaker>||<黑屏2>:……硬糖棍的話，應該能補充點能量呢。+但如果能吃上什麼真正的大餐就更好－－－
G36(10)<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏>:如同在回應著她一般，G36手中的拐杖糖發出了一陣強光。
G36(10)<Speaker></Speaker>||:等到G36的視線恢復清晰，眼前已經出現了一大盤熱騰騰冒著煙的多汁烤雞。
G36(10)<Speaker>G36</Speaker>||<BGM>BGM_Empty</BGM>:這、這是怎麼回事？不過有食物真是幫了大忙……+啊，菜籃裡也有刀叉！太好了，趕快先吃一餐補充點能源……
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||<BGM>BGM_Hello</BGM>:那個那個，好心的小姐姐，能不能……分我些吃的？
G36(10)<Speaker>G36</Speaker>||:欸？是妖精？為什麼會在這種地方……
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:我什麼都不知道，人家只知道今天真是冷得亂七八糟啊。+再沒有東西吃，感覺就要翹辮子啦。
G36(10)<Speaker>G36</Speaker>||:既然這樣的話，那邊那盤烤雞分你一點也可以呀。
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:哇啊！真是太好了！
()||:妖精以迅雷不及掩耳的速度，三兩下就將一大盤的烤雞給收拾了。
G36(10)<Speaker>G36</Speaker>||:誒？這麼快！
G36(10)<Speaker>G36</Speaker>||:<color=#A9A9A9>（我沒有來得及說……也留給我一點啊……）</color>
G36(10)<Speaker>G36</Speaker>||:<color=#A9A9A9>（妖精不是無人機投影而已嗎？而且那個食量是怎麼回事！）</color>
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:嗝～多謝招待！好心的小姐姐！
G36(10)<Speaker>G36</Speaker>||:呃……說好的一點……
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:嗯？
G36(10)<Speaker>G36</Speaker>||:沒事……你吃飽了就好。
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:小姐姐，前方那座森林裡還有更多遭遇困難的妖精！+如果還有餘力的話，能不能也幫幫他們呢？
G36(10)<Speaker>G36</Speaker>||:什麼，還有其他妖精也遇難了？
G36(10)<Speaker>G36</Speaker>||:<color=#A9A9A9>（如果能找到更多倖存者，說不定就能知道回基地的路）</color>
G36(10)<Speaker>G36</Speaker>||<黑屏1>:拜託了，快帶我過去！
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position><Shake>||<黑屏2><BIN>7</BIN><Night>:唔唔唔好冷好冷啊！感覺就快要變成冰棍啦！
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:請往這邊走，G36小姐！我們的大姐頭應該就在這附近。
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position>||:嗯？有人在說話？是誰？有人在嗎？
G36(10)<Speaker>G36</Speaker>||:啊，看到了，果然還有其他的妖精。
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position>||:嗚哇～請幫幫我！給我錢，不然實在沒有東西可以燒來取暖了！+最後一捆鈔票昨天就燒完了，剩下來的金條實在沒法當柴燒啊！
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:大姐頭，這種情況下應該不是要錢來燒的時候……
G36(10)<Speaker>G36</Speaker>||:如果覺得冷的話，是不是多穿點保暖的衣物，比如毛線襪子會比較好呢？
()||<闪屏><duration>5</duration></闪屏>:話才剛說完，G36手裡的拐杖糖又發出了光芒。
()||:很快，一條尺寸有點大，但恰好可以將妖精裝進去的聖誕襪從半空中掉落下來。
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position>||:哦哦哦哦……！尺寸剛剛好可以把我裝進去！好暖和！就像是被窩一樣令人安心！+太厲害了，那是心想事成的魔法棒嗎？你一定就是傳說中的聖誕老人對吧！
G36(10)<Speaker>G36</Speaker>||:不，那個……其實我也是一頭霧水啦。+我想問的是，你知道格里芬的基地在什麼方向嗎？
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position>||:基地？格里芬的？問這個幹什麼？
G36(10)<Speaker>G36</Speaker>||:我還有沒完成的任務呢，得盡快回到基地才行……
FairyGold(1)<Speaker>黃金妖精</Speaker><Position>0,250</Position>||:真不敢相信，今天是平安夜吧？怎麼還會有你這種滿腦子掛念著任務的人形……+去問其他妖精吧，我可沒關心過這種事呢。
G36(10)<Speaker>G36</Speaker>||:是這樣啊……我知道了，那我再去找其他人問問吧。
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||:請跟我往這邊走！我還知道一些其他有困擾的妖精！
FairyShield(0)<Speaker>護盾妖精</Speaker><Position>0,250</Position>||<黑屏1>:那傢伙跟你一樣熱衷於完成任務，若是知道些什麼的話一定很樂意跟你分享的！
