()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>46</BIN><SE1>RunStep</SE1><BGM>BGM_Brain</BGM>:女の子が一人、青ざめた表情で廊下を走っている。
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:ひどく疲れているが、足を止めることは出来ない。+かつて親しかった者が、彼女の後ろを追いかけている。やさしかったその顔も、今や欲望に歪められた怪物のようになっていた。+どうしたら……どうしたらいいの……+そうだ、父が亡くなる前に言っていたわ。もしも命の危機に瀕した際は、地下室に行くようにと……+藁にもすがる思いで、少女は力を振り絞り、地下室の方を目指して逃げて行った。+「そうか……」+「今回はお前か……」+それは恐ろしいほど陰惨で、けれど何故だか拒絶のできないような魅力的な声だった。+あれは誰なの？地下で話してるのは誰？そして、少女の血がその枯れ果てた顔の皮膚に触れた時、混沌の音色が再び響き渡ったのです……
TAC50(0)<Speaker>TAC50</Speaker>||<BGM>BGM_Empty</BGM>:っていう感じなのはどうかな、S.A.T.8？前座に入れてもいいし、違うタイプのお話がいいのならそれでも。+ハロウィンまで時間はもうそんなにないけど、アイディアならまだいくつかあってね、だから良かったら……
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||<BGM>BGM_Hello</BGM>:うーん……確かに雰囲気はありますけど……+なんだか背筋が凍るような話ですね……
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||:じゃあ、これを今年のハロウィンイベントの一環として組み込もうよ。+音響周りは楓月に小型のスピーカーを付ければいいし、照明は……
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||:ありがとうございます、TAC-50さん。熱意は確かに伝わりました。+それにアイディアとしても、とってもいいと思います！なので、TAC50さんさえ良ければ、オープニングにお願いしたいです。+ただ、その後のことについては私一人で企画したいのですが、それでも大丈夫ですか？
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||:あ……なるほど？+神秘もまた恐怖を感じさせる一つの要素だもんね。+じゃあ頑張ってね、S.A.T.8。もし助けが必要な時は、迷わず私を呼んでくれていいから！
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||:はい――その時はお言葉に甘えさせていただきますね。
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||<黑屏1>:うんうん。
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2><BGM>BGM_Empty</BGM>:話を終え、TAC-50は宿舎に戻った。+暫くボーッとした後に、ドローンを自分の手のひらに降ろした。
