enemy_illustration-10000027,アーキテクト
enemy_illustration-20000027,遠距離破壊と火力支援に長け、戦闘能力は高い。通常は単独行動を好む。活発で明るく能天気な少女で、いつでもハイテンション。グリフィンに対しても特に敵対意識がない。鉄血の命令には最小限のみ従うが、爆破と破壊には異様に熱中するため、敵からはかなり危険視されている。
enemy_illustration-30000027,攻撃予告を行った位置に中程度のダメージを与える。周囲も巻き込んだ範囲攻撃となるため、人形を指揮し適宜回避が必要。
enemy_illustration-10000005,スケアクロウ
enemy_illustration-20000005,情報の収集と分析が得意で、正面きっての戦闘は苦手。鉄血人形の中での地位は低め。理性派で、無口かつ毒舌。職務を忠実に遂行し、感性というものを見下す。感情豊かで服従しか知らないグリフィン人形に優越感を抱いている。
enemy_illustration-30000005,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000045,エージェント
enemy_illustration-20000045,エリザと鉄血の連絡任務を担当。戦闘人形はその命令に直接従う。地位は極めて高く、戦闘も指揮も得意。すべての戦闘人形を指揮できる。冷静沈着で、決して羽目を外すことはない。敵にも味方にも敬語を使う。しかし実際は、主人には忠実であるが他人を見下しており、特にグリフィンのことをバカにしている。
enemy_illustration-30000045,彼女がシールドを生成した際には、火力を集中させシールドを破ることでチャージを中断させ、高火力の攻撃を回避しよう。
enemy_illustration-10000008,エクスキューショナー
enemy_illustration-20000008,エリートの斥候に相当する。スケアクロウよりやや地位が高く、よくコンビを組んでいる。衝動的で大雑把な女傑。正々堂々とした戦いを好み、弱い者いじめを嫌う。
enemy_illustration-30000008,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000020,エクスキューショナーElite
enemy_illustration-20000020,策を弄するよりも、正面から戦うことを好む鉄血のエリート人形。太刀がさらに強化され、白兵戦の性能が向上している。正々堂々とした戦いを好み、弱い者いじめを嫌う。
enemy_illustration-30000020,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000011,ハンター
enemy_illustration-20000011,機動性と知能は比較的高く、妨害と追撃作戦が得意。だがスケアクロウとエクスキューショナーの協力がなければ実力を最大限発揮できない。冷静沈着で、あらゆる手段を用いて敵を袋小路に追い込み生け捕りにする。グリフィンをかなり見下しているが、卑劣すぎる手段を取ることは潔しとしない。
enemy_illustration-30000011,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000019,ハンターElite
enemy_illustration-20000019,機動性と知性が高く、妨害と追撃作戦が得意な鉄血エリート人形。本来の規格と比べて、搭載されている演算ユニットが大幅にアップグレードされ、より冷酷になっている。あらゆる手段を用いて敵を袋小路に追い込み生け捕りにする。
enemy_illustration-30000019,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000017,イントゥルーダー
enemy_illustration-20000017,戦闘策略の提供を担当。また暗号解読と妨害任務も得意で、戦闘人形を直接指揮できる比較的優れた人材。ゲーガーへの直接管理権を持つ。上品で穏やかな言動の背後に、大きな虚無を感じさせる。人類の演劇が好きで、自分自身を投影しているようだ。
enemy_illustration-30000017,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000026,ゲーガー
enemy_illustration-20000026,主に指揮作戦と人員調整を担当。戦闘人形を直接指揮でき、またなかなかの戦闘能力も持つ。地位は比較的高く、エージェントに直接責任を負う。真面目で厳しく、妥協を許さない。言動から凜とした切れ者の気質がうかがえる。敵に対してもポリシーを持ち、礼節を欠かさない。
enemy_illustration-30000026,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000023,アルケミスト
enemy_illustration-20000023,各種戦術ニーズに対応するマルチアタッカーで、尋問と拷問が得意。鉄血の戦闘エリートで、デストロイヤーとコンビを組むことも。うぬぼれ屋で尊大かつ残忍、目的達成のためなら手段を選ばない。Ｓっ気があり、グリフィンを欲望を満たすためのおもちゃと考えている。しかし精神的には大人で、鉄血の仲間のために力を尽くしてくれる。
enemy_illustration-30000023,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000035,ジャッジ
enemy_illustration-20000035,指揮能力に偏り、鉄血本部の防護と安全システムを担当する。エリザの侍衛を務め、彼女の命令しか聞かない。胡蝶事件の後に作られた人形で、一日中ドリーマーといるのが苦痛。厳格で頑固、軍人の威厳と風格にあふれている。エリザに絶対的な忠誠を誓う。しかし背が低いため迫力に欠け、このことを指摘した者は敵味方関係なくひどい目に遭う。
enemy_illustration-30000035,射速が高く、火力は普通。同時に複数を攻撃するため、十分な防御力を持つショットガンの人形で食い止めるとよい。また、地面に表示される紫の領域を避けないと、持続ダメージと弱化効果を受けるので注意しよう。
enemy_illustration-10000018,デストロイヤー
enemy_illustration-20000018,爆破任務が得意で、爆弾処理も専門家レベル。戦闘能力も高く、アルケミストとコンビを組むことも。普段は高慢で毒舌だが実はツンデレ。少し子供っぽく、焦るとべそをかく。自分の身長をかなり気にしている。
enemy_illustration-30000018,一発当たりの火力は極めた高いが、射速は低めで、命中は普通。回避タイプの人形で食い止めるとよい。
enemy_illustration-10000034,デストロイヤーPlus
enemy_illustration-20000034,ドリーマーに素体を改造されたデストロイヤーの新しい姿。火力が大幅に強化され、破壊力が増している。しかし性格やメンタルに大きな変化はない。
enemy_illustration-30000034,攻撃予告を行った位置に中程度のダメージを与える。人形を指揮し適宜回避が必要。
enemy_illustration-10000024,ドリーマー
enemy_illustration-20000024,遠隔での戦闘能力に重点を置き、超遠距離から狙った場所を攻撃する能力を備える。エリザが直接指揮を執る。胡蝶事件の後で作られた人形。自身の能力により正面攻撃する必要がないため、普段は鉄血本部にいて、ジャッジをからかって遊んでいる。優雅な微笑みの中に、傲慢さと捉えどころのなさがうかがえる。精神状態は極めて不安定で、常に自己中心的。戦闘では狂気的かつ制御不能な一面を見せる。また、恐るべき破壊力を持ち、仲間の安否さえ考えない。通常は戦場に現れないのが幸いである。
enemy_illustration-30000024,射程が長いため、部隊の移動速度に注意しないと大きな損害をもたらす。
enemy_illustration-10000021,ウロボロス
enemy_illustration-20000021,短距離の突破または防御作戦が得意で、知能と戦闘能力が高い。胡蝶事件の後に作られた人形だが、試験的な製造であるため、ＡＩが極めて不安定で制御しにくい。表面的には物静かだが、内心は傲慢。強い武力と知性を兼ね備えるが、実戦経験が少ない。不可解な行動をとるため、敵も味方も動きが読めず、危険度は極めて高い。
enemy_illustration-30000021,攻撃予告を行った位置に中程度のダメージを与える。人形を指揮し適宜回避が必要。
enemy_illustration-10000022,ウロボロスElite
enemy_illustration-20000022,あらゆる作戦と戦術演算に長けているハイスペックな鉄血エリート人形。全てのステータスが高い水準となっており、戦場ではオールラウンダーを担える存在。以前と比べて大量の戦術データを取り込んで強化されており、冷静な見た目とは裏腹に内心は非常に傲慢……しかし相変わらず実戦経験が少なく、敵も味方も予測できない不可解な行動をとるため、戦場へ投入するにはリスクが高い。
enemy_illustration-30000022,攻撃予告を行った位置に中程度のダメージを与える。人形を指揮し適宜回避が必要。
enemy_illustration-10000033,ケルベロス
enemy_illustration-20000033,鉄血の「ダイナーゲート」の超強化バージョン。体型も装甲も火力も大幅に強化されており、人形のメンタルさえも（不完全だが）収納することができる。しかしコスパがあまりよくなく、量産には向いていない。そして戦場における役割もそんなに明白ではない上に、開発の経緯も全くの謎。故に、出番は非常に少ない。
enemy_illustration-30000033,攻撃予告を行った位置に中程度のダメージを与える。人形を指揮し適宜回避が必要。
enemy_illustration-10000044,M16A1
enemy_illustration-20000044,【傘】ウィルスに感染し鉄血と化した元AR小隊所属のグリフィン戦術人形M16A1。見た目も性格も大きく変わったが、その高い作戦能力だけは変わらなかった。味方としてはとても信頼できるが、敵としてこれ以上恐ろしい存在はない。
enemy_illustration-30000044,ビーコンを付けた人形の銃種によって、M16A1にもたらされる効果は異なる。ビーコンを放たれた時は、どの銃種の人形で対応するかよく考えよう。
enemy_illustration-10000004,リッパー
enemy_illustration-20000004,鉄血の標準戦闘ダミー。短機関銃を装備し、機動性が比較的高い。戦場では先鋒や、偵察の役割を務める。
enemy_illustration-30000004,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000007,ヴェスピド
enemy_illustration-20000007,鉄血の標準戦闘ダミー。突撃銃を装備し、火力は下級の軍用人形と同等で、小規模戦闘の主な戦力となる。
enemy_illustration-30000007,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000010,ガード
enemy_illustration-20000010,鉄血の上級戦闘ダミー。シールドと銃剣付き拳銃を装備し、外見から分かるとおり高防御の護衛として機能する。通常は防御の重要ユニットや、上級先鋒隊として部隊の出撃時に用いられる。
enemy_illustration-30000010,近接戦闘ユニットであり、防御力が比較的高いが、攻撃力はそれほどでもない。しかし、ガードに守られた高火力ユニットが脅威となるため、適切な銃種を選択し、後列の敵を優先して処理しよう。
enemy_illustration-10000057,ガードSWAP
enemy_illustration-20000057,「ガード」の強化バージョン。シールドと銃剣付き拳銃が強化され、本来よりも高い防御力を得ている。
enemy_illustration-30000057,近接戦闘ユニットであり、防御力が比較的高いが、攻撃力はそれほどでもない。しかし、ガードに守られた高火力ユニットが脅威となるため、適切な銃種を選択し、後列の敵を優先して処理しよう。
enemy_illustration-10000009,イェーガー
enemy_illustration-20000009,鉄血の標準戦闘ダミー。狙撃銃を装備し、高い火力と照準を持つが、本体は脆弱である。通常の戦場でまず用心すべき相手。
enemy_illustration-30000009,主に後列に位置し、射速は遅めで、命中は高め。前列の味方に大きなダメージを与えるため、優先して敵の後列を処理するユニットを投入しよう。
enemy_illustration-10000056,イェーガーSWAP
enemy_illustration-20000056,「イェーガー」の強化バージョン。狙撃銃の火力と精度が強化され、脆弱な本体もより強固となり、以前よりも恐ろしい存在となった。
enemy_illustration-30000056,主に後列に位置し、射速は遅めで、命中は高め。前列の味方に大きなダメージを与えるため、優先して敵の後列を処理するユニットを投入しよう。
enemy_illustration-10000029,ストライカー
enemy_illustration-20000029,鉄血の標準戦闘ユニット。回転式機関銃を装備し、火力と射速が比較的高い。戦場では火力部隊として、敵の制圧に用いられる。
enemy_illustration-30000029,射速が高めで、火力は一般的。十分な防御力を持つショットガンの人形で食い止めるとよい。
enemy_illustration-10000059,ストライカーSWAP
enemy_illustration-20000059,「ストライカー」の強化バージョン。回転式機関銃の火力が強化され、装甲もより強固となった。その制圧力は以前よりもずっと恐ろしい。
enemy_illustration-30000059,射速が高めで、火力は一般的。十分な防御力を持つショットガンの人形で食い止めるとよい。
enemy_illustration-10000028,ブルート
