item-10000001,人形製造契約
item-20000001,人形の製造を委託する発注書。//n人形1体につき1枚必要。
item-10000002,装備製造契約
item-20000002,装備の製造を委託する発注書。//n装備1点につき1枚必要。
item-10000003,快速製造契約
item-20000003,急ぎの製造を依頼する発注書。//n人形または装備の製造が直ちに完了する。
item-10000004,快速修復契約
item-20000004,急ぎの修復を依頼する発注書。//n人形の修復を直ちに完了する。
item-10000005,一時停止毎日許可
item-20000005,一時停止毎日許可
item-10000006,自動戦闘許可
item-20000006,自動戦闘許可
item-10000007,誓約の証
item-20000007,心の通い合った戦術人形と誓約を結ぶための証。//n誓約した人形は更に多くの権限と使命を得る。
item-10000008,快速訓練契約
item-20000008,急ぎの訓練を依頼する発注書。//n人形の訓練が直ちに完了する。
item-10000009,増幅カプセル
item-20000009,使用すると、人形の一部ステータスが+1される。//n（現在の上限は超えない）//n一度に10個以上使用すると、他のステータスに振り分けることもできる。
item-10000010,代用コア
item-20000010,自律行動するダミーに用いる駆動モジュール。//n所有者の許可なしでは外せない。
item-10000011,パスワードカード
item-20000011,イベントで数字を引ける
item-10000012,ポイント
item-20000012,イベントで数字を選べる
item-10000013,改名カード
item-20000013,改名カード
item-10000014,原始サンプル
item-20000014,分析することでチップや重装の欠片を手に入れることができる。「また同じ結果になるのかな？インスピレーションがちょっと足りないだけだったりして」。
item-10000015,純正サンプル
item-20000015,分析することでチップや重装の欠片を手に入れることができる。また、純正サンプルを使用すると、より良い結果が得られやすくなる。「少なくとも見た目は純正に見えるね」。
item-10000016,快速解析契約
item-20000016,一度にデータサンプルの分析を全て完了させる。「向こうの個人的な趣味のために、実写の猫の写真を一枚おまけして出す必要がある」。
item-10000017,データパッチ
item-20000017,レベルを上限まで上げた重装部隊を解体することによって入手でき、重装部隊のランクアップの際に使用される。『「三人行えば、必ず我が師有り」。だから……「さようなら、先生」。』
item-10000031,初級訓練資料
item-20000031,人形に質の低いスキルトレーニングを提供する。//n模擬作戦で入手可能。
item-10000032,中級訓練資料
item-20000032,人形に普通のスキルトレーニングを提供する。//n模擬作戦で入手可能。
item-10000033,上級訓練資料
item-20000033,人形に質の高いスキルトレーニングを提供する。//n模擬作戦で入手可能。
item-10000041,コイン
item-20000041,スキンや家具の購入に用いる特殊通貨。
item-10000042,引換券
item-20000042,たくさん買えばたくさん貰える。//n流石は業界でも良心的と言われているIOPだ！
item-10000043,ブラックカード
item-20000043,かつては精鋭のみが申請できたハイエンドカード。//n指揮官にスキンの直接購入権を提供する。
item-10000044,較正チケット
item-20000044,装備較正に必要なチケット。//n見た目的に大した価値はなさそうだが・・・。
item-10000045,記憶の欠片
item-20000045,再び、グリフィンは人形権益報告書を公開した。//n「貴方達は我々に自由を差し出すが、我々はただアイスクリームが欲しい。」
item-10000046,特種作戦報告書
item-20000046,重装部隊のレベルを上げる際に使用される。「失敗は成功の基。この訓練から、皆が大切なことを見つけてくれることを祈る」。
item-10000047,局地戦区素材
item-20000047,
item-10000048,
item-20000048,
item-10000049,
item-20000049,
item-10000050,汎用部品
item-20000050,人形たちが任務のついでに回収してきた古い部品。少し洗って加工すれば装備強化に使用できる。カリーナ、指揮官両名ともこれにすこぶる機嫌を良くし、回収を提案した人形を表彰までしたが、給料を上げたりはしていない模様。
item-10000051,
item-20000051,
item-10000100,グリフィン・エリート勲章
item-20000100,指揮官とその麾下の戦術人形による優れた功績を表彰する勲章。
item-10000101,戦闘ランキング勲章
item-20000101,<color=#ffb400>ハンティング</color>、<color=#ffb400>資料収集</color>、<color=#ffb400>防御演習</color>のランキングで非凡な成績を獲得した指揮官に授与される
item-10000102,収集ランキング勲章
item-20000102,<color=#ffb400>人形収集</color>、<color=#ffb400>家具収集</color>のランキングで非凡な成績を獲得した指揮官に授与される。
item-10000103,挑戦者勲章
item-20000103,努力を怠らず、イベントにおいて非凡な成績を収めた指揮官に授与される勲章。
item-10000104,エリートの奇妙な冒険勲章
item-20000104,指揮官と戦術人形達の奇妙な冒険を記念する。
item-10000301,中枢データ：BGM-71
item-20000301,重装部隊BGM-71のデータの欠片。-「報告！目標区域に味方を確認！」-「ありゃま……じゃあ彼女たちの幸運でも祈ろう！」
item-10000302,中枢データ：AGS-30
item-20000302,重装部隊AGS-30のデータの欠片。-「ある意味……みんな眼鏡かけてるよね？」-「ね！私のは携帯性さいあくだけど！」
item-10000303,中枢データ：2B14
item-20000303,重装部隊2B14のデータの欠片。-「これって榴弾だっけ？それとも昨日の夜、飲み会のときに詰めた花火だっけ？」-「見たい人がいることには変わらないっしょ！」
item-10000304,中枢データ：M2
item-20000304,重装部隊M2のデータの欠片。-「この角度で……本当に大丈夫なの？」-「違っても、それは私たちのせいじゃなくて数学のせいだね～」。
item-10000305,中枢データ：AT4
item-20000305,重装部隊AT4のデータの欠片。
item-10000306,中枢データ：QLZ-04
item-20000306,重装部隊QLZ-04のデータの欠片。-「目標地点に到達、装填を開始しま……あれっ、なんで入らないんだろ？」-「あーもう！あれほど出発前に、あの飲んだくれ達と飲むなって言ったのに！」
item-10000501,人力
item-20000501,基本資源の1つ。//n人形が行動するのに必要なエネルギー。
item-10000502,弾薬
item-20000502,基本資源の1つ。//n人形戦闘時に提供される弾薬。
item-10000503,配給
item-20000503,基本資源の1つ。//n人形のHPを維持するための補給品。
item-10000504,部品
item-20000504,基本資源の1つ。//n人形の構成に必要な部品。
item-10000505,ダイヤ
item-20000505,混乱の時代に新たに確立された一般的等価物。多くの場合、金銭よりも役に立つ。
item-10000506,バッテリー
item-20000506,付属施設の機能開拓に用いる特殊バッテリー。
item-10000507,トータル経験値
item-20000507,トータル経験値
item-10000508,友情ポイント
item-20000508,戦友との交流で獲得//nみんな友達になろう！
item-10000509,妖精指令
item-20000509,指令発動により、妖精にスキル使用を命じる
item-10000510,模擬作戦超伝導AP
item-20000510,模擬作戦を行う際に使用される。ショップにて入手可能。「決められた供給に尽きることのない消費。これぞまさしく市場、ですね！」
item-10000511,指揮官経験値
item-20000511,指揮官経験値
item-10001001,AAT-52アイコン
item-20001001,AAT-52アイコン
item-10001002,G43アイコン
item-20001002,G43アイコン
item-10001003,IDWアイコン
item-20001003,IDWアイコン
item-10001004,L85A1アイコン
item-20001004,L85A1アイコン
item-10001005,M1911アイコン
item-20001005,M1911アイコン
item-10001006,PPSh-41アイコン
item-20001006,PPSh-41アイコン
item-10001007,M38アイコン
item-20001007,M38アイコン
item-10001008,AK-47アイコン
item-20001008,AK-47アイコン
item-10001009,G17アイコン
item-20001009,G17アイコン
item-10001010,マカロフアイコン
item-20001010,マカロフアイコン
item-10001011,スコーピオンアイコン
item-20001011,スコーピオンアイコン
item-10001012,セルジュコフアイコン
item-20001012,セルジュコフアイコン
item-10001013,ST AR-15アイコン
item-20001013,ST AR-15アイコン
item-10001014,M1918アイコン
item-20001014,M1918アイコン
item-10001015,Gr MP5アイコン
item-20001015,Gr MP5アイコン
item-10001016,PTRDアイコン
item-20001016,PTRDアイコン
item-10001017,UMP9アイコン
item-20001017,UMP9アイコン
item-10001018,Gr G11アイコン
item-20001018,Gr G11アイコン
item-10001019,OTs-14アイコン
item-20001019,アイコン
item-10001020,スオミアイコン
item-20001020,スオミアイコン
item-10001021,IOP
item-20001021,背景：IOP
item-10001022,AEGIS
item-20001022,背景:AEGIS
item-10001023,Jupiter
item-20001023,背景:Jupiter
item-10001024,M4 SOPMOD-II
item-20001024,背景：M4 SOPMOD-II
item-10001025,スノウエルフ
item-20001025,背景：スノウエルフ
item-10001026,M4A1一周年記念アイコン
item-20001026,M4A1一周年記念アイコン
item-10001027,ST AR-15一周年記念アイコン
item-20001027,ST AR-15一周年記念アイコン
item-10001028,M16A1一周年記念アイコン
item-20001028,M16A1一周年記念アイコン
item-10001029,M4 SOPMOD II一周年記念アイコン
item-20001029,M4 SOPMOD II一周年記念アイコン
item-10001030,一周年記念IDカード背景
item-20001030,一周年記念IDカード背景
item-10001031,ブレンアイコン
item-20001031,ブレンアイコン
item-10001032,FMG-9アイコン
item-20001032,FMG-9アイコン
item-10001033,KS-23アイコン
item-20001033,KS-23アイコン
item-10001034,M9アイコン
item-20001034,M9アイコン
item-10001035,M1919アイコン
item-20001035,M1919アイコン
item-10001036,イングラムアイコン
item-20001036,イングラムアイコン
item-10001037,Micro Uziアイコン
item-20001037,Micro Uziアイコン
item-10001038,OTs-12アイコン
item-20001038,OTs-12アイコン
item-10001039,PPS-43アイコン
item-20001039,PPS-43アイコン
item-10001040,RMB-93アイコン
item-20001040,RMB-93アイコン
item-10001041,ステンMK-IIアイコン
item-20001041,ステンMK-IIアイコン
item-10001042,SV-98アイコン
item-20001042,SV-98アイコン
item-10001043,Gr G36アイコン
item-20001043,Gr G36アイコン
item-10001044,コルトSAAアイコン
item-20001044,コルトSAAアイコン
item-10001045,SPAS-12アイコン
item-20001045,SPAS-12アイコン
