theater_area-10000411,通常ステージ
theater_area-20000411,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000412,通常ステージ
theater_area-20000412,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000413,通常ステージ
theater_area-20000413,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000414,要塞ステージ
theater_area-20000414,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000415,通常ステージ
theater_area-20000415,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000416,通常ステージ
theater_area-20000416,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000417,通常ステージ
theater_area-20000417,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000418,要塞ステージ
theater_area-20000418,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000421,通常ステージ
theater_area-20000421,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000422,通常ステージ
theater_area-20000422,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000423,通常ステージ
theater_area-20000423,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000424,要塞ステージ
theater_area-20000424,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000425,通常ステージ
theater_area-20000425,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000426,通常ステージ
theater_area-20000426,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000427,通常ステージ
theater_area-20000427,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000428,要塞ステージ
theater_area-20000428,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000431,通常ステージ
theater_area-20000431,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000432,通常ステージ
theater_area-20000432,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000433,要塞ステージ
theater_area-20000433,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000434,通常ステージ
theater_area-20000434,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000435,通常ステージ
theater_area-20000435,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000436,要塞ステージ
theater_area-20000436,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000437,通常ステージ
theater_area-20000437,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000438,要塞ステージ
theater_area-20000438,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000441,通常ステージ
theater_area-20000441,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000442,通常ステージ
theater_area-20000442,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000443,要塞ステージ
theater_area-20000443,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000444,通常ステージ
theater_area-20000444,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000445,通常ステージ
