commander_uniform-10001010,ガスマスク
commander_uniform-20001010,終焉した世界にいても、自分を諦めることはない。ついでに、パックも敷いておこう。
commander_uniform-10001020,ヘッドライト
commander_uniform-20001020,人々を導く光になると決めたか？3//c2//c1——よし、敵に発見されたぞ！
commander_uniform-10001030,汚いコート
commander_uniform-20001030,人間の傷跡と同じように、服にとって汚れ跡もまた栄耀の一つなのかもしれない。
commander_uniform-10001040,灰まみれのバッチ
commander_uniform-20001040,いずれその灰を拭い捨てよう、我々がいつも血で屈辱を洗い流すように。
commander_uniform-10001050,破れたズボン
commander_uniform-20001050,暁の光をこの目で見るまで、我々は血と泥の中を突き進まなければならない……ポジティブに考えて、このズボンもゴールに着いたら新しいものに換えることができるかもしれない。
commander_uniform-10001111,ショートヘア(男)
commander_uniform-20001111,礼節とファッションを兼ね備えた職場のショートヘア。
commander_uniform-10001112,ロングヘア(女)
commander_uniform-20001112,やさしくて温かい普通のロングヘア。しかし時々、変なものに引っかかってしまう。
commander_uniform-10001120,グリフィンベレー帽
commander_uniform-20001120,君が何者なのかを簡単に証明することができる。装飾品として、これ以外の役割は存在しない。
commander_uniform-10001131,グリフィンコート(男)
commander_uniform-20001131,通気性良好。敵を目の前にした時、汗を垂れ流すことはなくなるだろう。
commander_uniform-10001132,グリフィンコート(女)
commander_uniform-20001132,保温性良好。敵を目の前にした時、背筋が凍ることはなくなるだろう。
commander_uniform-10001140,新人着任バッチ
commander_uniform-20001140,これが君の初めての栄誉だ、大事にするといい。
commander_uniform-10001151,黒いズボン(男)
commander_uniform-20001151,見た目が普通のズボン、しかしとても頑丈だ。
commander_uniform-10001152,黒いスカート(女)
commander_uniform-20001152,見た目が普通のスカート、しかし実はとても動きやすいキュロット。
commander_uniform-10001211,サマースタイル(男)
commander_uniform-20001211,バカンスのためにカットしてもらったヘアスタイル。軽くてスタイリッシュ。
commander_uniform-10001212,サマースタイル(女)
commander_uniform-20001212,バカンスのためにカットしてもらったヘアスタイル。サラサラで美しい。
commander_uniform-10001220,ビーチサングラス
commander_uniform-20001220,人造の陽ざしでも、それなりの敬意を払うべき。
commander_uniform-10001231,トレーニングの成果(男)
commander_uniform-20001231,長きに渡る苦痛な鍛錬は、まさに今この時のためにある。さぁ、その筋肉を余すところなく見せるがいい！
commander_uniform-10001232,紐ビキニ(女)
commander_uniform-20001232,好きなだけ目に焼き付くがいい！このプロポーションこそが、数々の絶境を乗り越えてきた証だ！
commander_uniform-10001240,夏の思い出
commander_uniform-20001240,最も複雑な方法で、最も簡単な快楽を得る。これが、儀式というものだ。
commander_uniform-10001251,ビーチトランクス(男)
commander_uniform-20001251,サンシャインとビーチにふさわしいやわらかなトランクス。
commander_uniform-10001252,ビーチサンダル(女)
commander_uniform-20001252,ビーチを思い存分楽しめるサンダル。でも帰る前に水で流すことを忘れないように。
commander_uniform-10001310,
commander_uniform-20001310,
commander_uniform-10001320,
commander_uniform-20001320,
commander_uniform-10001330,
commander_uniform-20001330,
commander_uniform-10001340,
commander_uniform-20001340,
commander_uniform-10001350,
commander_uniform-20001350,
commander_uniform-10001411,さわやかなオールバック
commander_uniform-20001411,夏の夜を楽しむために生まれたさわやかヘアスタイル。額を風とをキスさせよう。
commander_uniform-10001412,花飾りのボブ
commander_uniform-20001412,夏の夜を楽しむために生まれた優雅なヘアスタイル。風に頬をキスしてもらおう。
commander_uniform-10001420,お祭り髪飾り
commander_uniform-20001420,我々は臨時で制作した飾り物を用いて我々を数千年観察し続けてきた夜を欺こうとしている。
commander_uniform-10001431,夏夜の浴衣
commander_uniform-20001431,軽便な浴衣、通気性に優れる。
commander_uniform-10001432,月影の浴衣
commander_uniform-20001432,軽便な浴衣、模様が美しい。
commander_uniform-10001440,月影の提灯
commander_uniform-20001440,月が提灯に尋ねて言った。「人間たちを明るく照らすことで、君が弱っていくのは明らかなのに、どうして彼らを照らし続けるんだ、太陽よ。」
commander_uniform-10001451,軽便な下駄
commander_uniform-20001451,夢を追いかけていったこの晩に、カランコロンと下駄を鳴らそう！
commander_uniform-10001452,夢の端
commander_uniform-20001452,夜と夢を追いかける必要なんてない。美しいままに残しておこう。
commander_uniform-10001510,
commander_uniform-20001510,
commander_uniform-10001611,パリっと決まったリーゼント
commander_uniform-20001611,
commander_uniform-10001612,サラッと決まった姉御ヘアー
commander_uniform-20001612,
commander_uniform-10001620,外出必須アイテム
commander_uniform-20001620,
commander_uniform-10001631,兄貴の必勝スカジャン
commander_uniform-20001631,
commander_uniform-10001632,姉貴の無敵制服
commander_uniform-20001632,
commander_uniform-10001640,不良専用のオモチャ
commander_uniform-20001640,
commander_uniform-10001651,殴り込みジーンズ
commander_uniform-20001651,
commander_uniform-10001652,学園を制したロングスカート
commander_uniform-20001652,
commander_uniform-10001720,伝説の仮装道具
commander_uniform-20001720,ハロウィンの時にのみ現れるという神秘的な仮装道具。それぞれに恐ろしい伝説が隠されているのだとか……
commander_uniform-10001811,手の込んだパーマ
commander_uniform-20001811,頑張ってオシャレをしてみた結果の髪形。みんなにいつもとは違う自分を見せつけよう！
commander_uniform-10001812,元気一杯ポニーテール
commander_uniform-20001812,髪を結うと、かつての記憶が脳裏に蘇る――あの勉強と噂と暴力が大好きだった元気な学級委員は、今何をしているのだろうかと。
commander_uniform-10001820,パーティーグッズ
commander_uniform-20001820,皆に溶け込めない？ならパーティーしようよ！これらを被ってパーティーに参加すると――気が付いた？何個かは人に近づかないと気付いてもらえなさそうなのに。
commander_uniform-10001831,防寒コート
commander_uniform-20001831,冷たい風を防ぐとともに、強敵の攻撃をも防いでくれる。分厚い皮は防寒性だけでなく、安心感も与えてくれるのだ。
commander_uniform-10001832,防寒上着
commander_uniform-20001832,内側から体を温めてくれるので、心まで温まる。チャレンジの前には、十分な準備が必要不可欠、万が一に備えてね。
commander_uniform-10001840,配達待ちのサプライズ
commander_uniform-20001840,プレゼントを背負って、みんなにサプライズを届けに行く。だけど足元には気を付けてね……散らばっちゃったら整理し直すの大変だから。
commander_uniform-10001851,丈夫な長ズボン
commander_uniform-20001851,防寒第一、丈夫さ第二！いつ何時、どこにいようと全力で任務に向かうことができる。その血の熱さで雪を冬ごと溶かしてやろう！
commander_uniform-10001852,ウィンターホットパンツ
commander_uniform-20001852,勇気だけで策の無い者は皆を悲しませることになるが、挑戦してはじめて勇者となれる……冬の神アイテムを合わせて使えば、一部の隙も無いだろう。
commander_uniform-10001911,さっぱりショートヘア
commander_uniform-20001911,
commander_uniform-10001912,はつらつツインテール
commander_uniform-20001912,
commander_uniform-10001920,祈年アクセサリー
commander_uniform-20001920,
commander_uniform-10001931,年越しジャケット
commander_uniform-20001931,
commander_uniform-10001932,年賀チャイナドレス
commander_uniform-20001932,
commander_uniform-10001940,開運アイテム
commander_uniform-20001940,
commander_uniform-10001951,厚手の長ズボン
commander_uniform-20001951,
commander_uniform-10001952,ピンヒール
commander_uniform-20001952,
commander_uniform-10002010,
commander_uniform-20002010,
commander_uniform-10002111,野放しショートヘア
commander_uniform-20002111,髪をヘアワックスの呪縛から解き放ってあげれば、脳ミソもリラックスできるだろう。
commander_uniform-10002112,お休みセミロング
commander_uniform-20002112,ヘアゴムを解くと、髪と一緒に思考まで散らばっていく。
commander_uniform-10002120,眠りのおとも
commander_uniform-20002120,これはあなたを眠らせてくれるわけではないが、少なくともあなたの脳をだますことは出来る。//n「そう、君はもう寝るんだ。」
commander_uniform-10002131,シルクのパジャマシャツ
commander_uniform-20002131,シルクの真価は、手触りだけにとどまらない。その価格が安心感をもたらしてくれるのだ。//n見てみろ！これが俺が汗水たらして働いた成果だ。あちこちに散らばった服も、リラックスできる時間も。
commander_uniform-10002132,シルクのお家用長袖シャツ
commander_uniform-20002132,シルクの真価は、価格だけでは測れない。その手触りがもたらす安心感があってこそだ。//nここでこれを着ている時間は、何者の目も気にする必要はない、気を抜くことだけを追求していればいいのだ。
commander_uniform-10002140,天才が考えたまくら
commander_uniform-20002140,人の寿命がどれほど長かろうが、この星の最後を見届けられるほどではない。よりどころがあって初めて安眠できる事実と素直に向き合い、これに抱き着け。
commander_uniform-10002151,シルクのパジャマズボン
commander_uniform-20002151,ズボンってのは大概の場合履く必要もないのだが、履いていてもデメリットはない。少なくとも、飛び込みのセールスマンが狂ったようにノックしている時に、床いっぱいに散らばった服の中から下半身を隠せるものを探す必要はなくなる。
commander_uniform-10002152,綿のショートソックス
commander_uniform-20002152,ズボンってのは大概の場合履いていなければならないが、履いていなくともデメリットはない。どうして自分のテリトリーにいるのに、他人の目を気にして余計なことをしなくちゃいけないの？ズボンより靴下を履いていた方が何倍も心地いいわ。
