chess_chip-10020101,侦查
chess_chip-20020101,使自身行动力+1，持续1回合。
chess_chip-10020201,狙击
chess_chip-20020201,对8范围内的一个敌方棋子造成5点伤害。
chess_chip-10020301,特攻
chess_chip-20020301,<a press=280121> 增幅</a>自身1次。
chess_chip-10020401,掷弹
chess_chip-20020401,选择6范围内的1个沙盘格投掷手雷，对目标点1范围内的敌人造成3点伤害。
chess_chip-10010101,轻量化
chess_chip-20010101,每当你使用阵营科技时，本回合HG行动力+1。
chess_chip-10010102,轻量化
chess_chip-20010102,每当你使用阵营科技时，本回合HG行动力+2。
chess_chip-10010201,调度
chess_chip-20010201,每当你使用阵营科技时，减少随机1颗HG棋子的战术冷却时间1回合。
chess_chip-10010202,调度
chess_chip-20010202,每当你使用阵营科技时，减少随机2颗HG棋子的战术冷却时间1回合。
chess_chip-10010301,后方整顿
chess_chip-20010301,每当你的HG使用战术时，减少自身阵营科技冷却时间1回合。
chess_chip-10010302,后方整顿
chess_chip-20010302,每当你的HG使用战术时，减少自身阵营科技冷却时间2回合。
chess_chip-10010501,游击
chess_chip-20010501,增强你的HG的战术效果，本回合自身行动力额外+1。
chess_chip-10010502,游击
chess_chip-20010502,增强你的HG的战术效果，本回合自身行动力额外+2。
chess_chip-10010601,超荷运转
chess_chip-20010601,使你的HG行动力+1；当你的HG行动力提升大于等于5点时，行动力+4。
chess_chip-10010602,超荷运转
chess_chip-20010602,使你的HG行动力+2；当你的HG行动力提升大于等于4点时，行动力+4。
chess_chip-10010801,规划路线
chess_chip-20010801,每当你的HG使用战术时，本回合骰子点数不小于2。
chess_chip-10010802,规划路线
chess_chip-20010802,每当你的HG使用战术时，本回合骰子点数不小于3。
chess_chip-10011301,特别指派
chess_chip-20011301,每当你使用阵营科技时，随机<a press=280121> 增幅</a>1个你在场的AR棋子。
chess_chip-10011302,特别指派
chess_chip-20011302,每当你使用阵营科技时，<a press=280121> 增幅</a>你在场的AR棋子。
chess_chip-10011401,阶段行进
chess_chip-20011401,使你的AR每移动30个沙盘格<a press=280121> 增幅</a>1次。
chess_chip-10011402,阶段行进
chess_chip-20011402,使你的AR每移动20个沙盘格<a press=280121> 增幅</a>1次。
chess_chip-10011501,鼓舞
chess_chip-20011501,你的棋子死亡时，随机<a press=280121> 增幅</a>1个你在场的AR棋子。
chess_chip-10011502,鼓舞
chess_chip-20011502,你的棋子死亡时，<a press=280121> 增幅</a>你在场的AR棋子。
chess_chip-10011601,固守防线
chess_chip-20011601,你的每个AR棋子若存活6个回合，获得1点积分。
chess_chip-10011602,固守防线
chess_chip-20011602,你的每个AR棋子若存活4个回合，获得1点积分。
chess_chip-10011701,效能转换
chess_chip-20011701,你的同一颗AR棋子每<a press=280121> 增幅</a>8次，获得1点积分。
chess_chip-10011702,效能转换
chess_chip-20011702,你的同一颗AR棋子每<a press=280121> 增幅</a>6次，获得1点积分。
chess_chip-10012001,战术规划
chess_chip-20012001,你每使用2个道具，随机<a press=280121> 增幅</a>1个你在场的AR棋子。
chess_chip-10012002,战术规划
chess_chip-20012002,你每使用1个道具，随机<a press=280121> 增幅</a>1个你在场的AR棋子。
chess_chip-10012201,临时权限
