skin_group-10000002,グリフィン怪談噺
skin_group-20000002,ハロウィンがやってきた！でもグリフィンのみんなで作り上げたお化け屋敷に問題発生！？果たしてグリフィンの人形たち（+指揮官）はお化け屋敷イベント終了後のパーティーまで無事でいられるのか……？
skin_group-10000003,命懸けの公演
skin_group-20000003,コンテンダーの関係で、指揮官は盛大なオペラ公演に招かれた。華麗な舞台の裏には危険な殺意が潜んでいたが、指揮官にとって真に致命的な凶器とは、突如発生した襲撃か、はたまた準備万端で待ち構えている変装した人形たちか？
skin_group-10000001,サンタ狩り作戦
skin_group-20000001,クリスマスを迎えたグリフィン基地！みんなが余興やパーティーに夢中になっている一方で、危険な人形たちがある計画を実行に移して……？
skin_group-10000004,年越しの思い出
skin_group-20000004,東洋の人形たちが基地にいない状況下、果たしてグリフィンに残った人形でだけで、この重大な意義を持つ春節を再現できるのだろうか？予想だにしない騒ぎもあったけれど、新たな一年もきっと楽しく過ごせるはずよね……おそらく。
skin_group-10000005,スウィートウェディング
skin_group-20000005,広告用写真の撮影任務中、彼女たちの普段見ることのない一面を垣間見た。彼女達にとって、ウェディングドレスに身を包んだ瞬間は、特別な思い出となるのだろうか？
skin_group-10000006,アニバーサリーパーティー
skin_group-20000006,厳粛な雰囲気のグリフィンの社交パーティーに比べると、基地の中で開くパーティーはとってもリラックスできますね！この祝いの夜は、ちょっぴり騒がしくたって気にしませんよね、指揮官さま？
skin_group-10000007,盗まれない宝石
skin_group-20000007,アニバーサリーパーティーを間近にして、指揮官と人形たちはある特殊な任務を言い渡された。みんなが守る宝石はそう簡単には盗まれない、思い出もまた同じだ。
skin_group-10000008,メイドブートキャンプ
skin_group-20000008,とある重要な任務のために、人形たちは特別な訓練を受けることになった。優秀なメイドになるため、多少の困難はつきものだが、彼女たちならきっと大丈夫……なのか？
skin_group-10000009,ビーチソルジャーズ
skin_group-20000009,グリフィンの人形たちは短くも平和な夏季休暇を勝ち取ったが、このビーチには何か秘密が隠されているようだ……彼女たちは本当に"平和な"休暇を送れるのだろうか？
skin_group-10000010,魔女の森
skin_group-20000010,
skin_group-10000011,
skin_group-20000011,
skin_group-10000012,
skin_group-20000012,
skin_group-10000013,銃と薔薇
skin_group-20000013,委託を受け、なんとウェディングドレスを着用することになった人形たち。普段の戦火と硝煙立ち込める世界と違った日々の中で、彼女たちはその心に何を抱くのだろうか。
skin_group-10000014,
skin_group-20000014,
skin_group-10000015,
skin_group-20000015,
