chat_fix_phrases-10000001,嗨，大家好！
chat_fix_phrases-10000002,大家快准备！
chat_fix_phrases-10000003,我一定会让你们知道谁才是格里芬最强的棋手！
chat_fix_phrases-10000004,哈哈！
chat_fix_phrases-10000005,你好菜呀！
chat_fix_phrases-10000006,哼！可太气人了！
chat_fix_phrases-10000007,求你了，别打我！
chat_fix_phrases-10000008,赶快点赶快点。
chat_fix_phrases-10000009,谁是最强棋手？
chat_fix_phrases-10000010,嗯，是我。
chat_fix_phrases-10000011,嗨
chat_fix_phrases-10000012,别紧张
chat_fix_phrases-10000013,技不如人，甘拜下风
chat_fix_phrases-10000014,漂亮
chat_fix_phrases-10000015,可太气人了！
chat_fix_phrases-10000016,时运不济
chat_fix_phrases-10000017,别打我…
chat_fix_phrases-10000018,祝大家玩的开心！
chat_fix_phrases-10000019,这位指挥官，放轻松
chat_fix_phrases-10000020,good game
chat_fix_phrases-10000021,哈哈，不好意思了！
chat_fix_phrases-10000022,emmmmmm
chat_fix_phrases-10000023,要坚强，别放弃！
chat_fix_phrases-10000024,走好不送
chat_fix_phrases-10000025,失误！
chat_fix_phrases-10000026,精彩
chat_fix_phrases-10000027,请稍等！
chat_fix_phrases-10000028,房主在吗？
chat_fix_phrases-10000029,赶快点赶快点
chat_fix_phrases-10000030,对对对
