career_quest-10000001,戦役任務：初の自律作戦
career_quest-20000001,1-1自律作戦を1回完了する//n※自律作戦は、ステージにおいて勲章を3枚獲得することで解放され、完了した際には戦果として、戦術人形や装備を獲得することができます
career_quest-10000002,戦役任務：初の後方支援
career_quest-20000002,1-1後方支援を1回完了する//n※部隊を派遣して後方支援を行うと、報酬として資源や各種契約を獲得できます
career_quest-10000003,戦役任務：戦闘で初めて2部隊を使用
career_quest-20000003,戦闘中に2部隊を1回配置する//n※戦闘中に複数の部隊を使用すると、戦闘が楽になります
career_quest-10000004,緊急アクション：初の緊急戦役
career_quest-20000004,緊急1-1を1回クリアする
career_quest-10000005,緊急アクション：緊急戦役2
career_quest-20000005,緊急2-1を1回クリアする
career_quest-10000006,緊急アクション：緊急戦役3
career_quest-20000006,緊急3-1を1回クリアする
career_quest-10000007,緊急アクション：緊急戦役4
career_quest-20000007,緊急4-1を1回クリアする
career_quest-10000008,緊急アクション：緊急戦役5
career_quest-20000008,緊急5-1を1回クリアする
career_quest-10000009,緊急アクション：緊急戦役6
career_quest-20000009,緊急6-1を1回クリアする
career_quest-10000010,緊急アクション：緊急戦役7
career_quest-20000010,緊急7-1を1回クリアする
career_quest-10000011,緊急アクション：緊急戦役8
career_quest-20000011,緊急8-1を1回クリアする
career_quest-10000012,夜戦任務：初の夜戦戦役
career_quest-20000012,夜戦1-1を1回クリアする
career_quest-10000013,夜戦任務：夜戦戦役2
career_quest-20000013,夜戦2-1を1回クリアする
career_quest-10000014,夜戦任務：夜戦戦役3
career_quest-20000014,夜戦3-1を1回クリアする
career_quest-10000015,夜戦任務：夜戦戦役4
career_quest-20000015,夜戦4-1を1回クリアする
career_quest-10000016,夜戦任務：夜戦戦役5
career_quest-20000016,夜戦5-1を1回クリアする
career_quest-10000017,模擬作戦：初の経験特訓
career_quest-20000017,経験特訓で1回勝利する//n※模擬作戦で経験特訓を行うと、部隊の人形が大量の経験値を獲得できます
career_quest-10000018,模擬作戦：初の強化練習
career_quest-20000018,強化練習で1回勝利する//n※模擬作戦で強化練習を行うと、人形強化時に使用する増幅カプセルを獲得できます
career_quest-10000019,模擬作戦：初の資料収集
career_quest-20000019,資料収集で1回勝利する//n※模擬作戦で資料収集を行うと、人形のスキルをレベルアップさせるための訓練資料を獲得できます
career_quest-10000020,模擬作戦：初の防御演習
career_quest-20000020,防御演習で1回勝利する//n※最大4部隊を選択し、押し寄せる敵の進攻を食い止めると、演習終了時に防衛波数に応じて装備較正チケット等の報酬を獲得できます
career_quest-10000021,編成任務：初めて部隊に5人が揃う
career_quest-20000021,部隊に5人の人形を編成する
career_quest-10000022,編成任務：夜戦戦闘-暗視準備
career_quest-20000022,人形3体（HG、SMGタイプ）に暗視アイテムを装備させる//n※暗視アイテムを装備すると、夜戦時の命中がアップします
career_quest-10000023,編成任務：夜戦戦闘-破甲準備
