achievement-10000001,小さな喜び
achievement-20000001,異なる戦術人形を10体集める
achievement-30000001,
achievement-10000002,アマチュアの趣味
achievement-20000002,異なる戦術人形を20体集める
achievement-30000002,
achievement-10000003,プロの鑑賞
achievement-20000003,異なる戦術人形を40体集める
achievement-30000003,
achievement-10000004,熱狂ハンター
achievement-20000004,異なる戦術人形を60体集める
achievement-30000004,
achievement-10000005,コレクションの王
achievement-20000005,異なる戦術人形を80体集める
achievement-30000005,
achievement-10000006,博物館館長
achievement-20000006,異なる戦術人形を120体集める
achievement-30000006,
achievement-10000007,初心者コレクター：ハンドガン
achievement-20000007,異なるハンドガンタイプの戦術人形を5体集める
achievement-30000007,
achievement-10000008,見習いコレクター：ハンドガン
achievement-20000008,異なるハンドガンタイプの戦術人形を10体集める
achievement-30000008,
achievement-10000009,上級コレクター：ハンドガン
achievement-20000009,異なるハンドガンタイプの戦術人形を20体集める
achievement-30000009,
achievement-10000010,玄人コレクター：ハンドガン
achievement-20000010,異なるハンドガンタイプの戦術人形を30体集める
achievement-30000010,
achievement-10000011,初心者コレクター：サブマシンガン
achievement-20000011,異なるサブマシンガンタイプの戦術人形を3体集める
achievement-30000011,
achievement-10000012,見習いコレクター：サブマシンガン
achievement-20000012,異なるサブマシンガンタイプの戦術人形を10体集める
achievement-30000012,
achievement-10000013,上級コレクター：サブマシンガン
achievement-20000013,異なるサブマシンガンタイプの戦術人形を20体集める
achievement-30000013,
achievement-10000014,玄人コレクター：サブマシンガン
achievement-20000014,異なるサブマシンガンタイプの戦術人形を30体集める
achievement-30000014,
achievement-10000015,初心者コレクター：ライフル
achievement-20000015,異なるライフルタイプの戦術人形を3体集める
achievement-30000015,
achievement-10000016,見習いコレクター：ライフル
achievement-20000016,異なるライフルタイプの戦術人形を10体集める
achievement-30000016,
achievement-10000017,上級コレクター：ライフル
achievement-20000017,異なるライフルタイプの戦術人形を20体集める
achievement-30000017,
achievement-10000018,玄人コレクター：ライフル
achievement-20000018,異なるライフルタイプの戦術人形を30体集める
achievement-30000018,
achievement-10000019,初心者コレクター：アサルトライフル
achievement-20000019,異なるアサルトライフルタイプの戦術人形を3体集める
achievement-30000019,
achievement-10000020,見習いコレクター：アサルトライフル
achievement-20000020,異なるアサルトライフルタイプの戦術人形を10体集める
achievement-30000020,
achievement-10000021,上級コレクター：アサルトライフル
achievement-20000021,異なるアサルトライフルタイプの戦術人形を20体集める
achievement-30000021,
achievement-10000022,玄人コレクター：アサルトライフル
achievement-20000022,異なるアサルトライフルタイプの戦術人形を30体集める
achievement-30000022,
achievement-10000023,初心者コレクター：マシンガン
achievement-20000023,異なるマシンガンタイプの戦術人形を3体集める
achievement-30000023,
achievement-10000024,見習いコレクター：マシンガン
achievement-20000024,異なるマシンガンタイプの戦術人形を10体集める
achievement-30000024,
achievement-10000025,上級コレクター：マシンガン
achievement-20000025,異なるマシンガンタイプの戦術人形を20体集める
achievement-30000025,
achievement-10000026,玄人コレクター：マシンガン
