gift_item-10000001,かぼちゃクマさん
gift_item-20000001,人形換装開放
gift_item-30000001,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000002,にゃんこヴェクター
gift_item-20000002,人形換装開放
gift_item-30000002,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000003,闇夜の使い魔
gift_item-20000003,人形換装開放
gift_item-30000003,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000004,キャンディ・エクスプレス
gift_item-20000004,人形換装開放
gift_item-30000004,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000005,古典派魔女
gift_item-20000005,人形換装開放
gift_item-30000005,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000006,古城探検
gift_item-20000006,人形換装開放
gift_item-30000006,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000007,カーミラ
gift_item-20000007,人形換装開放
gift_item-30000007,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000008,スイートな小悪魔
gift_item-20000008,人形換装開放
gift_item-30000008,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000009,引きこもりゾンビ
gift_item-20000009,人形換装開放
gift_item-30000009,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000010,フォーマルハンター
gift_item-20000010,人形換装開放
gift_item-30000010,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000011,異国の魔女
gift_item-20000011,人形換装開放
gift_item-30000011,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000101,寝起きのおバカさん
gift_item-20000101,人形換装開放
gift_item-30000101,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000102,バニーガール
gift_item-20000102,人形換装開放
gift_item-30000102,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000103,やんちゃノイジー
gift_item-20000103,人形換装開放
gift_item-30000103,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000104,水辺のキャミソール
gift_item-20000104,人形換装開放
gift_item-30000104,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000105,週末SP
gift_item-20000105,人形換装開放
gift_item-30000105,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000106,パーティーハニー
gift_item-20000106,人形換装開放
gift_item-30000106,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000301,星への願い事
gift_item-20000301,人形換装開放
gift_item-30000301,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000302,ホーリーナイトの祝福
gift_item-20000302,人形換装開放
gift_item-30000302,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000303,クリスマス・ドレス
gift_item-20000303,人形換装開放
gift_item-30000303,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000304,聖夜のルームウェア
gift_item-20000304,人形換装開放
gift_item-30000304,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000305,冬の妖精
gift_item-20000305,人形換装開放
gift_item-30000305,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000306,雪の日の約束
gift_item-20000306,人形換装開放
gift_item-30000306,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000307,聖夜のトナカイ
gift_item-20000307,人形換装開放
gift_item-30000307,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000308,ウィンターヴェール補給作戦
gift_item-20000308,人形換装開放
gift_item-30000308,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000309,緋色のナイトウォッチ
gift_item-20000309,人形換装開放
gift_item-30000309,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000310,スノウエルフ
gift_item-20000310,人形換装開放
gift_item-30000310,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10100001,ロリポップ
gift_item-20100001,無
gift_item-30100001,対応する人形にプレゼントすると、僅かに好感度を獲得できます
gift_item-10100002,アイスクリーム
gift_item-20100002,無
gift_item-30100002,対応する人形にプレゼントすると、少しだけ好感度を獲得できます
gift_item-10100003,ショートケーキ
gift_item-20100003,無
gift_item-30100003,対応する人形にプレゼントすると、1点の好感度を獲得できます
gift_item-10100004,戻れぬ運命
gift_item-20100004,
gift_item-30100004,対応する人形にプレゼントすると、3点の好感度を獲得できます
gift_item-10100005,ムーランティー
gift_item-20100005,
gift_item-30100005,対応する人形にプレゼントすると、3点の好感度を獲得できます
gift_item-10100006,幸せの魔法
gift_item-20100006,
gift_item-30100006,対応する人形にプレゼントすると、3点の好感度を獲得できます
gift_item-10000401,サルビア
gift_item-20000401,人形換装開放
gift_item-30000401,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000402,ヒマワリ
