squad_type-10000001,対戦車兵器
squad_type-20000001,Anti-Tank Weapon
squad_type-30000001,火力支援小隊
squad_type-40000001,Fire Support Unit
squad_type-10000002,迫撃砲
squad_type-20000002,Mortar
squad_type-30000002,火力支援小隊
squad_type-40000002,Fire Support Unit
squad_type-10000003,榴弾発射器
squad_type-20000003,Automatic Grenade Launcher
squad_type-30000003,火力支援小隊
squad_type-40000003,Fire Support Unit
squad_type-10000101,支援ユニット
squad_type-20000101,Assist
squad_type-30000101,火力支援小隊
squad_type-40000101,Fire Support Unit
