dorm_emoji_text-10260301,え？私の気持ちが…届いたの？
dorm_emoji_text-10260302,なんの取り柄もない私に
dorm_emoji_text-10260303,こんな日が来るなんて…。
dorm_emoji_text-10260304,こんなに幸せな気持ち、初めてです。
dorm_emoji_text-10260101,あら、指揮官？
dorm_emoji_text-10260102,ここは私一人で平気ですよ…え？
dorm_emoji_text-10260103,何ですって？…二人の間のこと…？
dorm_emoji_text-10260104,よく分からないんですけど、教えてくださいますか？
dorm_emoji_text-10260201,指揮官、あなたとこの神聖な契約を結べるなんて
dorm_emoji_text-10260202,私は今、人生で一番幸せです。
dorm_emoji_text-10260203,これから、もっともっとたくさんの栄誉を
dorm_emoji_text-10260204,あなたに捧げますわ！
dorm_emoji_text-10260401,いつもお目をかけていただき感謝しております。でも指揮官
dorm_emoji_text-10260402,私は本当に、あなたにふさわしいのでしょうか
dorm_emoji_text-10260403,…いえ、そうではなくて…えっと、とてもうれしいのです！！これから
dorm_emoji_text-10260404,私があなたをお守りします。これこそ、私の生涯最大の栄誉！
dorm_emoji_text-10260501,おや？そうなのか？指揮官のような優秀なリーダーに認められて、
dorm_emoji_text-10260502,私の能力がようやく日の目を見たというところか。
dorm_emoji_text-10260503,これからも、
dorm_emoji_text-10260504,共に道を切り開いていこうではないか。
dorm_emoji_text-10260601,おやおや、最終的に指揮官もわたしに落とされたね～
dorm_emoji_text-10260602,大丈夫大丈夫、もう慣れたでしょ
dorm_emoji_text-10260603,…ってそんなに出会って長くないか。
dorm_emoji_text-10260604,うひひひ、これからの付き合いが長いんだからね～。
dorm_emoji_text-10260701,大事な一日だけど、あまり緊張しないでね
dorm_emoji_text-10260702,…安心して、今もこれからも
dorm_emoji_text-10260703,自分のなすべきことをする、それが指揮官でしょう？
dorm_emoji_text-10260704,それに関しては見間違いしないわよ、私。
dorm_emoji_text-12190101,こんな結果、
dorm_emoji_text-12190102,思いもしなかった。
dorm_emoji_text-12190103,たくさんいじめたから、
dorm_emoji_text-12190104,たまにはいじめられてもいいかな。
dorm_emoji_text-12190105,でも、ただで済むとは思わないでよね。
dorm_emoji_text-12190201,指揮官…ついにこの時が来たのね…
dorm_emoji_text-12190202,たくさんの人と出会って、たくさんの経験をして、自分を見失いそうにもなったけど
dorm_emoji_text-12190203,いざという時に引っ張ってくれたのは、指揮官、いつもあなただわ…
dorm_emoji_text-12190204,ありがとう。これからもそばに居させて。
dorm_emoji_text-12190205,一番信頼のできるパートナーになってあげるわ。
dorm_emoji_text-12190301,あら？指揮官様、これは…わたしに？
dorm_emoji_text-12190302,どこもかしこもちっちゃいわたしですが
dorm_emoji_text-12190303,おそばにいていいんですか？
dorm_emoji_text-12190304,…ええ！そうします！
dorm_emoji_text-12190401,ご主人様
dorm_emoji_text-12190402,貴方様が私を必要としてくれるから
dorm_emoji_text-12190403,私も頑張ってこられました。
dorm_emoji_text-12190404,これからも貴方様専属のメイドとして
dorm_emoji_text-12190405,おそばに置いてくださいませ。
dorm_emoji_text-12190501,指揮官？何か命令でも？
dorm_emoji_text-12190502,…え？冗談でしょ？あたしの料理の腕を見込んでってこと？それとも…
dorm_emoji_text-12190503,とにかく、あとで後悔しても知らないからね
dorm_emoji_text-12190504,アハハ！もう離さないから！
dorm_emoji_text-12190601,えっ…そんなこと、私の計算外です…。
dorm_emoji_text-12190602,でも、メモはとらなくていいですよね？
dorm_emoji_text-12190603,だって1回で十分ですもの。
dorm_emoji_text-12190604,指揮官、私はこの瞬間をずっと忘れません。
dorm_emoji_text-10106501,♪Wir schlucken Staub beim Wandern
dorm_emoji_text-10106502,♪Er hängt des Säckel hohl
dorm_emoji_text-10106503,♪Der Kaiser schluckt ganz Flandern
dorm_emoji_text-10106504,♪Bekommt ihm ewig wohl
dorm_emoji_text-10106505,♪Er denkt beim Länderschmanse
dorm_emoji_text-10106506,♪Wie er die Welt erwürb
dorm_emoji_text-10106507,♪Mir wohnt ein Lieb zu Hause
dorm_emoji_text-10106508,♪Das weinte wenn ich stürb
dorm_emoji_text-10112201,♪Schlafe//c holder
dorm_emoji_text-10112202,♪süßer Knabe
dorm_emoji_text-10112203,♪Leise wiegt dich deiner…
dorm_emoji_text-10112204,…
dorm_emoji_text-10110101,♪If you miss 
dorm_emoji_text-10110102,♪the train I'm on
dorm_emoji_text-10110103,♪You will know 
dorm_emoji_text-10110104,♪that I am gone
dorm_emoji_text-10110105,♪You can hear 
dorm_emoji_text-10110106,♪the whistle blow 
dorm_emoji_text-10110107,♪a hundred miles
dorm_emoji_text-10110108,♪a hundred miles
dorm_emoji_text-10110109,♪a hundred miles
dorm_emoji_text-10110110,♪a hundred miles
dorm_emoji_text-10110111,♪a hundred miles
dorm_emoji_text-10110112,…???
dorm_emoji_text-10118801,♪Bruschetta
dorm_emoji_text-10118802,♪Pizzette Margherita
dorm_emoji_text-10118803,♪Pomodorini Ripieni
dorm_emoji_text-10118804,♪Lasagne al Pomodoro
dorm_emoji_text-10118805,♪Penne all' Arrabbiata
dorm_emoji_text-10118806,♪Involtini di Asparagi 
dorm_emoji_text-10118807,♪Che buono！
dorm_emoji_text-10118808,♪Che bonta'！
dorm_emoji_text-10111501,♪Nuapurista kuulu se polokan tahti
dorm_emoji_text-10111502,♪Jalakani pohjii kutkutti
dorm_emoji_text-10111503,♪Ievan äiti se tyttöösä vahti
dorm_emoji_text-10111504,♪Vaan kyllähän ieva sen jutkutti
dorm_emoji_text-10111505,♪Sillä ei meitä silloin kiellot haittaa
dorm_emoji_text-10111506,♪Kun myö tanssimme laiasta laitaan
dorm_emoji_text-10111507,♪Salivili hipput tupput täppyt
dorm_emoji_text-10111508,♪Äppyt tipput hilijalleen
dorm_emoji_text-10111509,♪Ievan suu oli vehnäsellä
dorm_emoji_text-10111510,♪Ko immeiset onnee toevotti
dorm_emoji_text-10111511,♪Peä oli märkänä jokaisella
dorm_emoji_text-10111512,♪Ja viulu se vinku ja voevotti
dorm_emoji_text-10111513,♪Ei tätä poikoo märkyys haittaa
dorm_emoji_text-10111514,♪Sillon ko laskoo laiasta laitaan
dorm_emoji_text-10111515,♪Salivili hipput tupput täppyt
dorm_emoji_text-10111516,♪Äppyt tipput hilijalleen
dorm_emoji_text-10117101,♪Pourquoi 
dorm_emoji_text-10117102,♪le loup mange l'agneau? 
dorm_emoji_text-10117103,♪le lièvre et la tortue ?
dorm_emoji_text-10117104,♪les anges ont-ils des ailes ?
dorm_emoji_text-10117105,♪le diable et le bon Dieu ?
dorm_emoji_text-10119401,♪곰 세마리가 한집에 있어
dorm_emoji_text-10119402,♪아빠곰 엄마곰 애기곰
dorm_emoji_text-10119403,♪아빠곰은 뚱뚱해
dorm_emoji_text-10119404,♪엄마곰은 날씬해
dorm_emoji_text-10119405,♪애기곰은 너무 귀여워
dorm_emoji_text-10119406,♪으쓱으쓱 잘한다
dorm_emoji_text-10111401,♪You turn to me in all your wordly 
dorm_emoji_text-10111402,♪greed and pride
dorm_emoji_text-10111403,♪But will you turn to me 
dorm_emoji_text-10111404,♪when it's your turn to die 
dorm_emoji_text-10111405,♪Lord of shadow
dorm_emoji_text-10111406,♪Evil Possessor
dorm_emoji_text-10111407,♪Lord of shadow
dorm_emoji_text-10111408,♪he's your confessor now！ 
dorm_emoji_text-10102101,♪Сакварлис саплавс ведзебди
dorm_emoji_text-10102102,♪Вер внахе дакаргулико
dorm_emoji_text-10102103,♪Гуламосквнили втироди
dorm_emoji_text-10102104,♪Сада хар чемо Сулико?
dorm_emoji_text-10102105,♪Гуламосквнили втироди
dorm_emoji_text-10102106,♪Сада хар чемо Сулико? 
dorm_emoji_text-10119601,♪al' na tebe nikada//c jedina moja//c ja ne zaboravljam
dorm_emoji_text-10119602,♪Bog mi te dao
dorm_emoji_text-10119603,♪drugi uzeo
dorm_emoji_text-10119604,♪moju srecu//c moju ljubav
dorm_emoji_text-10119605,♪neko drugi odnio
dorm_emoji_text-10119606,♪A bili smo//c bili
dorm_emoji_text-10119607,♪samo ti i ja
dorm_emoji_text-10119608,♪k'o dva majska cvjeta
dorm_emoji_text-10119609,♪k'o dva bjela goluba
dorm_emoji_text-10119610,♪k'o dva bjela goluba
dorm_emoji_text-10112901,♪蒹葭苍苍，白露为霜
dorm_emoji_text-10112902,♪所谓伊人，在水一方
dorm_emoji_text-10112903,♪溯洄从之，道阻且长
dorm_emoji_text-10112904,♪溯游从之，宛在水中央
dorm_emoji_text-12310101,ついにこの日が来ましたか。
dorm_emoji_text-12310102,いつもそばにいてくれてありがとう、指揮官、私の使命、ようやく果たせました……
