tutorial_manual-10000100,基地导览
tutorial_manual-20000100,指挥官，请先熟悉一下基地吧~
tutorial_manual-10000101,基地介绍
tutorial_manual-20000101,指挥官，这里就是您的办公室啦。
tutorial_manual-10000102,指挥官信息
tutorial_manual-20000102,在这里可以查看您的个人信息和任命副官。
tutorial_manual-10000103,仓库
tutorial_manual-20000103,在仓库可以查看您拥有的人形、装备和道具等内容。
tutorial_manual-10000104,商城
tutorial_manual-20000104,只要是您想要的，都可以在商城买到。
tutorial_manual-10000105,邮件
tutorial_manual-20000105,记得及时查收邮件哦。
tutorial_manual-10000106,排行
tutorial_manual-20000106,查看排行榜，向其他指挥官学习吧！
tutorial_manual-10000107,任务
tutorial_manual-20000107,当您不知道该做什么时，就来做任务吧！
tutorial_manual-10000108,设置
tutorial_manual-20000108,可以根据您的需要修改游戏内的设置。
tutorial_manual-10000109,图鉴
tutorial_manual-20000109,不管是人形还是敌人的详细信息都可以在这里查看。
tutorial_manual-10000200,人形育成
tutorial_manual-20000200,想让战术人形变强，您需要了解的不止是这些。
tutorial_manual-10000201,人形介绍
tutorial_manual-20000201,了解不同战术人形的特征。
tutorial_manual-10000202,人形获取
tutorial_manual-20000202,获取更多的人形补充梯队战力。
tutorial_manual-10000203,人形升级
tutorial_manual-20000203,通过多种途径获取经验，提升人形等级。
tutorial_manual-10000204,人形强化
tutorial_manual-20000204,通过人形强化，提升人形属性。
tutorial_manual-10000205,人形修复
tutorial_manual-20000205,请及时修复受创人形。
tutorial_manual-10000206,编制扩大
tutorial_manual-20000206,人形扩编可提升战力及经验获取量。
tutorial_manual-10000207,人形拆解
tutorial_manual-20000207,拆解人形可获得物资，稀有度高的人形拆解可额外得到核心。
tutorial_manual-10000208,技能训练
tutorial_manual-20000208,善用人形技能也是致胜关键。
tutorial_manual-10000209,好感度
tutorial_manual-20000209,提升与人形好感度，您需要做这些事。
tutorial_manual-10000210,穿戴特效
tutorial_manual-20000210,虽然没有实际作用，但您的人形更可爱了呢。
tutorial_manual-10000211,人形装扮
tutorial_manual-20000211,作战之余别忘了给人形添置衣物哦。
tutorial_manual-10000212,心智升级
tutorial_manual-20000212,突破人形能力上限。
tutorial_manual-10000300,装备指南
tutorial_manual-20000300,合理搭配装备，提升作战效能。
tutorial_manual-10000301,装备分类
tutorial_manual-20000301,了解不同装备的特性和适用人形。
tutorial_manual-10000302,装备穿戴
tutorial_manual-20000302,合理搭配装备，事半功倍。
tutorial_manual-10000303,装备制造
tutorial_manual-20000303,在工厂中，完成装备制造。
tutorial_manual-10000304,装备强化
tutorial_manual-20000304,强化装备，提升属性。
tutorial_manual-10000305,装备校准
tutorial_manual-20000305,提供更新装备属性的机会。
tutorial_manual-10000400,战术妖精
tutorial_manual-20000400,让战术妖精们加入战斗吧。
tutorial_manual-10000401,妖精分类
tutorial_manual-20000401,不同类型的妖精，发挥的作用各不相同。
tutorial_manual-10000402,妖精制造
tutorial_manual-20000402,在装备重型建造中获取妖精。
tutorial_manual-10000403,妖精升级
tutorial_manual-20000403,妖精也可以通过梯队作战获取经验。
tutorial_manual-10000404,妖精技能
tutorial_manual-20000404,通过技能训练，提升妖精技能。
tutorial_manual-10000405,妖精校准
tutorial_manual-20000405,校准可为妖精提供新的天赋选择。
tutorial_manual-10000406,妖精强化
tutorial_manual-20000406,强化妖精，使妖精的作用更加显著。
tutorial_manual-10000407,妖精小屋
tutorial_manual-20000407,在妖精小屋中，您可以管理妖精相关设施。
tutorial_manual-10000500,重装部队
