achievement-10000001,小小兴趣
achievement-20000001,图鉴解锁10位不同的战术少女。
achievement-30000001,
achievement-10000002,业余爱好
achievement-20000002,图鉴解锁20位不同的战术少女。
achievement-30000002,
achievement-10000003,专业鉴赏
achievement-20000003,图鉴解锁40位不同的战术少女。
achievement-30000003,
achievement-10000004,狂热猎手
achievement-20000004,图鉴解锁60位不同的战术少女。
achievement-30000004,
achievement-10000005,收藏大亨
achievement-20000005,图鉴解锁80位不同的战术少女。
achievement-30000005,
achievement-10000006,博物馆主
achievement-20000006,图鉴解锁120位不同的战术少女。
achievement-30000006,
achievement-10000007,入门级收藏:手枪
achievement-20000007,图鉴解锁5位不同的手枪型战术少女。
achievement-30000007,
achievement-10000008,见习级收藏:手枪
achievement-20000008,图鉴解锁10位不同的手枪型战术少女。
achievement-30000008,
achievement-10000009,进阶级收藏:手枪
achievement-20000009,图鉴解锁20位不同的手枪型战术少女。
achievement-30000009,
achievement-10000010,专家级收藏:手枪
achievement-20000010,图鉴解锁30位不同的手枪型战术少女。
achievement-30000010,
achievement-10000011,入门级收藏:冲锋枪
achievement-20000011,图鉴解锁3位不同的冲锋枪型战术少女。
achievement-30000011,
achievement-10000012,见习级收藏:冲锋枪
achievement-20000012,图鉴解锁10位不同的冲锋枪型战术少女。
achievement-30000012,
achievement-10000013,进阶级收藏:冲锋枪
achievement-20000013,图鉴解锁20位不同的冲锋枪型战术少女。
achievement-30000013,
achievement-10000014,专家级收藏:冲锋枪
achievement-20000014,图鉴解锁30位不同的冲锋枪型战术少女。
achievement-30000014,
achievement-10000015,入门级收藏:步枪
achievement-20000015,图鉴解锁3位不同的步枪型战术少女。
achievement-30000015,
achievement-10000016,见习级收藏:步枪
achievement-20000016,图鉴解锁10位不同的步枪型战术少女。
achievement-30000016,
achievement-10000017,进阶级收藏:步枪
achievement-20000017,图鉴解锁20位不同的步枪型战术少女。
achievement-30000017,
achievement-10000018,专家级收藏:步枪
achievement-20000018,图鉴解锁30位不同的步枪型战术少女。
achievement-30000018,
achievement-10000019,入门级收藏:突击步枪
achievement-20000019,图鉴解锁3位不同的突击步枪型战术少女。
achievement-30000019,
achievement-10000020,见习级收藏:突击步枪
achievement-20000020,图鉴解锁10位不同的突击步枪型战术少女。
achievement-30000020,
achievement-10000021,进阶级收藏:突击步枪
achievement-20000021,图鉴解锁20位不同的突击步枪型战术少女。
achievement-30000021,
