explore_affair_server-10000001,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了一件装备。
explore_affair_server-10000002,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了一件装备。
explore_affair_server-10000003,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了一件装备。
explore_affair_server-10000005,[gun1]不小心踩进了一个雪坑。她花了很大的力气才把脚提上来，并在脚底粘着的雪块里发现了物资。
explore_affair_server-10000006,[gun1]不小心踩进了一个雪坑。她花了很大的力气才把脚提上来，并在脚底粘着的雪块里发现了物资。
explore_affair_server-10000007,[gun1]不小心踩进了一个雪坑。她花了很大的力气才把脚提上来，并在脚底粘着的雪块里发现了物资。
explore_affair_server-10000008,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000009,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000010,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000011,[gun1]和冻到程序错乱的铁血打起了雪仗，并且获得了胜利，从对方手里赢得了物资。
explore_affair_server-10000012,[gun1]和冻到程序错乱的铁血打起了雪仗，并且获得了胜利，从对方手里赢得了物资。
explore_affair_server-10000013,[gun1]和冻到程序错乱的铁血打起了雪仗，并且获得了胜利，从对方手里赢得了物资。
explore_affair_server-10000016,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000017,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000018,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000019,[gun1]看到一朵好看的花，不禁凑过去闻了一下。虽然很臭，但她仍旧欣赏花的美丽，并在花下发现了物资。
explore_affair_server-10000020,[gun1]看到一朵好看的花，不禁凑过去闻了一下。虽然很臭，但她仍旧欣赏花的美丽，并在花下发现了物资。
explore_affair_server-10000021,[gun1]看到一朵好看的花，不禁凑过去闻了一下。虽然很臭，但她仍旧欣赏花的美丽，并在花下发现了物资。
explore_affair_server-10000022,[gun1]快乐地扑进了松软的雪地里。她察觉到雪里有东西，并挖出了物资。
explore_affair_server-10000023,[gun1]快乐地扑进了松软的雪地里。她察觉到雪里有东西，并挖出了物资。
explore_affair_server-10000024,[gun1]快乐地扑进了松软的雪地里。她察觉到雪里有东西，并挖出了物资。
explore_affair_server-10000025,[gun1]身上带的东西被突然出现的猴子抢走了，一路追讨后，在树上找到了那只泼猴先前从其他地方抢来的物资。
explore_affair_server-10000026,[gun1]身上带的东西被突然出现的猴子抢走了，一路追讨后，在树上找到了那只泼猴先前从其他地方抢来的物资。
explore_affair_server-10000027,[gun1]身上带的东西被突然出现的猴子抢走了，一路追讨后，在树上找到了那只泼猴先前从其他地方抢来的物资。
explore_affair_server-10000028,[gun1]搜索了一处废弃的木屋，原本想找点食物，但却意外发现了物资
explore_affair_server-10000029,[gun1]搜索了一处废弃的木屋，原本想找点食物，但却意外发现了物资
explore_affair_server-10000030,[gun1]搜索了一处废弃的木屋，原本想找点食物，但却意外发现了物资
explore_affair_server-10000031,[gun1]协助了一群试著修复发电机的民间工程师，作为谢礼得到了物资。
explore_affair_server-10000032,[gun1]协助了一群试著修复发电机的民间工程师，作为谢礼得到了物资。
