enemy_illustration_skill-10000001,普通射击
enemy_illustration_skill-20000001,攻击距离自己最近的我方单位
enemy_illustration_skill-10000002,常规射击
enemy_illustration_skill-20000002,攻击最前排的我方单位
enemy_illustration_skill-10000003,普通打击
enemy_illustration_skill-20000003,用近战装备攻击距离自己最近的我方单位
enemy_illustration_skill-10000004,SWAP·护卫者
enemy_illustration_skill-20000004,张开一个等同于最大生命值30%血量的护盾//c持续6秒。护盾持续时间内敌方单位无法进行普攻
enemy_illustration_skill-10000005,SWAP·猎鸥
enemy_illustration_skill-20000005,瞄准2.5秒后//c对我方最后排的单位造成一次狙击伤害。
enemy_illustration_skill-10000006,SWAP痛击者机枪技能
enemy_illustration_skill-20000006,用机枪射击最前排的我方单位
enemy_illustration_skill-10000007,SWAP·龙骑
enemy_illustration_skill-20000007,战斗开始时敌方龙骑发起冲锋//c向我方高速移动//c我方进入其攻击范围后冲锋状态移除
enemy_illustration_skill-10000008,精确打击
enemy_illustration_skill-20000008,向我方最后排随机单位投掷榴弹，在预警后对目标位置造成较高伤害
enemy_illustration_skill-10000009,圣盾防护
enemy_illustration_skill-20000009,张开一个等同于最大生命值30%血量的护盾//c持续6秒。护盾持续时间内敌方单位无法进行普攻
enemy_illustration_skill-10000010,钢狮的炮击
enemy_illustration_skill-20000010,开炮攻击最前排的我方单位
enemy_illustration_skill-10000011,自爆
enemy_illustration_skill-20000011,前进并在检测到我方后//c立刻触发自爆对周边我方造成巨量伤害。
enemy_illustration_skill-10000012,木星轰击
enemy_illustration_skill-20000012,发动强火力的炮击，如果该单位所在点被包围切断电源，将只会启动最低限度的自卫火力
enemy_illustration_skill-10000013,强无敌的射击
enemy_illustration_skill-20000013,攻击最前排的我方单位
enemy_illustration_skill-10000014,牝鹿的射击
enemy_illustration_skill-20000014,拥有较远射程，用高速的连击火炮攻击最前排的我方单位
enemy_illustration_skill-10000015,独眼巨人步枪
enemy_illustration_skill-20000015,用步枪对最前排的我方单位造成伤害
enemy_illustration_skill-10000016,独眼巨人·榴弹
enemy_illustration_skill-20000016,对我方随机单位投掷范围伤害的爆破榴弹//c
enemy_illustration_skill-10000017,独眼巨人·霰弹
enemy_illustration_skill-20000017,用霰弹对距离最近的三个我方单位造成伤害
enemy_illustration_skill-10000018,扫射
enemy_illustration_skill-20000018,九头蛇每三次普攻后会执行一次扫射，对面前一定范围的我方单位造成大量伤害
enemy_illustration_skill-10000019,指灵布雷
enemy_illustration_skill-20000019,向前移动//c并在检测到我方单位后布置地雷，地雷将在接触到我方单位后被触发//c从而对我方单位造成伤害
enemy_illustration_skill-10000020,电磁炮
enemy_illustration_skill-20000020,电磁炮经过一段时间的蓄力后，对一横排的我方所有单位造成贯穿伤害
enemy_illustration_skill-10000021,生产
enemy_illustration_skill-20000021,检测到我方单位后持续生产球形双足召唤物——尖兵。
enemy_illustration_skill-10000022,近距离打击
enemy_illustration_skill-20000022,接触我方单位后停止移动，并对我方单位造成伤害
enemy_illustration_skill-10000023,爆破箭
enemy_illustration_skill-20000023,向预警位置射出爆炸箭造成破甲伤害，并引燃目标位置//c对区域上的我方单位造成持续3秒的燃烧伤害
enemy_illustration_skill-10000024,精密防御
enemy_illustration_skill-20000024,张开一个等同现有血量0.8%的减伤盾，该状态下欧特鲁斯受到的伤害固定为1，持续6秒//c护盾持续时间内敌方单位无法进行普攻。减伤盾若被破坏将会对欧特鲁斯造成最大生命值50%的伤害。
enemy_illustration_skill-10000025,弥诺陶洛斯电磁冲击
enemy_illustration_skill-20000025,手部发射电磁光束//c对面前小范围的我方单位造成伤害。
enemy_illustration_skill-10000026,减伤
enemy_illustration_skill-20000026,弥诺陶洛斯进入无法攻击的防御状态，减少80%自身所受伤害。该状态持续5秒。
enemy_illustration_skill-10000033,导弹轰击
enemy_illustration_skill-20000033,一次性发射储备的导弹，在预警后对我方随机4格造成伤害，在一场战斗中该技能只可发动一次。
enemy_illustration_skill-10000027,剑盾士
enemy_illustration_skill-20000027,剑盾士拥有独特的光束武器普攻//c锁定我方最前排单位//c对其造成可以攻击到整个横排的贯穿伤害。
enemy_illustration_skill-10000028,榴弹打击
enemy_illustration_skill-20000028,发射榴弹//c对最前排的我方单位造成伤害。
enemy_illustration_skill-10000029,全弹发射
enemy_illustration_skill-20000029,向我方部队最高8格的范围内投掷榴弹，在预警后对目标位置造成较高伤害
enemy_illustration_skill-10000030,坦克普攻
enemy_illustration_skill-20000030,攻击最前排的我方单位
enemy_illustration_skill-10000031,枪骑兵
enemy_illustration_skill-20000031,发射榴弹//c对最前排的我方单位造成伤害。
enemy_illustration_skill-10000032,冲撞
enemy_illustration_skill-20000032,在预警后冲撞面前的我方单位//c对一横排的预警范围造成伤害
enemy_illustration_skill-10000034,咆哮打击
enemy_illustration_skill-20000034,对正前方我方单位造成伤害，并降低受攻击单位30%移速和30%射速。
enemy_illustration_skill-10000035,立场回溯
enemy_illustration_skill-20000035,角斗士进入立场修复状态//c每秒回复300力场//c持续5秒。
enemy_illustration_skill-10000036,护盾展开
enemy_illustration_skill-20000036,张开一个等同于最大生命值150%血量的护盾//c持续10秒。
enemy_illustration_skill-10000037,机动战术
enemy_illustration_skill-20000037,提高自身回避1900%//c转换攻击模式至狙击模式
enemy_illustration_skill-10000038,狙击模式
enemy_illustration_skill-20000038,降低自身攻速50%//c提升伤害150%//c对我方造成无视护甲的必中伤害//c持续6秒
enemy_illustration_skill-10000039,干扰射击
enemy_illustration_skill-20000039,每3秒的下一次普通攻击额外降低目标20%命中和20%回避//c最高叠加3层//c持续3秒。
enemy_illustration_skill-10000040,心智震颤
enemy_illustration_skill-20000040,持续前进//c每隔4秒晕眩自身2范围内的我方单位//c持续2秒。
enemy_illustration_skill-10000041,血色潮汐
enemy_illustration_skill-20000041,锁定任意一名我方人形//c该人形心智受到干扰将无法执行任何指令。 然后以其为中心//c对十字范围内的我方单位造成伤害。技能施放过程中妮莫金会召唤一位幻影，击破该单位将中断血色潮汐的释放。
enemy_illustration_skill-10000042,感召仪式
enemy_illustration_skill-20000042,持续召唤帕拉蒂斯方单位从墨丘萝丝后方加入战场。
enemy_illustration_skill-10000043,行星之棺
enemy_illustration_skill-20000043,锁定输出最高的我方人形//c该人形心智受到影响将持续受到伤害//c同时墨丘萝丝将持续回复自己的生命值。技能释放过程中墨丘萝丝会为自己展开4000点护盾//c持续8秒//c击破护盾可以中断行星之棺的释放。
enemy_illustration_skill-10000044,终焉花海
enemy_illustration_skill-20000044,似乎可以摧毁一切的密集弹雨。（进入特殊的弹幕游戏玩法）
enemy_illustration_skill-10000045,黑色方尖碑
enemy_illustration_skill-20000045,获得护盾的同时积攒力量//c护盾存在时间越长造成的伤害段数越多范围越大//c最多将造成3段伤害。若击中白色标记我方单位，对目标产生额外的爆炸伤害。
enemy_illustration_skill-10000046,纯白之夜
enemy_illustration_skill-20000046,获得护盾的同时积攒力量//c护盾存在时间越长造成的伤害段数越多范围越大//c最多将造成3段伤害。若击中黑色标记我方单位，对自己产生额外的护盾。
enemy_illustration_skill-10000047,绊
enemy_illustration_skill-20000047,对三个身位的范围造成爆炸伤害，被黑涅托的爆炸伤害击中会被黑色印记标记，被白涅托的爆炸伤害击中会被白色印记标记。
enemy_illustration_skill-10000048,重装劈砍
enemy_illustration_skill-20000048,身上有护盾则造成前方3个身位范围的我方造成伤害//c并降低命中单位30%火力和移速。
enemy_illustration_skill-10000049,护盾展开
enemy_illustration_skill-20000049,张开一个等同于最大生命值20%血量的护盾//c持续8秒。
enemy_illustration_skill-10000050,自卫模式
enemy_illustration_skill-20000050,血量低于30%时//c竖盾并增加50%减伤//c同时停止攻击和移动。
enemy_illustration_skill-10000051,护盾发生器
enemy_illustration_skill-20000051,为己方全体张开一个等同于最大生命值10%血量的护盾//c持续6秒。
enemy_illustration_skill-10000052,烟雾战术
enemy_illustration_skill-20000052,随机向我方区域发射干扰烟雾弹//c降低1.5范围内的我方单位30%移速和30%命中//c持续5秒。
enemy_illustration_skill-10000053,纵深打击
enemy_illustration_skill-20000053,锁定一个前排单位//c在2秒的瞄准后对其发射一枚弹药//c造成编制伤害//c并对其后方造成较低的编制伤害。
enemy_illustration_skill-10000054,护甲破坏
enemy_illustration_skill-20000054,每次攻击降低目标护甲10%。持续5秒。
enemy_illustration_skill-10000055,连斩
enemy_illustration_skill-20000055,每3次普攻后的第4次普攻造成双倍伤害//c同时连斩不会破坏护甲。
enemy_illustration_skill-10000056,精准炮击
enemy_illustration_skill-20000056,瞄准并开火//c对我方单位造成不可回避的伤害。
enemy_illustration_skill-10000057,腐蚀瘴气
enemy_illustration_skill-20000057,对周围人形持续造成伤害//c保持我方后排尽量远离该单位。
enemy_illustration_skill-10000058,转化
enemy_illustration_skill-20000058,吸收周围小型僵尸的活力并为自己添加护盾//c护盾值由被吸收的单位的数量决定。
enemy_illustration_skill-10000059,铁血战术·稻草人
enemy_illustration_skill-20000059,稻草人身边的三把枪旋转并同时开火//c对目标单位造成3段伤害。
enemy_illustration_skill-10000060,铁血战术·刽子手
enemy_illustration_skill-20000060,刽子手锁定距离自己最近的单位//c用刀劈砍对我方影响范围内最多2名单位造成无视护甲的大量伤害。
enemy_illustration_skill-10000061,雾月处刑
enemy_illustration_skill-20000061,更高规格的刽子手战斗模组将使用该技能//c对预警区域造成伤害//c刀劈伤害影响范围为一横向队列//c爆炸伤害影响范围为一竖向队列//c在两段伤害交汇处的我方单位将受到两段伤害。
enemy_illustration_skill-10000062,铁血战术·猎手
enemy_illustration_skill-20000062,猎手在一段时间内用双枪高速射击//c对目标单位造成大量多段伤害。
enemy_illustration_skill-10000063,铁血战术·炼金术士
enemy_illustration_skill-20000063,炼金术士跃起并高速移动//c对目标单位造成多段伤害。
enemy_illustration_skill-10000064,铁血战术·破坏者
enemy_illustration_skill-20000064,破坏者向空中发射榴弹//c榴弹依次落在一横向队列的预警范围内//c对我方该横排上的全部单位造成伤害。
enemy_illustration_skill-10000065,盖娅终结
enemy_illustration_skill-20000065,更高规格的破坏者战斗模组将使用该技能//c在大范围的预警后//c向每个预警位置射出一枚延迟爆裂的榴弹//c对所有预警范围上的我方单位造成多段伤害。
enemy_illustration_skill-10000066,铁血战术·计量官
