auto_formation-10000001,能力均衡编队
auto_formation-20000001,AR+SMG的常规编队，拥有平衡的能力。
auto_formation-10000002,穿甲特化编队
auto_formation-20000002,RF+HG的常规编队，拥有良好的穿甲能力和输出上限，但生存能力较差。
auto_formation-10000003,爆发特化编队
auto_formation-20000003,MG+SG的常规编队，拥有良好的爆发力和生存力，但需要较高的资源消耗。
auto_formation-10000004,轻装混合编队
auto_formation-20000004,MG+SG+HG的混合编队，降低梯队消耗，提高输出能力的同时，在生存能力上做出了一定的牺牲。
auto_formation-10000005,高速混合编队
auto_formation-20000005,较特殊的混合编队，可以对影响格和敌人的配置进行较灵活的调整，适用性较高。
auto_formation-10000006,广域攻击编队
auto_formation-20000006,以榴弹AR为核心的编队，对于阵型密集的大量敌人能造成良好打击效果。
auto_formation-10000007,夜战特化编队
auto_formation-20000007,以AR作为主要输出力量，编入HG以提供夜战视野，在装配夜视仪的条件下适用于普遍的夜战环境。
auto_formation-10000008,基础狙击编队
auto_formation-20000008,编入SMG以适应多样的环境，在初期有着均衡的表现。
auto_formation-10000009,爆发狙击编队
auto_formation-20000009,以高爆发RF为主的编队，通常针对于高强度精英单位。
auto_formation-10000010,稻草人基础阵型
auto_formation-20000010,平衡性很好的梯队，在任何场合都能保持平稳的发挥。
auto_formation-10000011,刽子手基础阵型
auto_formation-20000011,着重于近战的编队，可以有效规避敌对我方阵地的定点打击。
auto_formation-10000012,猎手基础阵型
auto_formation-20000012,适用于敌人数量较少且强度较高的作战任务。
auto_formation-10000013,干扰者基础阵型
auto_formation-20000013,擅长使用支援能力的编队，能有效降低我方的战损。
auto_formation-10000014,破坏者基础阵型
auto_formation-20000014,对于阵型密集的大量敌人能造成良好打击效果。
auto_formation-10000015,建筑师基础阵型
auto_formation-20000015,兼顾单点杀伤和群体击破的编队//c做为支援梯队也有着较好的表现。
auto_formation-10000016,衔尾蛇基础阵型
auto_formation-20000016,利用暴击带来的特殊效果削弱敌方//c从而在技能持续期间内迅速的结束战斗。
auto_formation-10000017,炼金术士基础阵型
auto_formation-20000017,根据敌方怪组灵活切换当前的战斗指令//c在攻防两端都可以发挥出色性能的近战编队。
auto_formation-10000018,梦想家基础阵型
auto_formation-20000018,在拥有较高泛用性的前提下在特殊环境下也可以发挥极佳的表现//c无论任何指令都拥有不错的表现。拥有后跳能力的龙骑SWAP也可以分担一定的承伤。
auto_formation-10000019,计量官基础阵型
auto_formation-20000019,利用独特的削弱护甲能力可以应对多种战斗环境//c同时在面对数量较多的敌人时有着更好的发挥。
auto_formation-10000020,法官基础阵型
auto_formation-20000020,灵活调整法官在战场中的位置使其承担不同的职责//c该梯队在兼顾灵活性的同时也有着非常稳定的发挥。
auto_formation-10000021,代理人基础阵型
auto_formation-20000021,平衡性很好的梯队//c同时有着较强的开场爆发。代理人的增援单位可以有效的保护梯队战损。
auto_formation-10000022,艾德琳基础阵型
auto_formation-20000022,擅长应对低编制的敌方阵容//c同时有着支援其他友方梯队的能力//c适用于对高威胁单体的攻坚战斗。
