tips_info-10000001,选择<color=#e57006>梯队</color> 提供更多战斗选择
tips_info-10000002,选中角色//n进行<color=#e57006>替换</color>
tips_info-10000003,进行<color=#e57006>阵型搭配</color>
tips_info-10000004,替换//n<color=#e57006>角色装备</color>
tips_info-10000005,各式各样的 <color=#e57006>房间</color>充满新奇
tips_info-10000006,<color=#e57006>装扮</color>心爱的人形
tips_info-10000007,打造属于自己的宿舍
tips_info-10000008,串门其他玩家的宿舍
tips_info-10000009,<color=#e57006>采购道具</color>布置宿舍
tips_info-10000010,收纳<color=#e57006>家具</color>及<color=#e57006>礼物</color>
tips_info-10000011,此处可   <color=#e57006>重新选择</color> 任务
tips_info-10000012,<color=#e57006>任务简报</color>及<color=#e57006>帮助界面</color> 戳这
tips_info-10000013,此处进行 <color=#e57006>普通人形</color> 建造
tips_info-10000014,需要 <color=#e57006>扩编</color>的人形放这
tips_info-10000015,此处进行 <color=#e57006>高级人形</color> 建造
tips_info-10000016,需要 <color=#e57006>强化</color>的角色放这
tips_info-10000017,添加的 <color=#e57006>素材</color>放这
tips_info-10000018,如果有 <color=#e57006>胶囊</color>可在此处添加
tips_info-10000019,想<color=#e57006>拆解</color>什么在这里选
tips_info-10000020,此处进行 <color=#e57006>普通装备</color> 建造
tips_info-10000021,此处进行 <color=#e57006>高级装备</color> 建造
tips_info-10000022,选择 需要<color=#e57006>强化技能</color>的人形
tips_info-10000023,需要强化的 <color=#e57006>装备</color>放这
tips_info-10000024,添加 <color=#e57006>素材</color>放这
tips_info-10000025,需要<color=#e57006>校准</color>的装备放这
tips_info-10000026,消耗的<color=#e57006>素材</color>在这显示
tips_info-10000027,需要<color=#e57006>强化</color>的妖精放这
tips_info-10000028,作为<color=#e57006>素材</color>的妖精放这
tips_info-10000029,具体强化后的<color=#e57006>信息</color>
tips_info-10000030,需要<color=#e57006>校准</color>的妖精放这
tips_info-10000031,消耗的<color=#e57006>素材</color>在这显示
tips_info-10000032,校准前后的对比
tips_info-10000033,选择//n<color=#e57006>任务类型</color>
tips_info-10000034,选择具体//n<color=#e57006>战役</color>章节
tips_info-10000035,选择//n<color=#e57006>战役类型</color>
tips_info-10000036,查看人形//n <color=#e57006>详细信息</color>
tips_info-10000037,选择需要<color=#e57006>心智 升级</color>的人形
tips_info-10000038,升级人形预览
tips_info-10000039,<color=#e57006>心智升级</color>前后对比
tips_info-10000040,消耗的<color=#e57006>素材</color> 在这显示
tips_info-10000041,点击查看 重装部队详细信息
