carnival_task_type-10000001,累计登录
carnival_task_type-20000001,累计登录{0}天
carnival_task_type-10000002,友谊的小船
carnival_task_type-20000002,活动期间累计被点赞{0}次
carnival_task_type-10000003,人形制造
carnival_task_type-20000003,累计消耗人形制造契约*{0}
carnival_task_type-10000004,训练资料
carnival_task_type-20000004,消耗初级训练资料*{0}
carnival_task_type-10000005,训练资料
carnival_task_type-20000005,消耗中级训练资料*{0}
carnival_task_type-10000006,训练资料
carnival_task_type-20000006,消耗高级训练资料*{0}
carnival_task_type-10000007,作战报告书
carnival_task_type-20000007,消耗作战报告书*{0}
carnival_task_type-10000008,血统验证
carnival_task_type-20000008,累计造出4星人形*{0}
carnival_task_type-10000009,血统验证
carnival_task_type-20000009,累计造出5星人形*{0}
carnival_task_type-10000010,收集电池
carnival_task_type-20000010,累计获得电池*{0}
carnival_task_type-10000011,战役关卡
carnival_task_type-20000011,战役胜利情况下挑战任意战役关卡{0}次（自律除外）
carnival_task_type-10000012,技能升级
carnival_task_type-20000012,累计升级人形/妖精技能{0}次
carnival_task_type-10000013,支援梯队
carnival_task_type-20000013,累计部署支援梯队次数*{0}
carnival_task_type-10000014,后勤支援
carnival_task_type-20000014,后勤支援累计完成{0}小时
carnival_task_type-10000015,救援人形
carnival_task_type-20000015,在任意关卡或战斗中累计救援任意人形{0}个（自律除外）
carnival_task_type-10000016,限时采购
carnival_task_type-20000016,累计消耗采购币*{0}
carnival_task_type-10000017,修复工作
carnival_task_type-20000017,累计修复人形或融合势力单位{0}次
carnival_task_type-10000018,动能消耗（包含超导动能）
carnival_task_type-20000018,累计消耗动能*{0}
carnival_task_type-10000019,校准点券
carnival_task_type-20000019,累计消耗校准点券*{0}
carnival_task_type-10000020,点赞使者
carnival_task_type-20000020,活动期间累计点赞{0}次
carnival_task_type-10000021,弹药消耗
carnival_task_type-20000021,累计消耗弹药*{0}
carnival_task_type-10000022,普通战役挑战
carnival_task_type-20000022,战斗胜利情况下挑战普通战役{0}次
carnival_task_type-10000023,紧急战役挑战
carnival_task_type-20000023,战斗胜利情况下挑战紧急战役{0}次
carnival_task_type-10000024,夜战关卡
carnival_task_type-20000024,战役胜利情况下挑战夜战战役关卡{0}次
carnival_task_type-10000025,S胜挑战
carnival_task_type-20000025,以S评价完成{0}场战斗
carnival_task_type-10000026,后勤支援
carnival_task_type-20000026,后勤支援累计完成{0}次
carnival_task_type-10000027,经验特训
carnival_task_type-20000027,模拟作战-经验特训累计{0}次
carnival_task_type-10000028,强化练习
carnival_task_type-20000028,模拟作战-强化练习累计{0}次
carnival_task_type-10000029,资源采样
carnival_task_type-20000029,模拟作战-资源采样累计{0}次
carnival_task_type-10000030,人形升级
carnival_task_type-20000030,人形升级{0}次
carnival_task_type-10000031,人形强化
carnival_task_type-20000031,人形强化{0}次
carnival_task_type-10000032,好感度
carnival_task_type-20000032,好感度上升{0}点
carnival_task_type-10000033,誓约次数
carnival_task_type-20000033,缔结誓约{0}次
carnival_task_type-10000034,人形制造次数
carnival_task_type-20000034,人形制造{0}次
carnival_task_type-10000035,装备制造
carnival_task_type-20000035,累计制造装备{0}次
carnival_task_type-10000036,血统验证_装备
carnival_task_type-20000036,累计造出4星装备*{0}
carnival_task_type-10000037,血统验证_装备
carnival_task_type-20000037,累计造出5星装备*{0}
carnival_task_type-10000038,人力消耗
carnival_task_type-20000038,累计消耗人力*{0}
carnival_task_type-10000039,口粮消耗
carnival_task_type-20000039,累计消耗口粮*{0}
carnival_task_type-10000040,零件消耗
carnival_task_type-20000040,累计消耗零件*{0}
carnival_task_type-10000041,体力购买
carnival_task_type-20000041,累计购买体力{0}次
carnival_task_type-10000042,核心消耗
