daily-10000001,每日指标：象征性胜利
daily-20000001,通过任意关卡1次。
daily-10000002,每日指标：二部曲胜利
daily-20000002,通过任意关卡2次。
daily-10000003,每日指标：三段式胜利
daily-20000003,通过任意关卡3次。
daily-10000004,每日指标：人偶储存
daily-20000004,进行1次战术少女制造。
daily-10000005,每日指标：人偶扩展
daily-20000005,进行3次战术少女制造。
daily-10000006,每日指标：小型支援
daily-20000006,完成1次后勤支援。
daily-10000007,每日指标：常规支援
daily-20000007,完成3次后勤支援。
daily-10000008,每日指标：全面支援
daily-20000008,完成5次后勤支援。
daily-10000009,每日指标：小型强化
daily-20000009,进行1次战术少女强化。
daily-10000010,每日指标：常规强化
daily-20000010,进行3次战术少女强化。
daily-10000011,每日指标：常规维修
daily-20000011,进行3次战术少女或融合势力修复。
daily-10000012,每日指标：小型模拟
daily-20000012,完成1次模拟作战。（不包括融合演习）
daily-10000013,每日指标：常规模拟
daily-20000013,完成3次模拟作战。（不包括融合演习）
daily-10000014,每日指标：武装储存
daily-20000014,进行1次装备建造。
daily-10000015,每日指标：武装扩展
daily-20000015,进行3次装备建造。
daily-10000016,每日指标：武装强化
daily-20000016,进行1次装备强化。
daily-10000017,每日指标：武装升级
daily-20000017,进行3次装备强化。
daily-10000018,每日指标：共同开发
daily-20000018,累计从好友处获得5次共享电池。
daily-10000019,每日指标：携手互赏
daily-20000019,累计点赞好友5次。
daily-10000020,每日指标：小型解析
daily-20000020,进行1次情报解析。
daily-10000021,每日指标：常规解析
daily-20000021,进行3次情报解析。
daily-10000022,每日指标：小型演习
daily-20000022,完成1次融合演习。
daily-10000023,每日指标：常规演习
daily-20000023,完成3次融合演习。
