unit_character-10000100,格里芬
unit_character-20000100,单位来自格里芬
unit_character-10000101,铁血工造
unit_character-20000101,单位被铁血科技影响，属于铁血工造
unit_character-10000102,帕拉蒂斯
unit_character-20000102,单位特点是全身被白色覆盖，其余的一切都是谜团（玩家俗称 白色势力）
unit_character-10000103,特种作战司令部
unit_character-20000103,单位来自军方，建议警惕规避
unit_character-10000104,感染者
unit_character-20000104,被感染后变异而成，玩家俗称 僵尸
unit_character-10000105,安全局
unit_character-20000105,单位隶属于安全局
unit_character-10000200,BOSS
unit_character-20000200,警告，危险！该单位为BOSS，请指挥官谨慎应对！
unit_character-10000201,稻草人
unit_character-20000201,铁血工造干部
unit_character-10000202,刽子手
unit_character-20000202,铁血工造干部
unit_character-10000203,猎手
unit_character-20000203,铁血工造干部
unit_character-10000204,干扰者
unit_character-20000204,铁血工造干部
unit_character-10000205,炼金术士
unit_character-20000205,铁血工造干部
unit_character-10000206,破坏者
unit_character-20000206,铁血工造干部
unit_character-10000207,计量官
unit_character-20000207,铁血工造干部
unit_character-10000208,建筑师
unit_character-20000208,铁血工造干部
unit_character-10000209,梦想家
unit_character-20000209,铁血工造干部
unit_character-10000210,衔尾蛇
unit_character-20000210,铁血工造干部
unit_character-10000211,法官
unit_character-20000211,铁血工造干部
unit_character-10000212,代理人
unit_character-20000212,铁血工造干部
unit_character-10000213,喙
unit_character-20000213,摩托的狂热爱好者
unit_character-10000214,末日魔犬
unit_character-20000214,末日魔犬，铁血工造研发的兽型单位，比普通机械狗更加强大
unit_character-10000215,M16A1
unit_character-20000215,M16被伞病毒感染
unit_character-10000216,"涅托"
unit_character-20000216,自称“涅托”的谜之生命体
unit_character-10000300,普通
unit_character-20000300,该单位属性较为均衡，没有特别突出的特性
unit_character-10000301,危险
unit_character-20000301,单位异常危险，请谨慎应对！
unit_character-10000302,巨型
unit_character-20000302,体型庞大，生命值较高！
unit_character-10000303,近战
unit_character-20000303,近距离攻击方式
unit_character-10000304,高速
unit_character-20000304,拥有较高的移动速度
unit_character-10000305,笨重
unit_character-20000305,拥有较低的移动速度
unit_character-10000306,机巧
unit_character-20000306,拥有较高的闪避
unit_character-10000307,精准
unit_character-20000307,该单位拥有高命中的特点
unit_character-10000308,连发
unit_character-20000308,该单位拥有高攻速的特点
unit_character-10000309,装甲
unit_character-20000309,该单位拥有护甲
unit_character-10000310,护盾
unit_character-20000310,该单位可以生成抵御一定伤害的护盾
unit_character-10000311,精密
unit_character-20000311,每次攻击只能对该单位造成少量伤害
unit_character-10000312,力场
unit_character-20000312,该单位拥有制造力场盾的能力
unit_character-10000313,免伤
unit_character-20000313,该单位可以免除一定量的伤害
unit_character-10000314,散射
unit_character-20000314,该单位可以同时攻击多个目标
unit_character-10000315,穿甲
unit_character-20000315,攻击可穿透护甲造成伤害
unit_character-10000316,弱化
unit_character-20000316,可为目标施加弱化效果
unit_character-10000317,压制
unit_character-20000317,可为目标施加移速降低的效果
unit_character-10000318,干扰
unit_character-20000318,可为目标施加攻速降低的效果
unit_character-10000319,范围杀伤
unit_character-20000319,拥有造成范围伤害的能力
unit_character-10000320,贯穿
unit_character-20000320,可对一条直线的多个单位造成伤害
unit_character-10000321,制造
unit_character-20000321,战斗中可以制造新的单位参与战斗
unit_character-10000322,埋雷
unit_character-20000322,在战役中会埋下陷阱，目标经过会造成伤害。
unit_character-10000323,自爆
unit_character-20000323,接近目标会引爆自己，从而对周围造成巨大的伤害
unit_character-10000324,控制
unit_character-20000324,干扰目标，让目标短暂的失去行动能力
unit_character-10000325,定位
unit_character-20000325,远程锁定一个区域，对该区域的目标造成大量伤害
unit_character-10000326,支援
unit_character-20000326,可在战场外支援其他作战中的单位
unit_character-10000900,？？？？
unit_character-20000900,有关它的一切都处于迷雾中，神秘的存在
unit_character-10000901,酗酒
unit_character-20000901,该单位醉意朦胧，迷迷...糊糊...
unit_character-10000902,高度危险
