()||<BIN>34</BIN><BGM>BGM_Frontline</BGM>:The survey group completed their mission.
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:How are things on your end, 57?
FAL(0);FN57(0)<Speaker>Five-seven</Speaker>||<BIN>34</BIN>:Right on time. Everything is ready here. +The Rabbit's signal has been located. We can make the connection anytime.
FAL(0);BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:All yours, Mademoiselle Noel.
FAL(0);BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Got it! Leave it to me.
FN57(0)<Speaker>Five-seven</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:Then let's begin...
()||<BIN>9</BIN>:...
BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN><黑屏2>:Is this...the Rabbit?
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:...
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Um...hello?
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:...
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:... +Say something else.
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Huh? O-Okay.
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:...
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Are you...looking for the "Doll"? Please look at me! Am I the one you're looking for?
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:No response at all. Have we failed?
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:... +Something doesn't feel right...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:What do you mean?
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:She seems...a bit different...
FAL(0);GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Empty</BGM>:...Annihilate...
FAL(0)<Speaker>FAL</Speaker>;GG_elfeldt_505(0)<通讯框>||<BIN>34</BIN>:...!
FAL(0);GG_elfeldt_505(0)<Speaker>Elphelt</Speaker><通讯框>||<BIN>34</BIN>:Elphelt Valentine... +Here to annihilate all unworthy Dolls!
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:Connection broken...
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:That was...
FAL(0)<Speaker></Speaker>||<BIN>34</BIN><BGM>BGM_Empty</BGM><SE1>Explode</SE1><震屏>:BOOM!
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:Whoa! W-What's that?!
FAL(0);FN49(0)<Speaker>FF FN49</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Danger</BGM>:FAL! A surge in Sangvis numbers just ahead!
FAL(0)<Speaker>FAL</Speaker><通讯框>;FN49(0)||<BIN>34</BIN>:What?! Where did they come from?!
FAL(0);FN49(0)<Speaker>FF FN49</Speaker><通讯框>||<BIN>34</BIN>:No idea! It's like they appeared out of thin air! There's no sign of an intrusion from outside!
FAL(0);FN57(0)<Speaker>Five-seven</Speaker>||<BIN>34</BIN>:FAL...we have a problem. The facilities in the factory have somehow been reactivated. +The scattered Sangvis units are revived...and their numbers are going up!
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:Tsk. So we're the ones getting ambushed. +That communication module has always been a trap...
FAL(0);BOSS-4(0)<Speaker>Intruder</Speaker><通讯框>||<BIN>34</BIN>:Finally caught on, eh?
FAL(0)<Speaker>FAL</Speaker>;BOSS-4(0)<通讯框>||<BIN>34</BIN>:Humph... Not exactly surprising, Intruder. +Though I wonder...how much more foreshadowing have you written into your script? 
FAL(0);BOSS-4(0)<Speaker>Intruder</Speaker><通讯框>||<BIN>34</BIN>:No, I'm just a member of the audience myself. It's been quite entertaining how things have developed. +It's just that without a bait, the prey won't fall into the trap. +This is the final hunting ground. I look forward to your last performance...
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:Connection broken...
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:We'll see, Intruder. +I'll make you realize...that you've made a mistake with the cast.
FN57(0)<Speaker>Five-seven</Speaker>||<BIN>34</BIN>:FAL! The Rabbit is here!
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker>||<BIN>34</BIN>:Dolls... Annihilate all Dolls...
BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Has she...already made it this far?!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:Mademoiselle Noel, for the sake of us all... +If you want to make it back alive, give it everything you've got.
FAL(0);BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Roger! +We're all definitely gonna make it back alive!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑点1>:Let's go, everyone... +This is the final Rabbit Hunt!
()||<BIN>10</BIN><黑点2>:
