()||<BIN>2</BIN><BGM>BGM_Sneak</BGM><Night>:Territory of dispute, Area S09...
FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:FF FNC. Calling FF FNC.
()||<BIN>2</BIN><Night>:The sound of chewing comes through the channel.
FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN><Night>:Mghmm...nom... (Chewing)
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:(Sighs) Talk to me after you swallow your snack.
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:Mghmm! Hmm! Mghmmghmmghmm! (Chewing) +Gulp! I'm done! What's up, FAL?
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:Don't "what's up" me... I'm asking for your report obviously. +You've reached the designated base, right? Taken a good look at the abnormal Sangvis signal yet?
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:Nothing spotted yet...other than some Sangvis patrols.
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:What about 49? She's scouting at another outpost, isn't she?
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:She did report a lot of stuff. Seriously...she would report anything that twitches. +There IS something that kinda bothers me, (mutters) though it has nothing to do with S.F...
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:Do tell.
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:The weather! The weather is rather bizarre today... +Strong winds, low air pressure… The sky isn't looking very good either.
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:Tell me what you see.
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:There...+Look at those black clouds. Don't they look like a whirlpool? +You only see those on weather forecasts, right? +They're like a bunch of angry marshmellows about to explode any second.
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:You're right. But S.F...shouldn't have any weapons that can affect the weather. +Is this something to worry about? Or am I being paranoid... +FF FNC, next time you'd better...
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:(Static)
FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN><Night>:Quoi? What did you say, FAL?
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:(Static)
FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN><Night>:Tsk. Such bad timing... +That's why I keep saying FAL babbles too much! Why didn't she just get right to the point?! +What should I do now... Maybe get in touch with 49? Sounds like a plan!
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:FF FNC calling FF FN49. +...Click. +...Click...click...click. +(Static)
