()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1><SE1>AVG_Rain2</SE1>:... +...Griffin forces retreat in panic, having suffered tremendous losses. +Meanwhile, in the trench where the AR Team held their ground.
M4A1()<Speaker>M4A1</Speaker>||<BIN>113</BIN><黑屏2>:...
()||:... +M4A1 stays on her knees, stupefied. She's completely motionless, but the tears keeps falling.
闭着眼的人形()<Speaker>T-Doll with closed eyes</Speaker>||:How unsightly. +The Griffin forces have all withdrawn. She won't survive if we leave her here. +...What do you think?
熟悉的人形声音()<Speaker>Familiar voice of a T-Doll</Speaker>||:Angelia didn't ask us to take her in. +You said yourself that our job this time is to observe. We can't get involved until new orders come.
闭着眼的人形()<Speaker>T-Doll with closed eyes</Speaker>||:Even if she dies...? Are you really okay with that?
熟悉的人形声音()<Speaker>Familiar voice of a T-Doll</Speaker>||<SE2>AVG_Rain2</SE2>:Orders are orders. T-Dolls can't disobey.
闭着眼的人形()<Speaker>T-Doll with closed eyes</Speaker>||:I know you can, and so do you.
熟悉的人形声音()<Speaker>Familiar voice of a T-Doll</Speaker>||:... +Are you abetting me in breaking the rules?
闭着眼的人形()<Speaker>T-Doll with closed eyes</Speaker>||:I remember you're quite famous for disobeying orders. +Well, do indulge my curiosity.
熟悉的人形声音()<Speaker>Familiar voice of a T-Doll</Speaker>||:You're right. +I suppose no one would bat an eye no matter what I do on a team with such a name.
熟悉的人形声音()<Speaker>Familiar voice of a T-Doll</Speaker>||<SE1>AVG_Rain2</SE1>:Then here's a question, squinty eye... Is Task Force DEFY hiring?
闭着眼的人形()<Speaker>T-Doll with closed eyes</Speaker>||<黑屏1>:Humph, sly old fox... +We actually do have an opening.
()||<黑屏2><BIN>114</BIN><SE1>Rope</SE1>:...
()||<SE2>AVG_Rain2</SE2>:...We are in Purgatory – for redemption or insurgence? +I have already paid my due, but still find myself back in this damned cage. +Yet, who else would willingly return to Purgatory, if not me? +M4A1... +I...really do hate you...
()||<黑屏1>:Episode 10 Purgatory — END.
