()||<BIN>7</BIN><Night><黑点2><BGM>BGM_Sneak</BGM>:...
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Did you have a good rest, ladies? Time to work.
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:I have the feeling that look on your face doesn't mean anything good... so, where are we headed?
HK416(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Wake up Gr G11. Our employer has thrown a big problem our way. You cannot imagine how bad it is.
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Can't be worse than you being here... +Oi, Gr G11! Wake up!
G11(3)<Speaker>Gr G11</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Uwah... what the heck... +I was only asleep for 5 minutes...
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:9, do a search for every point in the vicinity which can connect to the Sangvis network.
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Let me see... ooh, there's a SF repeater station nearby, with Sangvis Dolls standing guard around it. We should be able to use it.
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Good. Our first objective is to take it. Everyone ready?
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Get the hell up, Gr G11!
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night><黑屏1>:Yep, we're ready. Let's go.
