()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Room</BGM>:12 hours ago.
NPC-Kalin(0)<Speaker>Kalina</Speaker>||:Commander, it's the gentleman from I.O.P...
()<Speaker>Commander</Speaker>||:Finally. Patch him through via the encrypted channel.
NPC-Kalin(1)<Speaker>Kalina</Speaker>||:Alright, one second.
()||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:...Click.
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||<BGM>BGM_Pervaded</BGM>:<color=#00CCFF>Ah, my esteemed Commander. It's been a while.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Did you enjoy your trip to Belgrade?</color><c>Sorry I couldn't prevent the disaster. <c>I wouldn't say I "enjoyed" it.
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||<分支>1</分支>:Sorry I couldn't prevent the disaster.
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>Don't beat yourself up over it, Commander. You'll see much worse in the future...so prepare yourself.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||<分支>1</分支>:...Aren't you unflappable.
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>It's important to maintain good mental health, or you won't last long in this world of madness.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>This isn't something that will blow over in a day or two. Steel your heart for a protracted battle, Commander.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||<分支>2</分支>:I wouldn't say I "enjoyed" it.
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>Oh, why not? Most of the residents made it to shelter in time; you managed to seal the opening before it was too late, and now the decontamination project is underway.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>You were successful in minimizing the damage. That was very commendable in itself. </color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||<分支>2</分支>:That is a gross understatement of the devastation of Belgrade and the loss of its people. +I will never take credit by exploiting their suffering.
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>Not bad, not bad at all. There aren't many who are as sentimental as you in this day and age.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>You may consider me cold-blooded, and you aren't wrong in your assessment. I have seen too much in my youth, so I'm rather desensitized to "misery".</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>Well, won't you forgive an old man for his callousness?</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Now let's end the small talk. After all, we're both busy bees.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Hmm... Still, where should I begin? Guess I'll start with Statesec's response.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>To put it simply, they were so satisfied with your performance, they all but burst into dance right in front of me.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:Is that so? I honestly thought I was going to be executed for having failed to stop an entire city from becoming a contamination zone.
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>If Statesec really wanted to apportion blame, they would have to execute a few truckloads of information analysts and Statesec agents before they finally got to you.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>I'm sure they'd much rather make a hero out of you than turn against you and hold you accountable.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||:And what about poor Ambassador Roshchin?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>An unfortunate case of collateral damage. More importantly, the Chairwoman's life was saved and the terrorists' heinous crimes were fully captured and broadcasted all over the world, so you assisted Statesec in completing the mission perfectly.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Speaking just from the result, everything is progressing in our desired direction.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||:The problem is the "collateral damage" could've been avoided. +If Statesec had shared their intelligence with us from the start, or at least heeded my warning...
