()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...
M4A1()<Speaker>M4A1</Speaker>||:...RO?
()||:...No response. +M4A1 feels almost weightless.
M4A1()<Speaker>M4A1</Speaker>||:I'm...falling? +How long am I going to fall?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||<黑屏1>:You're just sleeping. Now wake up.
M4A1()<Speaker>M4A1</Speaker>||<BIN>100</BIN><黑屏2><BGM>BGM_Truth</BGM>:Wake up? I just want to go back.
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:I am leading you back, following a path that you don't know. +Right now, I'm the only one who can help you, so face this with me.
()||:...M4A1 feels herself becoming dazed again.
M4A1()<Speaker>M4A1</Speaker>||:Face what...with you?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||<黑屏1>:Something that belongs to us.
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||<BIN>102</BIN><黑屏2>:You see them too, don't you?
M4A1()<Speaker>M4A1</Speaker>||:What...are these?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:Fragments of our memory.
M4A1()<Speaker>M4A1</Speaker>||:Ours...?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:There are things that I don't remember, but they're here in your mind. +...It's such a nice feeling.
M4A1()<Speaker>M4A1</Speaker>||:Huh?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||<黑屏1>:Let's keep going.
M4A1(2)<Speaker>M4A1</Speaker>||<BIN>10</BIN><黑屏2>:Where...exactly are we...?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:The depths of our heart. Does that make any sense to you?
M4A1(2)<Speaker>M4A1</Speaker>||:I don't know. Will they hurt me?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:Not if you accept them willingly. +There is so much strength in your mind... +Power even greater than my own.
M4A1(2)<Speaker>M4A1</Speaker>||:Power...
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:Call them...order them...to come save you...to take you away from here...and deliver you to the other side.
M4A1(2)<Speaker>M4A1</Speaker>||:What's there on the other side?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||<黑点1>:A gift. +A gift...our "Father" left us...
