()||<BIN>2</BIN><BGM>BGM_Sneak</BGM><Night>:S09区，铁血争端地带……
FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……FNC，呼叫，FNC。
()||<BIN>2</BIN><Night>:……通讯对面传来了咀嚼声。
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:唔……唔……（嚼嚼）
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:（叹气）你给我把零食咽下去再说话。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:唔…！唔！唔唔唔唔——！（嚼嚼）+唔哦！好啦！什么事FAL？
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:还什么事……当然是汇报情况了。+你已经到达目标据点了吧，异常的铁血信号探明了吗？
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:目前没什么发现呢……除了些铁血的巡逻部队。
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:49那边呢？她在另一个哨站侦察吧。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:她是报告了很多东西啦，那家伙……有点动静应该就会报过来。+其中有件事我也有点在意，（小声嘟囔）虽然和铁血没什么关系……
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:什么事，姑且说来听听。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:天气啊，今天的天气倒是蛮异常的呢……+风力很强，气压也很低……天空也很不妙的样子。
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……把脑袋挪一边去，给我看看天上。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:喏……+你看那团黑压压的云彩，很像旋涡吧？+通常天气预报里才有这种效果吧？+就像是块生气了的棉花糖，感觉随时会爆炸呢。
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……的确。可是铁血……应该还没有作用于天气的武器才对。+应该在意吗？还是我想多了……+FNC，下次，我建议你还是……
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:唦……
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:哎？……FAL，你说什么？
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:唦唦……
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:呿，偏偏这个时候……+所以说，FAL就是爱啰嗦啊！先说重点不就好啦！+这下该怎么办呢……不如先联系下49比较好吧，就这么办！
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:…………FNC呼叫了FN49。+……滴。+……滴……滴……滴。+唦……
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night><BGM>BGM_Empty</BGM>:FNC……喂……
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:唔……那边通讯效果也不好啊……+还是说……是我这里出了问题……+难道……是天气……
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night>:FNC……小心……
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:诶……49！你说什么？
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night>:……干扰……+她回来……小心啊！
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:干扰……干扰什么啊……
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:…………呲！……呲！
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:可恶！通讯彻底断掉了！这倒霉天气！
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night><黑屏1>2</黑屏1>:……FNC抬头望向了天空。
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN><BGM>BGM_Danger</BGM><黑屏2>:……！
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:这是……怎么回事……
()||<BIN>58</BIN>:天上的黑云缠旋在一处，漩涡中心发出阵阵火光……
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:…………+这是……舞台效果，对吧……
()||<BIN>58</BIN>:仿佛……有“亡灵”要从里面出来一般——
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:……！！
()||<BIN>58</BIN><SE1>Explode</SE1><震屏><黑屏1>:
()||<BIN>8</BIN><黑屏2>2,0</黑屏2>:与此同时，S09区格里芬指挥部。
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:喂！FNC？喂！+通信突然中断，难道和敌人有关……+57，你去检查一下线路情况。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:我们这边的通讯没问题。+顺便，在你开口之前我就检查过了哦。
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:57，这种小聪明可不会让你受提拔的。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:是是是，啰里啰嗦啰里啰嗦……+总之，你不觉得和FNC的报告有关系吗？
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:天气？我保留意见。+我们的网络不会被这点状况干扰，而且没有迹象显示铁血会使用类似的武器。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:只是以防万一，如果不是铁血所为呢。+我是说，这个天气是某些第三方造成的现象。+当然，只是异想天开的想法罢了……
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:你是很能胡思乱想，不过……我觉得不是完全没道理。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:哦？难得被你认同一回呢。
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:战场呆得越久，就越要依赖灵感和运气。+所以我才让你担任副手。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:姑且认为这是你的夸奖吧。+不过，偶尔你也该更坦率点……
FAL(0);FN57(0)<Speaker></Speaker>||<BIN>8</BIN><SE1>Explode</SE1><震屏>:轰隆！——
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:唔啊！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:呃！……这个剧烈的震感是！……
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:来源西北方方向！……是任务目标位置！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:居然能波及到这里……究竟发生了什么？
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:目前能量来源不明……等等，线路通了！
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:哈……哈……有…有人吗！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:FNC！你们那边发生了什么！
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:太好了……终于接通了！+我…我们遇上了干扰者！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……！+刚才的动静，是它搞的鬼吗？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:不知道……后来……天空打雷了！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……哈？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:非常大的雷光！像炸弹一样把这里炸开了！
