()||<BIN>99</BIN><BGM>BGM_Sneak</BGM>:战场渐渐落下帷幕……
BOSS-4(0)<Speaker>干扰者</Speaker>||:哎呀……+接下来是瞄准了那里吗？+这些大个子啊，真是要把我们的家推平掉呢。
？？()<Speaker>？？</Speaker>||:你后悔了吗？
BOSS-4(0)<Speaker>干扰者</Speaker>||:你是说错过这场演出？+我是按剧本去进行的，没有什么可后悔的。
？？()<Speaker>？？</Speaker>||:但是……还是想回去吧。
BOSS-4(0)<Speaker>干扰者</Speaker>||:你今天话太多了，稻草人。+好不容易把你叫醒，不是让你来给我添堵的。
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:对不起……+我只是，不甘心这样的结果。
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||:不会就这样结束的……+所以我们才要活下来，这是代理人的命令。
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:可是计量官它们……
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||:那是它们的任务。+在战场上随便找个地方牺牲，可比我们要轻松多了呀……+所以，大家的路线都安排好了吗？
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:嗯。+除了梦想家，被代理人调走了。
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||:我知道，那是另一条路线。+我们走吧，趁格里芬和人类的大个子军队都没发现这里。
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:真的……什么都不管了吗？
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||:格里芬为了补给已经和军队纠缠得不可开交，不会理会我们的。+为了生存挣扎，我们现在都是一样的啊。+不如说，从一开始就……
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:果然是在后悔吧？
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||:不，我只是……+在想其它的可能性而已。
BOSS-4(0);BOSS-1(0)<Speaker>稻草人</Speaker>||:我不明白。
()||:……干扰者拍了下稻草人的脑袋。
BOSS-4(0)<Speaker>干扰者</Speaker>;BOSS-1(0)||<黑屏1>:所以你才叫稻草人啊。+走吧，大家还在等着我们。
()||<BIN>9</BIN><黑屏2>:…………
干扰者()<Speaker>干扰者</Speaker>||<黑屏1>:格里芬的人形们。+下次再见面时……会是什么样子呢？+……我很期待呢。
