()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………
NPC-Carter(0)<Speaker>卡特</Speaker>||:我想细节已经说得差不多了，哈维尔那家伙多半是在你这说了什么不好的话。+不过我相信你是不会被他几句话而动摇意志的。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Carter(0)||:的确，不是什么令我在意的内容，有关这次行动，我已经在让我的下属加速筹备了。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:嗯，你也感觉到了吧，也许会有人来干涉这次行动，所以我们越早展开越好。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Carter(0)||:今天就可以，我们的指挥官会配合你们的部队立即去往前线。他的人形梯队已经在前线待命了。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:可以，一会儿就让他坐叶戈尔的直升机出发吧。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Carter(0)||:明白，不过在出发前，我想单独再和他说几句话。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||<黑屏1>:没问题，我也需要安排下接下来的命令。
()||<黑屏2><BIN>79</BIN>:…………卡特和他的部下离开了。
()||:……克鲁格听取了刚才的报告。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||<黑屏1>:……是吗……AR小队剩下的成员也失踪了。指挥官，想尽办法把她们找回来。+刚才的话你也听到了，虽然哈维尔看起来很不靠谱，但他从来不是个随便乱说话的人。+我预感这次行动会有大事发生，我会调拨格里芬所有可以动用的人形给你。+剩下的就见机行事吧，注意自己的安全。
克鲁格()<Speaker>克鲁格</Speaker>||<黑屏2><BIN>9</BIN>:该说的都说完了，走吧，叶戈尔还在外面等着。
()||:…………克鲁格打开了门。
NPC-Carter(0)<Speaker>卡特</Speaker>||:结束了？上尉，带着格里芬的指挥官出发吧。
NPC-Yegor(0)<Speaker>叶戈尔</Speaker>||:是。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||:将军，我还有些问题想请教下。
NPC-Carter(0)<Speaker>卡特</Speaker>||<黑屏1>:当然可以。
()||:…………门被关上了，克鲁格和卡特的身影消失在夜宴中。
NPC-Yegor(0)<Speaker>叶戈尔</Speaker>||:格里芬的指挥官，请这边走。
()||<黑屏1>:…………
