()||<BIN>9</BIN><BGM>BGM_Room</BGM>:…………
M16A1()<Speaker>M16A1</Speaker>||:帕斯卡！+…………+呼叫，帕斯卡！
帕斯卡()<Speaker>帕斯卡</Speaker>||<黑屏1>:哦哦，我来了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><黑屏2>:不好意思，刚才去观察了一下M4。
M16(3)<Speaker>M16A1</Speaker><通讯框>;NPC-Persica(0)||:她……没事吧？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:一切都在……按照计划进行中。+先不说这个，在资料库时，RO没看见你在做什么吧……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:没有，她出来时我已经搞定了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:是嘛……你现在状态如何？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:哼，别告诉我……这时候了我还能反悔哦。+不过我确实有个疑问，就当作是云图不稳定引发的大胆猜疑吧，你能回答我吗？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:事到如今了，问吧。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:关于莱柯的死，我曾搜索过格里芬的数据库，有378个报告指向他死于意外。+所以，我无法理解你的执着……+无论他做过什么，他都已经死了，为什么还要在意他？
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:因为他的死很可疑。+就算他会死，那也不会是死于意外……+……所以，我无法接受这一点。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:哈，没想到你还有这么敏锐的一面。+帕斯卡，你真的是个科研工作者嘛？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:和你一样，我也有过死里逃生的经历，M16，生存是一门技巧。+总而言之，你的目标就是那个东西了。+指挥官会遏制铁血的攻势，保证你能安全调查。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:调查那个……古怪的信号发射源吗……+你究竟是什么时候注意到的？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:RO进入铁血主干网络，开始搜索7号档案时……+我偷偷使用了RO的云图对网络进行了多通道检索，顺手下载了一个有趣的文件。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:虽然我想提醒你，铁血网络中的文件都可能是感染源……+哼哼，不过现在说这个也没什么意思了吧……
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:铁血那种次级病毒，连RO自己都能破解掉，但重点不是这个。+我会下载这份文件，是因为它的加密方式，完全异于铁血的模式特征。+所以，这是一封信，一封让你不虚此行的邀请……那个坐标，你收到了吧？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:邀请……对吗？+虽然我作战至今，但还没见识过如此让人不寒而栗的邀请
M16(2);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:怎么了？都这个时候了，才觉得害怕吗？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:我的心智也有崩溃的可能……尤其是现在。+……只可惜……我的云图是无法复制的。+一大堆的经验……恐怕无法带给M4了。
M16(2);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:看来你什么事……都要挂念着她呢。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:嗯……+这一切都是为了保护M4……+这是你对我下的唯一，也是绝对的命令。
M16(3);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:真高兴，你还记得。+她马上就会醒来了，M16。+如果行动够快，你还来得及和她道别。
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:算了吧，我可没时间想说什么……+还是快点行动吧，这是我现在……唯一能做的。
