()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:战场上。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<BGM>BGM_War</BGM><BIN>99</BIN><黑屏2>:<color=#00CCFF>注意你的右边。</color>
NPC-Jason(1)<Speaker>指挥官</Speaker>||:收到。
()<Speaker></Speaker>||:一队士兵匆匆跑过通道，谁也没有注意到躲在拐角阴影里的我。+我和K互相观察着对方的位置，帮助对方躲开军方的视野，借助着掩蔽物继续前进。
NPC-Yegor(3)<Speaker>军方军官</Speaker>||:重新组织士兵和自律单位！不要被敌人分割，以汇合为第一目标！
()<Speaker></Speaker>||<SE2>Alarm</SE2>:进入基地的军方部队的编制已经被完全打散，但远处的枪声依然没有停止。剩余的人形不断地对残余的小分队进行干扰，试图拖慢他们和其他分队汇合的速度。
NPC-Kalin(4)<Speaker>格琳娜</Speaker><通讯框>||<SE2>Gunfight</SE2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指挥官，听得到么？</color>
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:很清楚。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>我们的梯队和军方的部队正在近距离交火，无法重新集合，但他们短时间应该攻不进来。</color>+<color=#00CCFF>我们剩下的人形不多了，没法进行强攻，只能继续想办法拖住他们……我们拖不了太久的。</color>
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:收到，我们会尽快。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>;NPC-Kalin(4)||:<color=#00CCFF>指挥官，你遇到麻烦了。</color>
NPC-Jason(1)<Speaker>指挥官</Speaker>;NPC-Kalin(4)||:看到了。这些家伙在闸口的位置设立了临时指挥所，位置真恶心。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:<color=#00CCFF>对方的军官一定会想到你们狗急跳墙的方案。</color>+<color=#00CCFF>怎么办，想要到达通海阀就一定要端掉他们的指挥所。</color>+<color=#00CCFF>要让你的人形再发动一次进攻么？</color>
