()||<BIN>71</BIN><BGM>BGM_Danger</BGM><黑屏2>:…………
HK416(3)<Speaker>HK416</Speaker>||:这家伙也太难缠了！
UMP9(4)<Speaker>UMP9</Speaker>||:没有人有办法击穿它的防御吗……？！
UMP45(2)<Speaker>UMP45</Speaker>||:安洁！代理人比预期来的强大，我们需要增援——
NPC-Ange(0)<Speaker>安洁莉娅</Speaker><通讯框>||:能拖得住主脑吗？等我过——
NPC-Ange(0)<Speaker></Speaker>||:嗞嗞——
NPC-Ange(0)<Speaker>？？</Speaker>||:安洁，我要感谢你又一次帮助我完成了任务。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:叶戈尔……！为什么加密频道会……！
NPC-Ange(0);NPC-Yegor(2)<Speaker>叶戈尔</Speaker><通讯框>||:你的信息黑域的手法还是那么粗糙，我之前就说过这会让你丢掉小命。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;NPC-Yegor(2)||:什么时候被窃听的……！？
NPC-Ange(0);NPC-Yegor(2)<Speaker>叶戈尔</Speaker>||:就在刚才，我并没有兴趣听你们说的废话。+我很惊讶你竟然两次都能活下来，不过你身体可以换义肢的部分已经不多了，我劝你这次罢手吧。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;NPC-Yegor(2)||:知道为什么我每次都没死么？+因为你每次都这么过于自信。
NPC-Ange(0);NPC-Yegor(2)<Speaker>叶戈尔</Speaker>||:真是嘴硬，开始进攻。
AR15Mod(5)<Speaker></Speaker>()||<震屏><SE1>Explode</SE1>:…………！
AR15Mod(5)<Speaker>AR15</Speaker>||:怎么了？！
HK416(3)<Speaker>HK416</Speaker>||:是装甲部队！军方的坦克！
M4A1Mod(4)<Speaker>M4A1</Speaker>||:………+叶戈尔……！
NPC-Ange(0)<Speaker>安洁莉娅</Speaker><通讯框>||:45！现在情况怎么样！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:咳咳……我们没法击穿坦克！他们把我们和主脑分割开了！敌人攻势猛烈！
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;UMP45(2)||:不管你们用什么办法！不惜一切代价绝对不能让他们抓住主脑！+听到了么！我会带着格里芬的支援马上到达！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:你这简直就是要求绵羊去说服饿狼不要吃肉一样……
M4A1Mod(4)<Speaker>M4A1</Speaker>;UMP45(2)||<黑屏1>:不要抱怨了，我们得想办法反击！
