()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker>安洁莉娅</Speaker>||<BIN>9</BIN><黑屏2><SE1>Heartbeat</SE1>:我用了两分钟……+……恢复了知觉。
()<Speaker>安洁莉娅</Speaker>||:我用了十分钟……+……在地上挣扎，爬起来，靠掩体支撑，做一点聊胜于无的急救。
()<Speaker>安洁莉娅</Speaker>||:我用了一分钟……+……思考。+……思考我究竟是活着，还是已经死了。
()<Speaker>安洁莉娅</Speaker>||:然后我用十秒钟总结了答案……
()<Speaker>安洁莉娅</Speaker>||<黑屏1>:我还活着，但就快死了。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||<BIN>157</BIN><睁眼>:咳咳……+咳……+真难受……身体不太受使唤了……+M4A1……+AK12……+听得到我说话吗？你们怎么样了？主脑呢？被截获下来了吗？
()<Speaker></Speaker>||:……+……频道中只有噪音。
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:啧……这里的辐射浓度看来无法进行通讯，我得……离开这里……+不知道这副身体……还能不能战斗……
NPC-AngeDamage(2)<Speaker></Speaker>||:……安洁艰难地把通讯器塞进口袋。
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:我不是个对外表完全不在乎的人类，所以我一点都不想知道自己的脸现在是什么样子。+但看到自己的双手……我确定现在自己一定像个怪物。+我会变成什么，除了死亡……还有什么……
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏>:咳！咳咳——！
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:我知道那是什么……
()<Speaker>？？</Speaker>||:呃啊啊啊啊啊啊啊——！！
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:……！
()<Speaker></Speaker>||:……远处传来一阵阵令人毛骨悚然的嚎叫。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||<黑屏1>0,0.7<黑屏1>:……就是它们，我知道那些不详的声音，世界大战前就散播的噩梦。+我的咳嗽声会吸引它们，就得快点离开这里……快！
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Empty</BGM><黑屏2>:稍后……安洁在掩体之间躲藏，这时通讯器突然有了反应。
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>安洁！安洁！你没事吧？你已经好久没有应答了！我还以为你……</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Persica(1)||<BGM>BGM_Room</BGM>:咳咳……我还没那么容易变成你以为的那样……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈维尔</Speaker><通讯框>||:<color=#00CCFF>安洁，我就知道你没事——</color>+<color=#00CCFF>哈哈，这当然是骗你的，我以为你死定了，不过你居然活下来了，这是你第二次出乎我的意料了。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(0)||:没按你的预想去死真是抱歉了，同步一下情况吧，我现在还在污染区里，我联系不上忤逆小队。+如果她们没有完成任务，我们得有后备方案的后备方案……+虽然我知道你不是很在乎我的死活，哈维尔，不过我姑且问一句，你现在能提供支援吗，随便什么都行。
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>你知道我不能越过安全局的权限给你协助，不如你再问问你的局长？</color>
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:开什么玩笑！+我连那个脏弹都引爆了，你现在和我说不能越过什么权限！？
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>冷静点年轻人，太激动的话会加快你的感染速度。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:……你知道我被感染了？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF></color>在坍塌液脏弹的辐射范围内，就一定会受广域性低辐射感染的影响。能不能活着出来就看你是否是耐受体质了，至少看反应，你目前的身体素质还不错。
