SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BIN>10</BIN>:M16，你看看前面那个！
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:……！
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>48</BIN>:那个……是【木星】？！
RO635()<Speaker>RO635</Speaker>||:……没错，巨型炮台【木星】。+不要轻易靠近，它的火力不是我们能抵挡的。
M16A1()<Speaker>M16A1</Speaker>||:RO，关于这玩意，你都知道些什么？
RO635()<Speaker>RO635</Speaker>||:我们之前在人类居住地巡逻时，和这东西交手过。+根据帕斯卡的研究，炮台运用的技术可能是铁血入侵军方后获得的。+铁血的内部代号“马尔都克”，应该是它们针对我们而专门研发的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:哼，“格里芬杀手”喽？+不过我们现在有办法对付吧？
RO635()<Speaker>RO635</Speaker>||<黑屏1>:从正面破坏它几乎是不可能的，但是根据之前的行动……+如果能带着幸存者们占领炮台据点周围的据点，就可以用入侵程序大幅削弱它的火力。
M16A1()<Speaker>M16A1</Speaker>||<BIN>10</BIN><黑屏2>:就是说，要将炮台完全包围，就能降低它的威胁，是吗？
RO635()<Speaker>RO635</Speaker>||:没错，如果我们要与它为敌，这就是最佳的应对方案。+先将其包围，然后再正面破坏它的运作。
M16A1()<Speaker>M16A1</Speaker>||:哈……我们还是祈祷这种战斗晚一些来临吧。
RO635()<Speaker>RO635</Speaker>||:嗯，至少在补给充足之后再考虑吧。+我们现在……已经饥寒交困，很难行动了……
()||:【提示】如果要占领炮台据点，可先包围占领炮台据点的周遭据点，将大幅削弱炮台火力。
