()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:……撤退到安全区域。
IDW(0)<Speaker>IDW</Speaker>||:啊，是上回帮了大忙的人形！+我们又见面啦！
M4A1(0)<Speaker>M4A1</Speaker>;IDW(0)||:抱歉，我们来迟了，其他人形呢？
M4A1(0);IDW(0)<Speaker>IDW</Speaker>||:大家都没事的，你们是最后一支梯队啦。+这样一来，大家都顺利撤回了呢。
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:这里还有伤员吗？我们也来帮忙吧。
M16(0);IDW(0)<Speaker>IDW</Speaker>||:好呀，M82不知道跑到哪儿去了，光靠我一个还是太勉强了呢。+真是太感谢你们啦！
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:还好啦，大家伤亡都不太大，工作不会很麻烦。
M16(0);IDW(0)<Speaker>IDW</Speaker>||:是呢，还好第一击只是试探，不过突然出现真是吓死了。
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:那么……关于刚才铁血的那个武器，你们有什么线索吗？
M16(0);IDW(0)<Speaker>IDW</Speaker>||:唔……太快了，完全没看清。+但是从地面的痕迹看，被打到一定完蛋了吧？
M16(0);M4A1(2)<Speaker>M4A1</Speaker>||:……
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>;M4A1(2)||:M4，怎么了？
SOPII(2);M4A1(2)<Speaker>M4A1</Speaker>||<黑屏1>:没什么……+……只是有点后怕。+铁血……到底还有多少秘密呢？
