()||<BIN>10</BIN>:【提示】请认真阅读接下来的剧情教程以顺利进行游戏。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:睡个好觉吧，菲尔……
TMP(0)<Speaker>TMP</Speaker>||:又可以解开新的封印了。
K2(0)<Speaker>K2</Speaker>||:克莉尔，你的左手……+到底是怎么回事？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:这个……+是这个城市的精灵们对我的惩罚。
Thunder50(0)<Speaker>雷电</Speaker>||:惩罚？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:口袋城的居民越消沉和失落，我的左手就会被腐蚀得越厉害。
M950A(0)<Speaker>M950A</Speaker>||:就像……菲尔那样？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:是的，换句话说，就是菲尔寄宿在我身上的部分。
AEK999(0)<Speaker>AEK999</Speaker>||:原来菲尔和你……并不是同一个人吗？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:我不知道，但我觉得我们是完全两个灵魂。+只是不知道有没有机会再见她……+好啦，闲聊到此为止，我们继续前进吧！
()||:【提示】前方的战斗将与通常战斗完全不同，请阅读以下说明。+首先，请提前关闭【自动技能】指令，并打开游戏设置的【音乐】开关，以免出现突发状况。+在音乐标记坠落到水平线的瞬间，准确点击对应的人形技能图标，以获得对应的MAX同步率。+否则，人形将受到一定伤害。+在音乐播放结束前保证您的人形没有全部被击败，即可获得胜利。+最后提示，请提前关闭【自动技能】指令，并打开游戏【音乐】以免出现突发状况。
