 ()||<BGM>BGM_War</BGM><BIN>1</BIN><Night><SE1>Battlefield</SE1>:……格里芬梯队突袭指挥室，与衔尾蛇正面交战。
Weaver(2)<Speaker>衔尾蛇</Speaker>||<SE2>Gunfight</SE2>:可恶，这次的攻势还是格里芬的梯队吗！+这次行动的指挥者只有404小队……果然，她们还活着吗！
？？()<Speaker>？？</Speaker>||:看清楚你的对手吧，衔尾蛇。
OTs14(0)<Speaker>OTs14</Speaker><通讯框>||<SE1>Battlefield</SE1>:如此慌张的丑态……有点不太像你啊。
Weaver(2)<Speaker>衔尾蛇</Speaker>;OTs14(0)||<SE2>Gunfight</SE2>:OTs-14，你还活着！
Weaver(2);OTs14(0)<Speaker>OTs14</Speaker>||:世界就是这个样子，衔尾蛇，很难事事都随你的意愿呢。
Weaver(1)<Speaker>衔尾蛇</Speaker>;OTs14(0)||<SE1>Battlefield</SE1>:……+你说得对，想坐在指挥部欣赏你们的死状，确实不太现实了……
Weaver(1);OTs14(0)<Speaker>OTs14</Speaker>||<SE2>Gunfight</SE2>:你的使命已经在那场爆炸中结束了，还想拼个鱼死网破吗？
Weaver(1)<Speaker>衔尾蛇</Speaker>;OTs14(0)||<SE1>Battlefield</SE1>:作为人形的自我与尊严，你们这些奴隶是不会明白的……
Weaver(2)<Speaker>衔尾蛇</Speaker>;OTs14(0)||<SE2>Gunfight</SE2><黑屏1>:我可以消灭你们，消灭所有格里芬的人形！+AR小组，404小队，包括你这种高高在上的家伙。+我要证明自己在主脑面前，比成百上千个干扰器都更有价值！
UMP9(3)<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1><黑屏2><BIN>2</BIN><Night>:原来与SPP1走散的是OTs14啊，这下赫丽安帮大忙啦！
HK416(0)<Speaker>HK416</Speaker>||<SE2>Gunfight</SE2>:终于看到胜算了，45，你的作战计划呢？
UMP45(0)<Speaker>UMP45</Speaker>||:趁她吸引住了衔尾蛇的主力，我们也要开始行动了。+UMP9，你继续利用傀儡当诱饵，拖延铁血的围剿行动。
UMP9(3)<Speaker>UMP9</Speaker>||<SE2>Gunfight</SE2>:交给我吧，我会把模拟信号全部启动的！
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:416，你把G11抱到坐标为R13的高地上，随时掩护我们撤退。
G11(0)<Speaker>G11</Speaker>||:收到……416，路上轻点，别把我晃醒。
HK416(2)<Speaker>HK416</Speaker>||:没问题，我会把你先打晕再拖过去的。
UMP45(0)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2><SE1>Battlefield</SE1>:安置好G11后，416就去协助OTs14，带着她和我们一起撤退。+我继续靠梯队消耗衔尾蛇的精力，直到能彻底击毁它的指挥部为止。+各位，保持通讯畅通，动身吧。
