SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM><BIN>4</BIN>:M4……M16还是没有消息吗？
M4A1(2)<Speaker>M4A1</Speaker>;SOPII(2)||:M16……
M4A1(2);AR15(2)<Speaker>AR15</Speaker>||:……等等，有人发布了公共广播！
M4A1(3)<Speaker>M4A1</Speaker>;AR15(2)||<黑屏1>:……！
BOSS-4(0)<Speaker>干扰者</Speaker><通讯框>||<黑屏2><BIN>9</BIN><BGM>BGM_Boss</BGM>:初次见面，各位。+还在等同伴的消息吗？或许把目光放在眼前比较好。
AR15(0)<Speaker>AR15</Speaker>;BOSS-4(0)||:干扰者……没想到这么快就会出场呢。
AR15(0);BOSS-4(0)<Speaker>干扰者</Speaker>||:看到客人来到我的领地，不招待一下未免太失礼了。+首先是祝贺你们，上次作战中成功切断了我的增援部队。+不过这只是其中一条补给线，对我而言连冒犯都称不上。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:这只是个开始，铁血……
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:接下来，我们会针对你们的防御工事，准备好投降吧。
BOSS-4(0)<Speaker>干扰者</Speaker>||:恐怕主脑不会同意我这么做，而我很乐意迎接你们。+请通知你们的指挥官，是时候进入正式开幕了。
M4A1(0)<Speaker>M4A1</Speaker>||:不必了，干扰者。+……我们已经到了。+指挥官，请下令作战吧。
