()||<BIN>18</BIN><BGM>BGM_Room</BGM>:…………抵达了军方宴会，现场人头簇拥。
NPC-Yegor(0)<Speaker>？？？</Speaker>||:……克鲁格先生。
NPC-Yegor(0);NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||:抱歉，你是？
NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>;NPC-Kyruger(0)||:叶戈尔，上尉。+将军命令我在这里等候你们，请跟我来。
NPC-Yegor(0);NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||<黑屏1>:看来军方最近也很忙碌，又有小伙子升职了，走吧。
()||<BIN>79</BIN><黑屏2>:…………
NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>||:请落席。+将军正在演讲，结束后就会过来，请稍等。
()||:…………
NPC-Carter(0)<Speaker>卡特</Speaker>||:这次合作，将大大推进军队与承包商之间的合作关系，我们会更加紧密和高效地调动人力资源……+确保我们的国民能够获得更加安全安定的生活环境……+以及，保障经济发展和重建工程不受外界杂音的干扰……+我们将建立精干高效、协调顺畅的保障机制，调动民间企业对安保事业的积极性。+这次试点如果能够成功的话，我们将会把成功经验向其他领域扩展，为了国家的发展添砖加瓦。
NPC-Carter(0)<Speaker>记者A</Speaker>||:之前政府已经将一些外围地区的保障交给了安全承包商，这次合作是否意味着军队将回收这些地区的管理权呢？
NPC-Carter(0)<Speaker>卡特</Speaker>||:和民间企业的合作是为了能更好的保障以前安全较为薄弱的地区，地区的行政管理一直隶属于中央政府，军队不存在回不回收的说法。
NPC-Carter(0)<Speaker>记者B</Speaker>||:前两天联合国又公布了新的加入国家名单，这次行动是否是对“联合国家联盟”计划的一种回应？
NPC-Carter(0)<Speaker>卡特</Speaker>||:我再次重申，和民间企业的合作是为了保障地区安全，并没有任何政治含义，你的这个问题应该去政府的新闻发布会上问，而不是在这里。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||:媒体还真难对付，将军这几天是去接受了应敌特训吗？
NPC-Kyruger(0);NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>||:…………
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Yegor(0)||:（耸肩）言行谨慎，我喜欢这样的部下，包括我的这位指挥官。
NPC-Kyruger(0);NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>||<黑屏1>:将军的发言结束了，他马上就会过来。
()||<黑屏2>:…………三分钟后。
NPC-Carter(0)<Speaker>卡特</Speaker>||:让你们久等了，和媒体打交道比我想象得还要复杂。
NPC-Carter(0);NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||:看不出来，我觉得您退休后找个公司当发言人也不错。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Kyruger(0)||:我对我的养老金很满意，这把年纪还出去打工就太辛苦了。+话说回来，祝贺你伯鲁，你得到的那份情报对我们都很关键，接下来我们……
NPC-Carter(0);NPC-Havel(0)<Speaker>？？？</Speaker>||:没错，这可是请来军队救兵的敲门砖，重要得很啊。
NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>;NPC-Havel(0)||<SE1>Select</SE1>:！！
NPC-Yegor(0);NPC-Havel(0)<Speaker>？？？</Speaker>||:哇哦……对你上司的客人做拔枪动作可不是个好习惯。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:没关系，把枪收起来吧。
NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>;NPC-Havel(0)||:是。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:我本来想问你是怎么进来的，不过对你来说没什么意义，对吧，哈维尔。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:来参加我的老朋友和我老主顾的重要宴会，这不是什么奇怪的事吧？+好久不见了卡特，还有克鲁格先生。
NPC-Carter(0);NPC-Havel(0)<Speaker></Speaker>||:…………哈维尔伸出了手。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||<黑屏1>:…………+……幸会，哈维尔先生。
