 ()||<BGM>BGM_Sneak</BGM><BIN>18</BIN>:……行动结束五小时后，格里芬总部会议厅前。
OTs14(0)<Speaker>OTs14</Speaker>||:会议还没啰嗦完呢，你还好吗，莫辛纳甘？
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:嗯，我……没问题的。
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:在这儿站着当花瓶很无聊吧，还要担心妹妹的事……
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:交给马卡洛夫，我应该很放心呢，只是现在还没消息……
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:那里曾经是铁血的重要基地，不会那么快被摸清楚的。+放心吧，毕竟赫丽安还派了指挥官来协助她们……
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:嘘……这件事别被军方的人听到……
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:也对呢，他们可不想我们把指挥官用在这种地方。+不过……为了救纳甘，赫丽安居然派上了指挥官呢。
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:嗯，我很感激赫丽安小姐的决定。+不管是为了什么，也无论结果如何……
M1891(0)<Speaker>M1895</Speaker>;OTs14(0)||<BGM>BGM_Empty</BGM>:哈哈，找到你啦，莫辛纳甘！
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:诶……
M1891(0);M1895(0)<Speaker>M1895</Speaker>||<BGM>BGM_Sunshine</BGM>:总算回来了，各位，有没有想我呢！
OTs14(0)<Speaker>OTs14</Speaker>;M1895(0)||:哼，看来结果还不错呢。
OTs14(0);AK47(0)<Speaker>AK47</Speaker>||:哎呀……这回可累死我们啦。
SKS(0)<Speaker>SKS</Speaker>;AK47(0)||:不过看到这一幕，稍稍冒点险也算值得了。
SKS(0);M1891(0)<Speaker>M1891</Speaker>||:谢谢你们，AK47，SKS……+说起来……马卡洛夫呢？
M1895(0)<Speaker>M1895</Speaker>;M1891(0)||:她去见赫丽安了，好像有重要的事去禀报。
M1895(0);AK47(0)<Speaker>AK47</Speaker>||:是因为你之前手里那个玩意吗？刚刚好像被她拿走了啊。
M1895(0);SKS(0)<Speaker>SKS</Speaker>||:究竟是什么东西啊，有那么贵重吗？
M1895(0)<Speaker>M1895</Speaker>||<黑屏1>:那个啊……+我记得……只是个普通的通讯器哦。
 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><黑屏2>:……此时，赫丽安的办公室。
NPC-Helian(0)<Speaker>赫丽安</Speaker>||:这次行动圆满完成，你和指挥官很快会受到嘉奖。
PM(0)<Speaker>马卡洛夫</Speaker>;NPC-Helian(0)||:感谢您。+不过恕我冒昧，这件通讯装置有什么特别的地方吗？
PM(0);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:哦？平时的你可不会过问这些呢。
PM(0)<Speaker>马卡洛夫</Speaker>;NPC-Helian(0)||:稍稍有点好奇……对于我们接受的命令。
PM(0);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:这是AR-15遗落在当地的东西，根据情报，铁血可能在上面动过手脚。+16LAB希望能研究一下，搞不好……会成为我们致胜的关键。
PM(0)<Speaker>马卡洛夫</Speaker>;NPC-Helian(0)||:……明白了。+这次行动，没有指挥官的引导，我们是不可能成功的。
PM(0);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:是有这种可能……然后呢？
PM(0)<Speaker>马卡洛夫</Speaker>;NPC-Helian(0)||:如果……+如果纳甘没有拿着这个东西，你还会派出指挥官帮我们吗？
PM(0);NPC-Helian(0)<Speaker>赫丽安</Speaker>||<黑屏1>:…………+马卡洛夫，你……
赫丽安()<Speaker>赫丽安</Speaker>||<BIN>9</BIN><黑屏2>:（笑）你好像对自己的使命，开始有兴趣了。
马卡洛夫()<Speaker>马卡洛夫</Speaker>||:嗯……+或者说，对我们自己……产生了兴趣而已。
