帕斯卡()<Speaker>帕斯卡</Speaker>||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:你真的……现在就要出发吗？
M4A1()<Speaker>M4A1</Speaker>||:嗯。
帕斯卡()<Speaker>帕斯卡</Speaker>||:你的机能还没有彻底调试完毕，现在外面局势很危险……
M4A1()<Speaker>M4A1</Speaker>||:你知道我非去不可。+如果一定要阻止我，就关闭我的连线，停止我的机能。
帕斯卡()<Speaker>帕斯卡</Speaker>||:……我知道了，你的想法不会改变的。+楼顶有我的私人直升机，指挥官会给你战区的定位……
M4A1()<Speaker>M4A1</Speaker>||:谢谢你……帕斯卡小姐。
()||<黑屏1>:…………战术人形M4A1离开了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><黑屏2>:果然解开限制后，她的心智开始变化了……+不过，现在不是想这个的时候了。
NPC-Persica(0)<Speaker></Speaker>||:…………帕斯卡开始连线。
NPC-Persica(0)<Speaker>系统提示</Speaker>||:……连线成功。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:…………
NPC-Persica(0)<Speaker>SoundOnly</Speaker>||:真是稀奇啊，帕斯卡大小姐竟然会来联系我。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:不要装蒜了，铁血数据库中的信标是你留下的吧。+别躲着我了，我知道一定是你，安洁莉娅。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker><通讯框>||:哎呀……+真是怀念的名字啊。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:你又换代号了？
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:就这个名字吧，我还挺喜欢的，尤其从你口中说出来。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:……别废话了，信标到底是不是你留下的。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:哈哈，总算是被发现了啊。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:既然你知道地址，想必你早就去过了吧。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:那个信标是我还你的人情，再多问对你也没什么好处。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:还是不肯信任我？
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:只是想叙旧的话，不好意思，我现在很忙。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:……我们换个话题。+我找到那个时候的监控文件了。+但是运输无人机被击落在污染区，我需要那个小队去帮我取回来。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:这种事让AR小队去做不就好了？
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:但是，克鲁格把所有人形都调走了……
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:……所有？+格里芬的下次行动，真令人期待呀……
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:你帮还是不帮。
