()||<BIN>98</BIN><BGM>BGM_Battle</BGM><黑屏2><火花><SE1>Gunfight</SE1>:…………
M4A1Mod(4)<Speaker>M4A1</Speaker>||:404小队！还能坚持住么！？
UMP45(2)<Speaker>UMP45</Speaker>||:安洁似乎忘记了404从来不是为了打这种攻坚战组建的……咳咳，情况不太乐观……
HK416(3)<Speaker>HK416</Speaker>||:快用你无敌的狡猾心智想出个办法出来啊！UMP45！
UMP45(2)<Speaker>UMP45</Speaker>||:再狡猾的心智也没法击穿150毫米装甲的。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:安洁说的最终手段呢？！
UMP45(2)<Speaker>UMP45</Speaker>||:还不到时候……安洁没有下命令……！
UMP9(2)<Speaker>UMP9</Speaker>||:右翼750米有格里芬的信号！
M4A1Mod(4)<Speaker>M4A1</Speaker>||:是指挥官吗！？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker><通讯框>||:M4！45！听得见么！指挥官和我已经在和军方交火了！+我们会拖住他们，你们趁这个时机穿过他们的分割部队，一定要找到主脑！听到了吗！
UMP45(2)<Speaker>UMP45</Speaker>||:416和G11到上面的塔进行火力支援！+M4！你们跟上我和9！我们走最短路线！
HK416(3)<Speaker>HK416</Speaker>||:什么最短路线，你这是想要自杀吗！
UMP45(2)<Speaker>UMP45</Speaker>||:我已经观察过了，他们的坦克没法低俯角射击！+帮我们吸引火力，如果快速移动的话还有最后一丝机会！
HK416(3)<Speaker>HK416</Speaker>||:啧！你们全疯了！G11快爬上来，我们移位！
G11(2)<Speaker>G11</Speaker>||<黑屏1><关闭火花>:马…马上！
