()||<BIN>22</BIN><黑屏2><BGM>BGM_Empty</BGM>:……数分钟后。+……滴。
NPC-Ange(0)<Speaker>安洁</Speaker><通讯框>||<BGM>BGM_Danger</BGM><BIN>22</BIN>:帕斯卡！+你说得没错，AK12报告军方确实正在进行大规模数据入侵。+但是数据经过了高度加密，传输和拦截起来很困难！
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:不管怎么样，先传过来再说，我一定会解决的！
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:不行，根本没法调用命令！+也许……真的没办法了……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:就这么眼睁睁地看着吗？+安洁……+难道我们从一开始……就注定赢不了……
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:不……+还有最后的手段……+如果真的是到了无法挽回的地步……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:最后的手段？+你在说什么，安洁？
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:帕斯卡，如果我……
NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:呲……呲……
NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><BGM>BGM_Empty</BGM><黑屏1>:……安洁？+喂，安洁！+你那边发生了什么！
()||<BIN>9</BIN>:……嗡——！
()||:……
()||:…………
帕斯卡()<Speaker>帕斯卡</Speaker>||:安……洁……？
()||<黑屏1>:……周围一片寂静。
