()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………
？？()<Speaker>？？</Speaker>||<黑屏1>:……45？+醒醒！UMP45！
UMP45()<Speaker>UMP45</Speaker>||<BIN>70</BIN><黑屏2>:唔…………
UMP45(2)<Speaker>UMP45</Speaker>||:我……睡了多久？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:没多久啦，希尔说你的调试结束了，所以让我们来叫你，只是……
UMP45(2);HK416(0)<Speaker>HK416</Speaker>||:只是第一次看到你把眼睛瞪得这么大，有点有趣罢了。
UMP45(2);G11(0)<Speaker>G11</Speaker>||:你刚才好像死机了。
UMP45(2)<Speaker>UMP45</Speaker>;G11(0)||:…………+只是突然离线，有点来不及适应……这次战斗好像没能顺利结束。
UMP45(2);NPC-Seele(0)<Speaker>希尔</Speaker>||:抱歉，45小姐，刚才遇到了紧急状况……+我在检查网络时突然检测到一名其他人形的信号。
HK416(2)<Speaker>HK416</Speaker>;NPC-Seele(0)||:不速之客？难道是铁血？
HK416(2);NPC-Seele(0)<Speaker>希尔</Speaker>||:不，是格里芬的信号，应该是人形不小心闯进了网络。+我想，应该是准备前往指挥官那里报到的新人形，在入职验证时进错了网络入口。+估计又是德尔监视时走神把接口搞混了……
G11(2)<Speaker>G11</Speaker>;NPC-Seele(0)||:那样的话……我们随时有暴露的危险啊……
G11(2);NPC-Deele(0)<Speaker>德尔</Speaker>||:别乱说！虽然是我的失误没错啦，但不会那么严重的。+她在闯进网络后，会因为无法通过验证，被安全程序立即锁死心智位置。+所以，对方无法访问任何接口，自然也不会发现你们的，放心好啦！
G11(2);UMP9(2)<Speaker>UMP9</Speaker>||:喂，一点不令人放心吧！+格里芬要是发现少了个人形的心智云图，迟早会找到我们头上的。
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:……能查到对方是谁吗？
UMP45(2);NPC-Deele(0)<Speaker>德尔</Speaker>||:资料库里没有符合的身份，应该是名新加入的人形。+不过不重要啦！我会将她踢出网络，只是定位到她需要点时间，你们趁这个时候休息下吧。
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:…………+我们不如利用这个情况，进入网络找到她。
UMP45(2);NPC-Deele(0)<Speaker>德尔</Speaker>||:诶？你想把这个当做训练的一部分？
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:反正都是寻找目标信号，趁这个机会实战一下没有坏处。+顺便获得格里芬新款人形的数据，不正好帮你们扩充下数据库嘛。
UMP45(2);G11(3)<Speaker>G11</Speaker>||:啊……补觉的机会没有了吗？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:45姐，这样真的好吗？如果暴露的话……
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:真正的任务可比暴露危险多了，与其考虑危险不如想想怎么做好。+有我在这里，你们只要按命令去做不就好了？
UMP45(2);HK416(0)<Speaker>HK416</Speaker>||:我担心的就是你，45，我们都很担心你现在的状态。
UMP45(2)<Speaker>UMP45</Speaker>;HK416(0)||:放心吧，我比谁都更重视自己，但现在还没有担心的必要。
UMP45(2);UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:…………+嗯，既然45姐这么说了，让我们出发吧！
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||<BIN>72</BIN><黑屏2>:定位信号嘛……看来得先把这位不速之客的心智云图数据收集起来。
HK416(0)<Speaker>HK416</Speaker><通讯框>||:具体要怎么做？
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:其实很简单……就和我们刚才使用密匙的方式一样，只要靠近把她的数据带回来就行了。+不过貌似心智云图信号被冲散了，看来得把碎片都找回来才行。
G11(0)<Speaker>G11</Speaker><通讯框>||:听起来就很麻烦……只带一个回来不行嘛……
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:虽然也不是不行啦，但是那也太可怜了……+人形要是少了心智云图数据，就会变得和人类的智障一样了
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑点1>:虽然是训练但也不能掉以轻心，赶紧把所有的云图数据都带回来吧。
