()||<BIN>10</BIN>:【提示】请认真阅读接下来的剧情教程以顺利进行游戏。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:这里也搞定了！
K2(0)<Speaker>K2</Speaker>||:太棒了，克莉尔！
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:再多夸夸我吧，我会很开心哦！
AEK999(0)<Speaker>AEK999</Speaker>||:明明是你一直在制造麻烦。+话说回来啊，菲尔和克莉尔，真的算是两个人吗？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:至少我觉得，菲尔和我……是两个不同的灵魂。+我们有重合的地方，也有彼此疏离的地方。
TMP(0)<Speaker>TMP</Speaker>||:也许，我们有办法将你们完全分离开。
M950A(0)<Speaker>M950A</Speaker>||:哈？你认真的？菲尔明明造成了那么多麻烦啊。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:菲尔应当为她犯的错误付出代价。+但我不觉得……菲尔的出现这件事是个错误。
Thunder50(0)<Speaker>雷电</Speaker>||:只要她不再对这里的精灵下手。
M950A(0)<Speaker>M950A</Speaker>||:（苦笑）还有我。+只要她愿意成为我们的朋友，那就随便吧。
K2(0)<Speaker>K2</Speaker>||:好啦，我们先继续前进，看看这次是谁的封印吧！
()||:【提示】前方的战斗将与通常战斗完全不同，请阅读以下说明。+首先，请提前关闭【自动技能】指令，并打开游戏设置的【音乐】开关，以免出现突发状况。+在音乐标记坠落到水平线的瞬间，准确点击对应的人形技能图标，以获得对应的MAX同步率。+否则，人形将受到一定伤害。+在音乐播放结束前保证您的人形没有全部被击败，即可获得胜利。+最后提示，请提前关闭【自动技能】指令，并打开游戏【音乐】以免出现突发状况。
