()||<BIN>10</BIN><BGM>DJMAX_Miles</BGM>:……チャレンジ成功。
TMP(0)<Speaker>TMP</Speaker>||:あ、これが……
AEK999(0)<Speaker>AEK-999</Speaker>||:K2、これがお前を封印した音楽なのか？
K2(0)<Speaker>K2</Speaker>||:うん……私はもうログアウトできるみたい。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:どうやら、これがフェイルのあなたに対する「定義」みたいね。
K2(0)<Speaker>K2</Speaker>||:定義？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:フェイルは自分が最もふさわしいと思った音楽で、この世界でのあなたの存在を定義づけるの。+そして切り離されたあなたのメンタルは、その音楽が自分の全てだと思い込み、ここから出たくなくなるというわけ。
K2(0)<Speaker>K2</Speaker>||:つまり、この曲こそが、フェイルの私に対する印象だってこと？
AEK999(0)<Speaker>AEK-999</Speaker>||:ずいぶんとやさしい印象だな。
Thunder50(0)<Speaker>Thunder</Speaker>||:フェイルはK2の怒ってるところ、見たことないから。
TMP(0)<Speaker>TMP</Speaker>||:超怖いですよ！口喧嘩で隊長に勝てる人はいません！
M950A(0)<Speaker>M950A</Speaker>||:はぁ……ずっとあのままでいてくれたら、あたしも少しは楽できるのに……
K2(0)<Speaker>K2</Speaker>||:あはは……ただ彼女も後でちゃんと見たはずだよ。+それに、優しさを発揮するには強い心が必要って言うし。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||<黑点1>:ふふっ、いいこと言うね。+それじゃ、次の封印を解きにいこう！
