function_skill_config-10000101,Search Theory
function_skill_config-20000101,{0}% chance for an extra reward of {1} from combat mission rewards
function_skill_config-10000102,Practiced
function_skill_config-20000102,Increase battle animation speed in Planning Mode by {0}% {1}
function_skill_config-10000103,Charm
function_skill_config-20000103,Increase T-Doll Affection gain through combat by {0}% {1}
function_skill_config-10000104,Combat Summary
function_skill_config-20000104,Increase T-Doll EXP gain through combat by {0}% {1}
function_skill_config-10000105,Focused
function_skill_config-20000105,Increase Commander EXP gain through combat by {0}% {1}
function_skill_config-10000106,Deep Learning
function_skill_config-20000106,Increase Fairy EXP gain through combat by {0}% {1}
function_skill_config-10000107,Firepower Demand
function_skill_config-20000107,Increase HOC EXP gain through combat by {0}% {1}
function_skill_config-10000108,Lullaby
function_skill_config-20000108,Reduce T-Doll repair time by {0}% {1}
function_skill_config-10000109,Shorthand
function_skill_config-20000109,Reduce Combat Report writing time by {0}% {1}
function_skill_config-10000110,Optimism
function_skill_config-20000110,Increase exploration completion reward probability by {0}% {1}
function_skill_config-10000111,Lucky
function_skill_config-20000111,Increase mid-exploration reward probability by {0}% {1}
function_skill_config-10000112,Accelerated Training
function_skill_config-20000112,Reduce skill training time (including T-Doll and Fairy) by {0}% {1}
function_skill_config-10000113,Efficient Modification
function_skill_config-20000113,Increase Equipment Enhancement value by {0}% {1}
function_skill_config-10000114,Technical Compatibility
function_skill_config-20000114,Increase Fairy Development Rate in Fairy Enhancement by {0}% {1}
function_skill_config-10000115,Hyper Charge
function_skill_config-20000115,Increase battery output by {0}% {1}
function_skill_config-10000116,Crop Rotation
function_skill_config-20000116,Increase company crop production rate by {0}% {1}
function_skill_config-10000117,Supply Management
function_skill_config-20000117,Reduce company room food consumption by {0}% {1}
