mission_targettrain_enemy-10000101,Customized Target
mission_targettrain_enemy-20000101,Customized Target
mission_targettrain_enemy-30000101,Customized Target
mission_targettrain_enemy-10000102,Customized Target
mission_targettrain_enemy-20000102,Customized Target
mission_targettrain_enemy-30000102,Customized Target
mission_targettrain_enemy-10000103,Customized Target
mission_targettrain_enemy-20000103,Customized Target
mission_targettrain_enemy-30000103,Customized Target
mission_targettrain_enemy-10000104,Customized Target
mission_targettrain_enemy-20000104,Customized Target
mission_targettrain_enemy-30000104,Customized Target
mission_targettrain_enemy-10000105,Customized Target
mission_targettrain_enemy-20000105,Customized Target
mission_targettrain_enemy-30000105,Customized Target
mission_targettrain_enemy-10020101,Wandering Stragglers
mission_targettrain_enemy-20020101,Easily manageable with an echelon trained to a reasonable level.
mission_targettrain_enemy-30020101,A group of regular enemies with negligible armor and moderate amount of health.
mission_targettrain_enemy-10020102,Concentrated Wraiths
mission_targettrain_enemy-20020102,Wraiths are composites of all horrors and ought to be wiped out in one go. (Echelons with good AoE damage recommended.)
mission_targettrain_enemy-30020102,A swarm of tightly-packed enemies with moderate to large amount of health.
mission_targettrain_enemy-10020103,Guns and Shields
mission_targettrain_enemy-20020103,Shields are rather bothersome//c but without the pikes behind them//c they become pointless. (Echelons that target the back row recommended.)
mission_targettrain_enemy-30020103,Sniping Monsters
mission_targettrain_enemy-10020104,Twisted Faith
mission_targettrain_enemy-20020104,If you can’t defeat enemies with strong faith//c then destroy their faith first – starting with the force field. (Echelons capable of tearing down a single high-health target and effective against enemies with force fields recommended.)
mission_targettrain_enemy-30020104,White Monsters
mission_targettrain_enemy-10020105,Mobile Explosives
mission_targettrain_enemy-20020105,The best way to stop nightmares is to wake up at once...or just strangle it before it happens. (Echelons with high burst damage right off the bat recommended.)
mission_targettrain_enemy-30020105,High-Burst
mission_targettrain_enemy-10020106,Sturdy Iron Wall
mission_targettrain_enemy-20020106,If going straight at them proves difficult//c try punching through that annoying armor! (Echelons capable of tearing down high-health targets and effective against enemies with force fields recommended. It might also be easier if your front row units are tanky.)
mission_targettrain_enemy-30020106,Elite Meat Shields
mission_targettrain_enemy-10020107,Storm of Destruction
mission_targettrain_enemy-20020107,It is unwise to engage multiple Manticores – unless you’re very experienced or know their weaknesses.
